booking_date,travel_date,destination,supplier,product_category,customer_price_eur,quoted_cost_eur,discount_rate,manager,acquisition_channel,customer_segment,customer_type,party_size,trip_duration_days,booking_lead_days,payment_method,installments,manual_exception,travel_month
2025-01-22,2025-05-06,Reykjavik,BlueWing,standard,2653.38,2048.04,0.03,Manager 8,paid_search,family,new,4,4,104,bank_transfer,4,false,5
2025-12-16,2026-02-24,Rome,BlueWing,standard,1760.67,1210.62,0.08,Manager 5,paid_search,leisure,returning,1,9,70,card,1,false,2
2024-10-18,2024-10-20,Lisbon,BlueWing,luxury,5416.57,4293.13,0.03,Manager 2,direct,leisure,returning,2,6,2,bank_transfer,1,false,10
2024-02-16,2024-05-07,Rome,Cedar,standard,1683.41,1248.52,0.08,Manager 2,direct,leisure,new,2,3,81,bank_transfer,4,false,5
2025-03-21,2025-04-18,Zanzibar,Atlas,luxury,5673.3,4372.39,0.12,Manager 7,paid_search,leisure,returning,3,2,28,card,1,true,4
2025-06-09,2025-08-16,Lisbon,Atlas,standard,2386.26,1906.84,0.03,Manager 5,direct,leisure,returning,3,14,68,bank_transfer,2,false,8
2024-07-18,2024-08-10,Rome,DeltaSun,luxury,4250.55,3076.82,0.05,Manager 8,partner,leisure,new,2,7,23,card,1,false,8
2025-10-11,2025-10-31,Zanzibar,Atlas,standard,2809.06,2039.85,0.05,Manager 7,paid_search,corporate,returning,3,6,20,bank_transfer,3,true,10
2024-03-06,2024-03-08,Reykjavik,BlueWing,premium,3127.53,2208.74,0.05,Manager 7,direct,family,new,3,14,2,bank_transfer,1,false,3
2024-03-14,2024-04-03,Lisbon,Cedar,standard,2371.48,1747.56,0.12,Manager 8,partner,family,new,5,2,20,card,2,true,4
2025-03-15,2025-07-04,Zanzibar,Cedar,premium,3331.45,2644.52,0.08,Manager 1,paid_search,leisure,returning,3,4,111,card,4,false,7
2025-02-08,2025-04-15,Rome,BlueWing,standard,2015.69,1579.2,0.0,Manager 4,direct,corporate,returning,1,2,66,bank_transfer,3,false,4
2025-03-20,2025-05-13,Tokyo,BlueWing,standard,3949.92,3169.38,0.03,Manager 6,direct,family,returning,5,6,54,card,1,false,5
2025-08-02,2025-09-13,Lisbon,BlueWing,premium,3033.27,2244.62,0.08,Manager 3,direct,leisure,new,3,8,42,bank_transfer,1,false,9
2024-11-10,2025-02-22,Rome,Cedar,standard,2234.55,1648.89,0.03,Manager 6,paid_search,leisure,returning,3,11,104,card,1,false,2
2024-05-12,2024-05-14,Zanzibar,DeltaSun,standard,2511.69,2036.16,0.03,Manager 2,paid_search,corporate,returning,1,10,2,bank_transfer,1,false,5
2024-03-01,2024-03-31,Lisbon,DeltaSun,premium,2247.62,1725.55,0.08,Manager 1,partner,leisure,returning,2,9,30,card,1,false,3
2024-02-18,2024-04-16,Zanzibar,Cedar,standard,2542.36,1865.22,0.0,Manager 8,partner,leisure,returning,3,6,58,card,1,true,4
2025-06-09,2025-07-15,Zanzibar,Cedar,premium,4710.33,3438.37,0.05,Manager 5,direct,family,returning,5,4,36,bank_transfer,2,false,7
2025-04-14,2025-07-12,Lisbon,Atlas,standard,2114.44,1668.52,0.18,Manager 6,direct,leisure,returning,2,9,89,card,1,false,7
2024-09-09,2024-10-23,Tokyo,BlueWing,standard,3503.4,2702.63,0.12,Manager 8,paid_search,leisure,new,1,6,44,card,1,false,10
2024-06-21,2024-09-30,Lisbon,Atlas,standard,2281.13,1658.77,0.18,Manager 4,paid_search,leisure,returning,1,9,101,wallet,3,true,9
2025-08-08,2025-12-10,Lisbon,Atlas,standard,2268.28,1545.35,0.03,Manager 4,partner,leisure,new,1,7,124,card,1,false,12
2024-01-02,2024-01-21,Lisbon,Atlas,luxury,3750.15,2478.33,0.05,Manager 2,partner,family,returning,4,7,19,card,1,false,1
2024-12-11,2025-01-04,Reykjavik,BlueWing,premium,4040.42,2962.23,0.05,Manager 6,partner,leisure,new,2,8,24,card,3,false,1
2025-10-22,2025-12-25,Tokyo,Cedar,standard,2319.68,1566.39,0.12,Manager 5,referral,leisure,returning,3,4,64,card,1,false,12
2025-09-01,2025-09-24,Rome,BlueWing,standard,3067.87,2229.45,0.03,Manager 3,paid_search,family,new,7,14,23,bank_transfer,2,false,9
2025-03-01,2025-05-27,Zanzibar,Cedar,premium,3849.44,2950.1,0.0,Manager 5,referral,leisure,returning,3,2,87,wallet,1,false,5
2025-04-01,2025-06-16,Reykjavik,Atlas,premium,3797.15,2648.33,0.03,Manager 2,partner,leisure,new,3,11,76,wallet,3,false,6
2024-10-27,2024-12-18,Zanzibar,Cedar,standard,3230.28,2571.69,0.12,Manager 4,partner,family,new,4,12,52,card,2,false,12
2025-03-05,2025-03-07,Reykjavik,DeltaSun,standard,2430.74,1834.15,0.0,Manager 5,direct,leisure,new,1,11,2,wallet,2,false,3
2024-12-26,2025-04-13,Reykjavik,Cedar,premium,4244.08,2931.05,0.12,Manager 6,paid_search,leisure,returning,1,10,108,card,1,false,4
2025-02-23,2025-05-30,Tokyo,BlueWing,standard,3134.01,2156.96,0.05,Manager 2,partner,leisure,new,3,7,96,card,4,false,5
2024-05-28,2024-08-20,Tokyo,DeltaSun,standard,2375.15,1671.14,0.18,Manager 1,referral,leisure,returning,1,7,84,wallet,3,false,8
2025-03-03,2025-04-17,Lisbon,BlueWing,standard,3336.96,2530.4,0.12,Manager 5,paid_search,family,returning,6,13,45,card,3,false,4
2024-10-27,2025-01-26,Lisbon,Cedar,luxury,2386.84,1741.05,0.05,Manager 7,direct,leisure,new,1,8,91,card,2,true,1
2025-11-15,2025-11-17,Tokyo,BlueWing,luxury,6216.16,4410.64,0.08,Manager 4,paid_search,leisure,new,1,5,2,bank_transfer,1,false,11
2025-10-22,2025-11-10,Lisbon,Cedar,standard,1347.86,934.45,0.0,Manager 4,paid_search,corporate,new,3,2,19,card,1,false,11
2025-10-18,2025-10-30,Reykjavik,DeltaSun,premium,4335.88,3394.84,0.18,Manager 2,partner,leisure,returning,3,10,12,card,2,false,10
2024-01-24,2024-03-15,Reykjavik,DeltaSun,premium,3904.99,2696.63,0.08,Manager 6,referral,leisure,new,3,6,51,bank_transfer,1,false,3
2024-04-05,2024-08-10,Zanzibar,BlueWing,premium,4164.24,3000.62,0.12,Manager 2,partner,leisure,new,3,2,127,card,3,true,8
2025-09-02,2025-10-04,Tokyo,BlueWing,luxury,3956.17,3240.4,0.05,Manager 2,direct,family,new,6,3,32,card,3,false,10
2024-10-07,2025-02-23,Lisbon,BlueWing,premium,2887.92,2185.51,0.03,Manager 6,paid_search,family,returning,6,8,139,card,3,false,2
2024-01-30,2024-06-23,Reykjavik,Atlas,premium,4439.95,3479.95,0.08,Manager 2,partner,family,returning,6,10,145,card,1,false,6
2025-04-04,2025-04-22,Lisbon,Cedar,luxury,3893.44,2942.4,0.08,Manager 1,direct,leisure,new,2,9,18,bank_transfer,1,false,4
2025-09-17,2025-12-12,Lisbon,Cedar,standard,1410.69,941.73,0.05,Manager 3,paid_search,leisure,new,1,9,86,card,1,false,12
2025-07-09,2025-08-05,Tokyo,BlueWing,standard,2454.39,1767.25,0.05,Manager 6,direct,leisure,new,1,2,27,bank_transfer,1,false,8
2025-08-09,2025-10-05,Zanzibar,Cedar,premium,3309.78,2482.72,0.12,Manager 7,partner,leisure,new,1,9,57,bank_transfer,1,true,10
2024-09-02,2024-10-05,Rome,DeltaSun,standard,2361.59,1720.73,0.08,Manager 5,paid_search,corporate,new,2,4,33,card,1,false,10
2024-12-26,2025-02-05,Zanzibar,BlueWing,standard,2613.13,1822.94,0.03,Manager 2,paid_search,corporate,new,1,2,41,card,1,false,2
2024-02-13,2024-04-22,Tokyo,BlueWing,standard,3035.72,2319.73,0.05,Manager 6,direct,leisure,returning,2,4,69,bank_transfer,3,false,4
2025-10-03,2025-11-23,Zanzibar,Atlas,standard,3756.45,2991.22,0.05,Manager 8,paid_search,family,new,3,12,51,card,1,false,11
2025-05-01,2025-06-30,Tokyo,DeltaSun,premium,2871.58,2308.21,0.05,Manager 1,paid_search,corporate,returning,2,2,60,bank_transfer,2,false,6
2024-12-14,2025-04-09,Rome,DeltaSun,standard,2918.09,2053.13,0.0,Manager 8,referral,leisure,returning,3,9,116,card,3,false,4
2024-12-02,2025-01-17,Lisbon,Atlas,standard,2245.29,1679.27,0.0,Manager 5,partner,leisure,new,2,11,46,card,1,false,1
2025-02-17,2025-05-01,Reykjavik,Atlas,standard,2288.65,1692.78,0.05,Manager 2,direct,family,returning,6,4,73,bank_transfer,1,false,5
2025-04-14,2025-04-17,Tokyo,Cedar,standard,3434.34,2442.1,0.08,Manager 1,paid_search,family,new,3,9,3,card,3,false,4
2025-02-23,2025-04-06,Tokyo,BlueWing,premium,4303.94,3190.84,0.08,Manager 6,partner,corporate,returning,2,10,42,card,2,false,4
2025-03-26,2025-05-16,Reykjavik,Cedar,standard,2557.09,1941.89,0.05,Manager 1,paid_search,leisure,returning,2,6,51,bank_transfer,2,false,5
2025-03-03,2025-06-07,Zanzibar,Cedar,standard,2788.16,2000.98,0.0,Manager 5,partner,leisure,returning,2,6,96,bank_transfer,2,false,6
2025-04-01,2025-05-27,Zanzibar,Atlas,standard,3318.17,2530.81,0.18,Manager 7,paid_search,leisure,returning,3,14,56,card,2,false,5
2024-04-16,2024-08-02,Tokyo,BlueWing,standard,3077.16,2471.88,0.12,Manager 3,partner,leisure,new,1,8,108,bank_transfer,1,false,8
2024-04-16,2024-08-19,Zanzibar,Cedar,standard,3183.08,2224.06,0.08,Manager 5,direct,family,returning,3,8,125,bank_transfer,1,true,8
2024-11-28,2025-02-13,Zanzibar,BlueWing,standard,3465.4,2722.66,0.12,Manager 6,partner,family,returning,5,2,77,bank_transfer,1,true,2
2024-01-18,2024-05-11,Tokyo,BlueWing,standard,2428.44,1927.17,0.03,Manager 3,paid_search,leisure,new,1,14,114,card,1,false,5
2025-08-22,2025-10-31,Rome,Atlas,standard,2884.21,2060.2,0.18,Manager 4,referral,family,new,7,14,70,card,1,false,10
2024-03-20,2024-06-13,Lisbon,Cedar,standard,2472.7,1644.4,0.08,Manager 8,partner,leisure,new,3,7,85,bank_transfer,2,false,6
2024-08-07,2024-10-11,Tokyo,Cedar,premium,4232.26,3275.68,0.12,Manager 5,referral,family,returning,6,11,65,card,1,true,10
2025-10-27,2025-12-23,Tokyo,Atlas,standard,2734.08,1982.33,0.18,Manager 1,referral,leisure,new,1,9,57,bank_transfer,3,false,12
2024-03-20,2024-05-27,Reykjavik,BlueWing,standard,2201.62,1590.1,0.03,Manager 2,partner,leisure,returning,3,4,68,card,2,false,5
2024-10-21,2024-12-21,Tokyo,BlueWing,premium,4731.93,3543.16,0.0,Manager 7,partner,leisure,new,1,8,61,bank_transfer,1,false,12
2025-11-05,2026-03-25,Tokyo,BlueWing,luxury,5578.49,4223.85,0.12,Manager 5,paid_search,family,new,7,11,140,card,3,false,3
2025-08-08,2025-08-31,Reykjavik,DeltaSun,standard,3330.67,2521.47,0.12,Manager 8,referral,leisure,new,1,8,23,card,2,false,8
2024-07-15,2024-08-15,Rome,Cedar,standard,2174.44,1537.8,0.05,Manager 8,paid_search,leisure,new,2,5,31,card,4,false,8
2025-06-14,2025-08-28,Zanzibar,BlueWing,luxury,5855.12,4663.32,0.0,Manager 8,direct,leisure,returning,1,10,75,bank_transfer,2,false,8
2025-01-09,2025-02-05,Zanzibar,DeltaSun,standard,2929.75,2121.58,0.05,Manager 6,partner,leisure,returning,3,7,27,card,2,false,2
2025-09-02,2025-10-01,Rome,BlueWing,standard,1816.04,1405.62,0.08,Manager 2,direct,leisure,returning,1,5,29,card,1,false,10
2025-04-19,2025-07-24,Tokyo,Cedar,standard,2911.63,2019.67,0.03,Manager 2,partner,leisure,new,1,3,96,card,3,false,7
2025-03-08,2025-04-08,Tokyo,Cedar,standard,3422.2,2360.86,0.0,Manager 2,direct,leisure,returning,2,11,31,wallet,1,false,4
2024-11-30,2025-02-26,Zanzibar,BlueWing,premium,3349.34,2729.53,0.05,Manager 8,direct,family,new,7,9,88,card,1,false,2
2025-02-11,2025-04-28,Tokyo,BlueWing,standard,3080.06,2220.03,0.18,Manager 2,partner,leisure,new,2,8,76,bank_transfer,1,false,4
2025-10-18,2025-12-11,Tokyo,BlueWing,standard,3002.6,2073.91,0.08,Manager 2,partner,leisure,new,3,2,54,card,1,false,12
2024-07-12,2024-07-30,Rome,Atlas,premium,2191.97,1556.16,0.05,Manager 7,partner,family,new,3,8,18,card,1,false,7
2025-06-19,2025-06-23,Rome,Atlas,standard,2130.76,1617.37,0.0,Manager 1,paid_search,corporate,returning,1,2,4,bank_transfer,4,false,6
2024-04-16,2024-06-14,Tokyo,DeltaSun,premium,3607.62,2879.16,0.12,Manager 2,partner,leisure,returning,1,4,59,bank_transfer,2,false,6
2025-07-09,2025-10-01,Lisbon,DeltaSun,standard,2583.9,1965.07,0.03,Manager 8,referral,leisure,returning,3,12,84,bank_transfer,2,false,10
2025-12-13,2026-01-08,Lisbon,BlueWing,standard,2461.56,1930.39,0.0,Manager 4,partner,family,new,5,5,26,bank_transfer,1,true,1
2024-06-02,2024-09-23,Rome,BlueWing,standard,2074.51,1461.46,0.08,Manager 7,paid_search,leisure,returning,1,10,113,card,1,false,9
2024-08-29,2024-10-18,Tokyo,DeltaSun,standard,3062.13,2118.08,0.05,Manager 2,paid_search,leisure,returning,1,11,50,bank_transfer,3,true,10
2025-11-24,2025-12-21,Lisbon,Atlas,premium,2208.3,1715.17,0.18,Manager 2,paid_search,leisure,new,2,10,27,card,1,false,12
2025-11-04,2026-03-06,Lisbon,DeltaSun,premium,2563.06,1749.66,0.05,Manager 5,partner,leisure,returning,2,7,122,card,2,false,3
2024-08-30,2024-12-14,Tokyo,BlueWing,standard,2980.65,2269.05,0.05,Manager 7,partner,leisure,returning,1,6,106,wallet,1,false,12
2024-03-20,2024-04-20,Tokyo,DeltaSun,luxury,5055.34,3834.61,0.05,Manager 2,partner,leisure,new,1,13,31,wallet,2,false,4
2024-07-26,2024-08-16,Zanzibar,Cedar,standard,2879.87,2000.81,0.18,Manager 5,partner,family,returning,5,5,21,card,1,false,8
2024-09-06,2024-09-08,Lisbon,Atlas,luxury,3847.59,2951.14,0.05,Manager 2,paid_search,family,new,7,2,2,card,2,false,9
2024-12-17,2025-01-21,Lisbon,Cedar,standard,1843.27,1296.93,0.05,Manager 1,paid_search,leisure,returning,1,3,35,bank_transfer,2,false,1
2024-06-27,2024-09-09,Zanzibar,BlueWing,standard,2865.52,2227.33,0.08,Manager 2,paid_search,leisure,returning,3,15,74,card,1,false,9
2025-04-01,2025-07-17,Reykjavik,BlueWing,standard,2391.44,1717.79,0.18,Manager 7,direct,leisure,new,3,7,107,bank_transfer,1,false,7
2024-11-28,2024-11-30,Rome,Atlas,standard,2404.64,1916.5,0.08,Manager 7,partner,family,returning,4,7,2,card,2,false,11
2024-11-14,2024-11-16,Reykjavik,Cedar,standard,3241.74,2199.66,0.08,Manager 6,direct,corporate,returning,3,3,2,bank_transfer,1,false,11
2024-10-28,2025-02-18,Reykjavik,Atlas,standard,3081.1,2268.1,0.05,Manager 7,direct,leisure,new,3,14,113,card,2,false,2
2024-10-27,2024-12-07,Lisbon,DeltaSun,premium,2830.94,2179.52,0.18,Manager 2,direct,leisure,returning,1,8,41,wallet,4,false,12
2025-11-21,2026-02-19,Rome,BlueWing,standard,1937.25,1349.61,0.0,Manager 5,partner,family,new,6,8,90,bank_transfer,1,false,2
2025-07-27,2025-12-04,Zanzibar,Cedar,standard,3032.22,2417.56,0.03,Manager 4,direct,leisure,new,1,8,130,card,1,false,12
2024-10-05,2024-10-29,Tokyo,BlueWing,standard,3070.72,2375.22,0.05,Manager 2,paid_search,corporate,returning,1,4,24,wallet,1,false,10
2024-10-20,2025-01-29,Tokyo,Atlas,standard,3079.37,2215.53,0.05,Manager 8,paid_search,leisure,returning,1,7,101,card,4,false,1
2024-09-07,2024-11-05,Tokyo,Atlas,standard,2704.73,1837.67,0.0,Manager 2,direct,leisure,new,3,8,59,bank_transfer,1,false,11
2025-04-08,2025-06-12,Tokyo,BlueWing,premium,5216.67,3658.67,0.08,Manager 8,paid_search,family,new,3,10,65,bank_transfer,2,false,6
2024-08-26,2024-12-08,Rome,Cedar,standard,2097.14,1635.23,0.05,Manager 4,referral,leisure,returning,3,7,104,card,3,false,12
2024-03-26,2024-06-12,Rome,Atlas,standard,2287.38,1647.73,0.05,Manager 5,direct,leisure,returning,3,2,78,card,1,false,6
2024-09-02,2024-12-13,Zanzibar,Atlas,premium,5168.64,4219.16,0.0,Manager 8,paid_search,family,returning,6,15,102,bank_transfer,1,false,12
2025-02-26,2025-06-03,Lisbon,Cedar,premium,3010.91,2335.9,0.05,Manager 5,partner,leisure,returning,1,10,97,card,1,false,6
2025-11-28,2026-01-28,Zanzibar,Atlas,standard,2209.02,1575.49,0.12,Manager 2,partner,family,new,3,3,61,card,1,false,1
2024-01-02,2024-04-02,Lisbon,Cedar,premium,3613.41,2811.86,0.05,Manager 8,referral,family,new,7,12,91,wallet,1,false,4
2024-12-25,2025-03-03,Tokyo,DeltaSun,standard,2362.62,1745.5,0.05,Manager 6,referral,corporate,new,2,2,68,card,1,false,3
2025-11-22,2025-12-18,Lisbon,Cedar,premium,2341.57,1789.15,0.18,Manager 7,paid_search,leisure,new,1,7,26,card,2,false,12
2025-01-26,2025-03-29,Zanzibar,Cedar,standard,2346.43,1729.98,0.12,Manager 2,direct,corporate,returning,3,3,62,card,1,false,3
2024-08-06,2024-08-11,Rome,Cedar,premium,2060.05,1492.92,0.0,Manager 3,direct,corporate,new,1,2,5,bank_transfer,2,false,8
2024-07-27,2024-10-11,Zanzibar,DeltaSun,standard,2753.56,2045.94,0.18,Manager 2,partner,corporate,new,3,11,76,card,1,false,10
2025-11-28,2025-12-17,Lisbon,Cedar,premium,2008.73,1327.08,0.08,Manager 6,direct,corporate,new,1,2,19,card,2,false,12
2025-08-31,2025-11-09,Tokyo,Atlas,standard,3338.7,2491.26,0.12,Manager 2,paid_search,leisure,returning,3,9,70,bank_transfer,1,true,11
2024-05-02,2024-06-16,Reykjavik,Cedar,standard,2428.75,1855.31,0.05,Manager 5,paid_search,leisure,new,2,12,45,card,2,false,6
2025-07-15,2025-10-01,Zanzibar,Cedar,standard,2170.6,1682.32,0.08,Manager 3,partner,family,new,5,4,78,bank_transfer,2,false,10
2024-03-20,2024-03-22,Zanzibar,Atlas,standard,3557.34,2580.94,0.03,Manager 2,partner,corporate,new,2,6,2,bank_transfer,2,false,3
2024-07-01,2024-09-04,Rome,BlueWing,luxury,3568.3,2607.6,0.08,Manager 3,referral,leisure,new,3,6,65,bank_transfer,1,false,9
2025-08-13,2025-11-26,Zanzibar,Cedar,standard,2574.97,1745.58,0.0,Manager 2,direct,leisure,new,1,7,105,card,3,false,11
2025-11-28,2025-12-26,Tokyo,BlueWing,premium,4237.74,3234.21,0.03,Manager 5,direct,family,returning,3,6,28,bank_transfer,1,false,12
2025-06-05,2025-10-06,Tokyo,DeltaSun,standard,2472.37,1734.35,0.08,Manager 2,direct,leisure,new,1,3,123,card,3,false,10
2024-08-27,2024-10-05,Rome,DeltaSun,premium,2714.84,1900.73,0.08,Manager 4,paid_search,leisure,new,3,9,39,bank_transfer,1,false,10
2024-10-15,2025-01-03,Lisbon,Atlas,luxury,3843.86,3020.05,0.0,Manager 4,direct,corporate,new,3,2,80,card,4,false,1
2025-02-20,2025-02-22,Zanzibar,Cedar,standard,2998.99,2324.65,0.18,Manager 2,referral,leisure,new,2,8,2,bank_transfer,1,false,2
2025-03-06,2025-05-10,Lisbon,Cedar,luxury,3639.92,2481.09,0.0,Manager 5,direct,leisure,returning,2,9,65,bank_transfer,1,false,5
2024-06-05,2024-07-10,Rome,BlueWing,premium,3247.55,2445.93,0.0,Manager 8,partner,leisure,new,2,6,35,card,1,false,7
2025-01-09,2025-04-04,Lisbon,Cedar,premium,3144.09,2344.12,0.05,Manager 6,paid_search,family,new,7,2,85,card,2,false,4
2025-05-15,2025-05-17,Tokyo,BlueWing,standard,2291.48,1581.31,0.05,Manager 3,direct,corporate,new,3,2,2,bank_transfer,1,false,5
2025-11-27,2026-01-23,Reykjavik,Cedar,standard,2127.34,1678.06,0.05,Manager 4,partner,leisure,new,2,7,57,card,1,false,1
2025-06-05,2025-07-11,Rome,BlueWing,standard,1819.77,1382.11,0.03,Manager 8,partner,leisure,new,2,5,36,card,2,false,7
2024-04-26,2024-07-22,Rome,DeltaSun,standard,1696.47,1228.39,0.08,Manager 7,direct,leisure,returning,1,8,87,card,4,false,7
2024-12-07,2025-03-09,Rome,DeltaSun,premium,2758.54,2158.48,0.12,Manager 4,direct,leisure,returning,2,7,92,card,4,false,3
2024-01-07,2024-02-21,Rome,Cedar,luxury,2499.18,1871.22,0.03,Manager 3,referral,leisure,new,1,12,45,bank_transfer,1,false,2
2024-02-03,2024-02-05,Tokyo,BlueWing,luxury,4447.37,3482.14,0.03,Manager 2,direct,corporate,new,3,8,2,bank_transfer,3,false,2
2024-08-03,2024-11-18,Rome,BlueWing,standard,2194.11,1685.76,0.12,Manager 6,paid_search,leisure,new,1,6,107,bank_transfer,1,false,11
2024-04-06,2024-05-26,Lisbon,DeltaSun,standard,2272.23,1682.93,0.0,Manager 4,paid_search,corporate,new,2,4,50,card,2,false,5
2025-11-13,2026-02-09,Zanzibar,DeltaSun,premium,3930.24,2941.8,0.05,Manager 5,referral,leisure,new,1,7,88,card,1,false,2
2025-06-22,2025-08-19,Zanzibar,BlueWing,standard,3464.59,2688.86,0.03,Manager 5,direct,leisure,new,2,12,58,card,2,true,8
2024-10-27,2024-12-21,Reykjavik,Atlas,premium,3002.87,2015.94,0.0,Manager 8,partner,leisure,new,2,9,55,card,2,false,12
2025-09-11,2025-12-10,Rome,Cedar,premium,2780.23,2074.64,0.08,Manager 3,partner,family,new,7,12,90,card,1,false,12
2024-09-12,2024-09-14,Lisbon,BlueWing,standard,1620.43,1211.84,0.0,Manager 5,paid_search,leisure,new,2,2,2,wallet,2,false,9
2025-07-24,2025-09-08,Lisbon,BlueWing,standard,1999.64,1544.16,0.05,Manager 5,direct,leisure,new,3,6,46,card,1,false,9
2024-07-25,2024-08-08,Zanzibar,Cedar,standard,2721.72,2167.75,0.12,Manager 4,paid_search,family,returning,3,5,14,bank_transfer,1,false,8
2025-06-27,2025-07-16,Zanzibar,Atlas,standard,3176.27,2479.27,0.18,Manager 8,direct,family,new,4,8,19,card,1,false,7
2025-09-08,2025-10-16,Reykjavik,DeltaSun,standard,2640.18,1778.12,0.05,Manager 8,direct,leisure,new,3,5,38,card,1,false,10
2024-10-06,2024-12-09,Rome,DeltaSun,standard,1901.05,1287.17,0.08,Manager 8,direct,leisure,new,2,7,64,card,1,false,12
2025-01-01,2025-03-04,Zanzibar,Cedar,standard,2394.38,1620.61,0.05,Manager 6,paid_search,leisure,new,3,7,62,bank_transfer,1,false,3
2025-02-19,2025-05-28,Tokyo,BlueWing,premium,3423.63,2579.13,0.12,Manager 6,direct,leisure,new,3,14,98,card,1,true,5
2025-08-05,2025-09-29,Lisbon,DeltaSun,standard,2251.77,1571.51,0.0,Manager 4,direct,family,new,5,12,55,card,1,false,9
2024-02-15,2024-04-25,Reykjavik,BlueWing,standard,2761.8,2126.7,0.12,Manager 1,paid_search,leisure,new,3,9,70,bank_transfer,3,false,4
2025-03-21,2025-08-02,Zanzibar,BlueWing,standard,2371.73,1837.5,0.0,Manager 2,referral,leisure,new,3,5,134,card,1,false,8
2025-01-18,2025-02-28,Rome,Atlas,standard,1870.37,1434.99,0.12,Manager 6,partner,leisure,returning,3,2,41,bank_transfer,1,false,2
2024-12-07,2025-01-31,Rome,Atlas,standard,2127.19,1455.32,0.0,Manager 7,partner,leisure,returning,2,2,55,wallet,1,false,1
2024-02-29,2024-04-22,Rome,DeltaSun,luxury,4332.03,3196.89,0.08,Manager 1,paid_search,leisure,new,1,13,53,wallet,4,false,4
2025-01-27,2025-02-07,Lisbon,Atlas,standard,2378.89,1845.6,0.05,Manager 3,referral,leisure,new,2,12,11,bank_transfer,4,false,2
2025-01-03,2025-03-02,Lisbon,Cedar,standard,1528.47,1196.06,0.03,Manager 5,paid_search,leisure,new,3,2,58,card,1,false,3
2025-04-03,2025-05-12,Reykjavik,Atlas,luxury,4854.2,3535.35,0.12,Manager 6,partner,family,new,4,12,39,wallet,1,false,5
