cancellation,refund_amount_eur,support_cost_eur,additional_cost_eur,gross_profit_eur,contribution_margin_eur,repeat_purchase_180d
false,0.0,0.0,2.61,190.09,121.13,false
false,0.0,0.0,33.8,236.01,165.28,false
false,0.0,0.0,36.23,704.37,629.95,true
false,0.0,0.0,20.58,326.88,264.72,true
false,0.0,83.52,62.92,428.41,252.83,true
false,0.0,0.0,28.49,304.86,241.76,false
false,0.0,0.0,0.0,630.48,581.03,false
false,0.0,0.0,83.58,448.7,314.33,true
false,0.0,0.0,0.0,259.62,183.06,false
false,0.0,0.0,0.0,545.47,501.44,
true,4598.08,0.0,36.49,-3409.31,-3502.59,false
true,4299.09,0.0,320.94,-3613.87,-4091.01,false
false,0.0,0.0,22.16,409.53,320.76,true
true,1916.31,0.0,326.6,-1388.4,-1793.27,
false,0.0,0.0,0.0,1191.81,1074.7,true
false,0.0,0.0,0.0,661.68,603.09,true
true,1460.49,0.0,58.04,-1195.35,-1275.18,
false,0.0,0.0,85.77,804.61,637.32,true
false,0.0,0.0,51.84,1061.33,968.43,true
false,0.0,0.0,0.0,452.34,412.15,true
false,0.0,0.0,115.28,305.62,153.38,true
false,0.0,0.0,26.64,688.48,625.81,false
false,0.0,0.0,97.94,526.21,401.97,false
false,0.0,0.0,56.23,513.39,380.45,true
true,2965.42,0.0,92.46,-2669.87,-2834.49,false
false,0.0,0.0,69.31,541.31,420.32,false
false,0.0,0.0,123.05,531.17,378.58,true
false,0.0,0.0,7.44,447.1,414.76,
false,0.0,0.0,80.46,790.94,624.74,true
false,0.0,0.0,28.44,95.64,40.7,false
false,0.0,0.0,127.69,685.25,506.3,true
false,0.0,0.0,118.71,562.57,408.1,true
false,0.0,0.0,46.31,967.96,820.54,
false,0.0,0.0,742.9,360.68,-416.78,
false,0.0,0.0,138.98,704.07,488.14,false
true,1662.84,0.0,70.03,-1208.66,-1315.56,false
false,0.0,0.0,29.07,408.95,345.49,true
false,0.0,0.0,55.88,243.19,158.61,false
false,0.0,0.0,44.76,295.76,202.92,false
false,0.0,0.0,77.5,782.74,666.33,true
false,0.0,0.0,0.0,658.95,597.32,false
false,0.0,0.0,13.23,141.85,26.71,false
false,0.0,0.0,103.68,587.64,460.72,false
false,0.0,0.0,36.02,523.69,451.28,false
false,0.0,0.0,139.04,541.96,366.07,true
false,0.0,0.0,164.94,709.88,434.08,false
false,0.0,0.0,22.6,867.06,812.0,false
false,0.0,0.0,0.57,1140.67,1035.77,false
false,0.0,0.0,91.52,357.05,206.82,false
false,0.0,0.0,126.49,525.28,371.33,false
false,0.0,0.0,58.06,949.48,829.39,false
false,0.0,0.0,433.43,524.46,54.9,true
false,0.0,0.0,87.51,368.44,254.43,true
false,0.0,0.0,16.51,620.88,561.02,
false,0.0,57.23,77.43,498.99,335.97,false
false,0.0,0.0,51.69,130.93,32.41,true
false,0.0,0.0,62.04,334.88,244.68,true
false,0.0,0.0,25.93,567.13,500.0,true
false,0.0,0.0,58.18,211.98,120.77,
true,1714.8,0.0,196.75,-1193.85,-1430.77,
false,0.0,0.0,56.33,446.8,350.41,false
false,0.0,0.0,61.05,452.0,342.38,true
false,0.0,183.19,859.03,314.63,-771.0,true
false,0.0,0.0,73.59,869.68,724.94,false
false,0.0,0.0,24.45,675.24,607.97,true
false,0.0,0.0,108.05,829.39,649.24,true
false,0.0,0.0,0.0,876.39,825.54,true
false,0.0,0.0,20.07,540.23,450.94,false
false,0.0,0.0,66.07,596.93,498.28,false
false,0.0,0.0,119.69,823.81,565.75,false
false,0.0,0.0,0.0,134.52,98.53,true
false,0.0,0.0,77.15,1158.83,1038.0,false
false,0.0,0.0,0.0,801.61,762.64,false
false,0.0,0.0,33.25,642.76,546.63,true
true,1924.62,0.0,401.25,-1329.02,-1757.77,
false,0.0,0.0,94.97,342.91,222.42,true
false,0.0,0.0,18.84,383.07,327.83,true
false,0.0,0.0,65.27,332.37,206.03,false
false,0.0,0.0,18.96,269.03,150.77,false
false,0.0,0.0,106.08,552.99,416.92,false
false,0.0,79.55,292.53,831.8,335.19,true
false,0.0,0.0,145.86,245.05,72.86,false
false,0.0,0.0,41.04,589.3,502.81,true
false,0.0,0.0,39.52,791.93,705.25,false
false,0.0,0.0,124.39,671.79,478.1,false
false,0.0,0.0,50.92,986.93,875.95,true
false,0.0,0.0,0.0,483.18,449.81,false
false,0.0,0.0,58.72,408.59,317.46,true
false,0.0,0.0,57.09,355.5,274.41,false
false,0.0,74.9,15.26,227.36,104.54,false
false,0.0,0.0,94.74,125.27,-7.58,false
false,0.0,0.0,70.59,730.05,627.78,true
false,0.0,0.0,6.54,461.8,432.45,
false,0.0,0.0,108.15,654.05,517.16,true
false,0.0,0.0,95.88,433.66,296.7,true
false,0.0,0.0,155.47,680.26,497.76,
false,0.0,0.0,256.96,303.69,-30.61,false
false,0.0,0.0,112.23,534.23,393.54,false
false,0.0,0.0,94.9,210.94,93.59,false
false,0.0,0.0,5.27,671.87,641.08,true
false,0.0,0.0,216.49,788.57,416.13,true
true,1938.4,0.0,0.0,-1524.06,-1609.7,
false,0.0,0.0,0.0,286.56,268.21,true
false,0.0,0.0,36.4,736.34,641.69,
false,0.0,0.0,96.98,355.25,210.49,false
false,0.0,0.0,58.88,681.53,594.23,false
false,0.0,0.0,30.46,500.25,373.61,true
false,0.0,0.0,0.0,600.4,496.23,false
false,0.0,0.0,45.58,653.63,560.13,true
false,0.0,0.0,516.46,231.77,-320.33,false
false,0.0,0.0,252.54,238.02,-51.56,
false,0.0,0.0,18.48,614.53,561.81,false
false,0.0,0.0,35.36,256.34,184.49,false
false,0.0,0.0,695.34,396.17,-326.48,true
false,0.0,0.0,22.6,1501.74,1307.12,false
false,0.0,0.0,139.25,503.36,343.0,true
true,3745.7,0.0,71.49,-2829.63,-2984.13,
false,0.0,0.0,2.5,684.72,654.87,false
false,0.0,0.0,0.0,475.85,400.93,false
false,0.0,0.0,92.7,807.04,609.49,true
false,0.0,0.0,40.3,1048.51,960.54,true
false,0.0,0.0,916.16,62.44,-923.89,false
false,0.0,0.0,396.78,1048.37,593.73,false
false,0.0,0.0,215.53,426.34,161.36,false
false,0.0,0.0,0.0,732.25,674.21,
false,0.0,0.0,34.82,302.54,216.56,true
true,3047.23,0.0,50.97,-2488.74,-2615.29,false
false,0.0,0.0,62.86,819.75,717.82,true
false,0.0,0.0,131.25,250.14,65.8,true
false,0.0,0.0,25.07,280.83,232.15,true
false,0.0,0.0,7.91,530.34,491.11,false
false,0.0,0.0,172.41,1175.93,897.48,true
true,2878.24,0.0,531.75,-2273.78,-2843.46,false
false,0.0,57.57,53.23,358.21,217.86,true
false,0.0,0.0,182.05,881.22,612.77,true
false,0.0,0.0,76.44,1772.38,1628.55,false
false,0.0,0.0,0.0,635.03,602.74,false
false,0.0,0.0,59.43,910.28,762.78,false
false,0.0,0.0,145.99,446.31,250.73,false
false,0.0,0.0,70.0,928.77,702.87,false
false,0.0,0.0,0.0,938.47,767.67,
false,0.0,0.0,23.82,826.97,726.84,false
false,0.0,0.0,18.41,525.51,447.99,
false,0.0,0.0,97.3,561.96,390.33,
false,0.0,0.0,24.97,820.97,763.48,false
false,0.0,0.0,514.54,172.11,-364.98,true
false,0.0,0.0,0.0,363.61,323.77,true
false,0.0,0.0,83.31,1018.78,896.4,false
false,0.0,0.0,106.24,639.24,463.63,true
false,0.0,0.0,82.34,366.93,196.74,false
false,0.0,0.0,79.18,617.81,467.02,true
false,0.0,0.0,42.33,921.09,844.98,false
false,0.0,0.0,46.58,874.36,746.34,true
false,0.0,0.0,97.28,254.86,122.84,true
false,0.0,0.0,52.41,912.19,787.58,false
false,0.0,0.0,234.22,403.95,145.78,false
false,0.0,0.0,427.48,1010.51,412.5,false
false,0.0,0.0,104.57,928.87,777.87,false
false,0.0,0.0,49.11,791.52,676.92,false
false,0.0,0.0,100.4,695.23,555.22,true
true,4188.68,0.0,655.23,-3164.91,-3886.74,false
false,0.0,0.0,53.42,672.44,590.21,false
false,0.0,0.0,66.85,663.74,528.03,false
false,0.0,0.0,0.0,331.61,275.83,true
false,0.0,0.0,110.42,331.12,201.0,false
false,0.0,0.0,202.91,240.12,-17.23,true
false,0.0,0.0,0.0,1049.82,994.34,true
false,0.0,0.0,52.08,614.35,522.8,false
false,0.0,0.0,1.44,1011.92,970.35,false
false,0.0,0.0,47.61,1381.08,1279.75,true
false,0.0,0.0,151.1,370.76,172.3,true
false,0.0,0.0,0.0,800.06,760.62,false
false,0.0,0.0,33.09,508.37,445.72,false
false,0.0,0.0,110.6,807.66,660.13,false
false,0.0,0.0,1048.02,680.26,-411.44,false
false,0.0,0.0,121.37,779.11,617.86,false
false,0.0,0.0,65.58,865.77,755.68,false
false,0.0,0.0,94.32,591.48,465.53,true
false,0.0,0.0,0.0,257.02,206.14,true
true,1878.29,0.0,48.19,-1581.9,-1675.74,false
false,0.0,0.0,105.71,670.54,462.88,
false,0.0,0.0,485.59,219.4,-322.02,false
true,2192.6,0.0,21.19,-1683.65,-1733.46,
true,1860.09,0.0,52.3,-1542.79,-1620.79,true
false,0.0,0.0,42.8,766.41,646.36,true
false,0.0,0.0,67.75,666.99,531.18,false
false,0.0,0.0,71.08,749.36,602.85,false
false,0.0,0.0,45.58,759.39,677.82,true
false,0.0,0.0,59.27,257.68,102.72,true
false,0.0,0.0,78.47,1312.71,1110.09,true
false,0.0,0.0,59.0,431.12,343.68,false
false,0.0,0.0,66.09,673.5,555.62,true
false,0.0,0.0,188.89,629.93,367.32,true
false,0.0,0.0,59.06,782.67,674.49,false
false,0.0,0.0,110.2,492.14,337.22,true
false,0.0,0.0,59.24,863.18,752.36,false
false,0.0,0.0,46.66,798.83,711.6,false
false,0.0,0.0,68.55,327.29,233.18,true
false,0.0,0.0,68.25,280.5,131.63,false
false,0.0,0.0,113.51,870.07,715.45,true
false,0.0,0.0,0.0,512.77,472.54,false
false,0.0,0.0,0.0,492.22,457.8,true
true,4321.13,0.0,0.0,-3685.22,-3749.45,false
false,0.0,0.0,96.76,1021.53,864.15,
false,0.0,0.0,0.0,607.9,475.38,false
false,0.0,0.0,159.66,656.32,458.96,false
false,0.0,0.0,103.8,551.85,396.27,false
false,0.0,0.0,96.33,233.15,108.88,false
false,0.0,0.0,116.91,865.31,711.87,true
false,0.0,0.0,130.06,332.47,176.16,false
false,0.0,0.0,33.08,726.25,656.66,false
false,0.0,0.0,92.01,438.19,322.58,true
false,0.0,0.0,13.74,634.4,550.43,false
false,0.0,0.0,384.36,307.96,-125.72,true
false,0.0,0.0,62.88,617.28,479.9,true
false,0.0,0.0,0.0,548.81,521.1,true
false,0.0,0.0,80.55,421.85,267.38,true
false,0.0,0.0,288.52,710.07,332.73,
true,1675.84,0.0,0.0,-1489.3,-1515.09,false
false,0.0,0.0,96.9,565.36,437.42,true
false,0.0,0.0,51.41,1171.89,1010.93,true
false,0.0,0.0,8.05,672.25,609.25,false
false,0.0,0.0,130.63,474.34,271.8,true
false,0.0,0.0,76.86,987.7,872.8,false
false,0.0,85.82,0.0,451.69,339.27,false
false,0.0,0.0,21.77,542.11,451.04,false
false,0.0,0.0,30.41,652.95,574.71,false
true,2809.54,0.0,725.31,-1928.55,-2688.54,false
false,0.0,0.0,0.0,603.33,561.91,false
false,0.0,0.0,9.08,537.53,410.25,true
true,2571.2,0.0,36.32,-1686.38,-1760.69,false
true,2902.73,0.0,55.16,-2142.55,-2242.19,
false,0.0,0.0,0.0,593.13,528.39,false
false,0.0,0.0,23.86,575.38,503.2,false
false,0.0,0.0,559.94,79.91,-516.48,false
false,0.0,0.0,18.45,717.31,658.34,
false,0.0,0.0,497.96,593.47,3.51,
false,0.0,0.0,0.0,714.38,620.85,false
false,0.0,0.0,7.46,-21.4,-78.26,false
false,0.0,0.0,43.17,499.47,364.14,false
false,0.0,0.0,0.0,304.84,268.04,true
false,0.0,0.0,73.58,118.7,8.39,false
false,0.0,0.0,44.85,491.3,426.51,
false,0.0,0.0,104.95,699.46,526.84,false
false,0.0,62.33,282.66,1511.69,1051.46,false
false,0.0,0.0,111.79,538.58,362.52,true
false,0.0,0.0,3.12,588.56,524.4,true
false,0.0,0.0,111.93,489.62,329.61,true
false,0.0,0.0,83.35,787.01,667.05,
false,0.0,0.0,331.2,188.98,-184.11,true
true,1184.65,0.0,112.83,-899.03,-1027.12,false
false,0.0,0.0,123.16,183.34,34.84,false
false,0.0,0.0,114.95,518.85,377.67,false
true,3065.74,0.0,0.0,-2507.52,-2578.43,false
false,0.0,0.0,0.0,874.65,767.14,true
true,2413.19,0.0,103.87,-2228.13,-2396.96,false
false,0.0,0.0,86.61,621.3,492.02,true
true,1638.85,0.0,32.17,-1107.49,-1213.63,
false,0.0,0.0,553.86,1253.52,548.38,
false,0.0,0.0,71.43,701.31,595.03,false
false,0.0,0.0,0.0,526.07,496.85,false
false,0.0,0.0,63.5,436.74,349.9,true
false,0.0,0.0,0.0,447.82,422.16,false
false,0.0,0.0,78.6,697.77,576.04,false
false,0.0,0.0,1.67,458.01,435.47,false
false,0.0,0.0,0.0,456.22,395.54,false
false,0.0,0.0,0.0,669.94,631.79,
false,0.0,0.0,9.77,162.72,91.27,false
false,0.0,0.0,0.0,458.01,392.5,false
false,0.0,0.0,20.87,67.85,-17.66,
false,0.0,0.0,387.04,718.11,193.35,false
false,0.0,0.0,26.8,488.42,409.75,false
false,0.0,0.0,129.09,769.34,606.55,false
false,0.0,0.0,0.0,642.35,613.1,false
false,0.0,0.0,34.67,1122.14,1033.5,true
false,0.0,0.0,0.0,599.75,521.39,false
false,0.0,0.0,205.02,618.49,358.58,false
false,0.0,0.0,10.63,582.49,485.22,false
false,0.0,0.0,126.1,487.98,333.12,false
false,0.0,0.0,60.15,554.86,407.08,false
false,0.0,0.0,0.0,386.24,323.54,true
false,0.0,0.0,64.07,587.11,494.16,false
false,0.0,0.0,241.95,544.22,238.93,false
false,0.0,0.0,154.88,567.81,389.15,true
false,0.0,0.0,90.2,644.2,486.63,false
false,0.0,0.0,77.34,856.35,723.79,false
false,0.0,0.0,45.84,569.22,485.8,false
false,0.0,0.0,26.05,682.63,588.85,false
false,0.0,0.0,772.24,553.06,-263.62,false
false,0.0,0.0,36.53,62.7,-45.85,false
false,0.0,0.0,166.77,312.92,124.48,false
false,0.0,69.96,86.79,931.04,636.3,false
false,0.0,0.0,125.12,482.05,331.79,false
false,0.0,0.0,7.09,696.49,644.39,false
true,1580.39,0.0,57.04,-1514.51,-1646.07,true
false,0.0,0.0,62.14,661.36,468.47,true
false,0.0,0.0,52.41,287.12,210.74,false
true,2427.87,0.0,48.4,-2129.76,-2217.62,false
false,0.0,0.0,35.63,377.35,324.91,true
true,3451.39,0.0,0.0,-3418.81,-3560.06,false
false,0.0,0.0,70.77,499.58,375.68,false
false,0.0,0.0,97.01,754.37,610.17,false
false,0.0,0.0,212.84,942.77,595.25,false
false,0.0,0.0,0.0,325.0,307.21,false
false,0.0,0.0,63.33,398.08,309.42,true
true,2984.93,0.0,67.01,-2383.07,-2489.24,false
false,0.0,0.0,102.09,1253.26,968.76,true
false,0.0,0.0,42.11,491.96,364.67,false
false,0.0,0.0,0.0,740.63,692.18,false
false,0.0,0.0,71.2,496.11,392.95,true
false,0.0,0.0,13.77,472.38,425.31,false
false,0.0,0.0,53.88,458.65,371.18,false
false,0.0,0.0,92.72,207.31,100.23,false
false,0.0,0.0,73.91,334.96,224.0,false
true,1954.23,232.95,314.44,-1710.88,-2309.22,false
false,0.0,0.0,0.0,572.51,527.72,true
false,0.0,0.0,6.14,442.87,372.44,false
false,0.0,0.0,397.52,893.44,394.9,false
false,0.0,0.0,27.82,1037.29,938.95,false
false,0.0,0.0,140.65,282.87,118.35,true
false,0.0,0.0,25.07,518.2,461.23,false
false,0.0,94.24,748.98,717.07,-163.51,false
false,0.0,0.0,32.84,1178.71,1077.06,false
false,0.0,0.0,0.0,1255.61,1141.66,true
false,0.0,0.0,0.0,491.81,465.93,false
false,0.0,0.0,0.0,617.05,585.93,false
false,0.0,0.0,25.43,939.37,864.71,true
false,0.0,0.0,0.0,522.97,430.75,false
false,0.0,0.0,0.0,1142.94,1059.17,false
true,2682.23,0.0,38.0,-2013.25,-2092.69,false
false,0.0,0.0,51.89,468.7,390.7,false
false,0.0,0.0,67.52,1221.69,1108.75,
true,2695.99,0.0,813.28,-2078.12,-2931.85,false
false,0.0,0.0,123.21,422.72,263.93,true
false,0.0,0.0,0.0,627.83,598.34,true
false,0.0,0.0,59.73,677.61,565.56,false
false,0.0,0.0,0.0,284.75,255.38,false
false,0.0,0.0,0.0,958.55,918.5,false
false,0.0,0.0,0.0,796.8,753.14,false
false,0.0,0.0,59.59,339.56,256.17,false
false,0.0,0.0,6.92,1161.8,1099.46,false
false,0.0,0.0,92.28,713.7,560.84,false
false,0.0,0.0,21.61,548.54,487.31,false
false,0.0,0.0,69.63,792.97,626.84,true
false,0.0,0.0,0.0,418.47,387.97,true
false,0.0,0.0,157.61,378.8,66.43,false
false,0.0,0.0,104.58,519.87,375.22,true
true,1772.04,38.33,337.56,-1386.23,-1789.54,false
false,0.0,0.0,98.63,589.81,458.71,true
false,0.0,0.0,102.62,632.39,502.85,false
false,0.0,0.0,0.27,700.33,648.47,false
false,0.0,0.0,77.99,529.68,424.5,false
false,0.0,0.0,70.08,565.72,466.05,false
false,0.0,0.0,150.08,311.08,45.72,false
false,0.0,0.0,50.08,492.29,391.48,false
false,0.0,0.0,142.08,600.23,403.38,true
false,0.0,0.0,94.71,677.16,530.96,true
false,0.0,0.0,35.66,564.35,480.34,false
true,1610.9,0.0,82.12,-1114.96,-1236.01,
false,0.0,0.0,1.12,553.48,524.45,false
false,0.0,0.0,102.76,398.38,269.71,true
false,0.0,0.0,75.52,756.21,590.95,false
false,0.0,0.0,36.3,520.93,442.4,false
false,0.0,0.0,50.69,545.21,467.08,
false,0.0,0.0,43.58,1004.47,906.43,false
false,0.0,0.0,17.55,708.02,646.09,true
false,0.0,0.0,19.14,562.87,509.79,true
true,2049.03,0.0,63.79,-1387.64,-1519.49,false
false,0.0,0.0,34.38,532.79,437.52,false
false,0.0,0.0,72.99,719.14,580.87,true
false,0.0,0.0,2.3,399.67,365.72,true
false,0.0,0.0,35.83,375.72,323.46,true
false,0.0,0.0,0.0,265.24,240.65,false
false,0.0,0.0,179.92,360.25,83.07,
false,0.0,0.0,0.0,446.87,411.36,true
true,3501.03,148.88,388.35,-2784.72,-3397.78,
true,3547.38,0.0,99.59,-2653.96,-2835.62,false
false,0.0,0.0,22.6,428.03,381.0,true
false,0.0,0.0,115.79,405.73,229.62,false
false,0.0,0.0,37.27,475.69,395.79,false
false,0.0,0.0,389.55,396.38,-18.67,true
false,0.0,0.0,61.95,447.53,360.1,false
false,0.0,0.0,0.0,390.09,344.94,false
false,0.0,0.0,11.63,685.89,582.86,false
false,0.0,0.0,0.0,394.28,347.8,true
false,0.0,0.0,33.17,846.26,775.93,
false,0.0,0.0,65.23,1077.73,967.71,false
false,0.0,0.0,52.77,873.98,733.16,true
false,0.0,0.0,51.7,437.68,344.98,false
false,0.0,0.0,123.64,569.77,400.37,false
false,0.0,0.0,6.73,212.87,184.49,false
false,0.0,0.0,0.0,736.3,694.4,false
false,0.0,0.0,85.27,375.85,265.89,true
false,0.0,0.0,82.49,592.3,369.93,true
false,0.0,0.0,16.25,730.54,671.49,false
false,0.0,0.0,64.49,635.36,542.6,false
false,0.0,0.0,4.83,760.71,717.79,false
false,0.0,0.0,7.49,733.89,685.56,false
false,0.0,0.0,151.59,521.43,336.62,false
false,0.0,0.0,8.42,233.71,189.77,true
false,0.0,0.0,66.64,594.95,496.8,false
false,0.0,0.0,85.87,1055.11,905.87,true
false,0.0,0.0,42.76,394.92,332.44,false
false,0.0,0.0,63.15,602.4,500.91,false
false,0.0,0.0,34.13,571.12,492.54,
false,0.0,0.0,79.54,721.19,603.73,false
false,0.0,0.0,0.0,1042.45,1002.02,false
false,0.0,0.0,0.0,455.79,433.12,false
false,0.0,0.0,37.94,850.78,766.65,false
false,0.0,0.0,352.77,574.04,185.9,false
false,0.0,0.0,0.0,788.42,756.9,false
false,0.0,0.0,11.52,1413.31,1338.01,false
false,0.0,0.0,70.88,1181.42,1062.33,false
false,0.0,0.0,44.56,360.44,260.83,true
false,0.0,0.0,0.0,625.64,556.11,true
false,0.0,0.0,0.0,443.79,374.67,false
false,0.0,0.0,31.98,689.44,612.81,true
false,0.0,0.0,108.13,1155.02,997.92,false
false,0.0,0.0,0.0,790.64,758.31,false
false,0.0,0.0,844.25,589.03,-295.39,false
false,0.0,0.0,274.76,382.59,39.91,false
true,3046.92,0.0,0.0,-2149.81,-2188.91,
false,0.0,0.0,116.94,498.37,300.3,false
false,0.0,0.0,44.17,294.81,220.73,false
false,0.0,0.0,70.14,462.15,345.63,false
false,0.0,0.0,0.0,699.45,662.97,true
false,0.0,0.0,5.17,273.1,239.93,true
false,0.0,0.0,66.92,988.82,874.41,false
false,0.0,0.0,63.03,1126.15,1001.68,false
false,0.0,0.0,193.28,1013.54,777.39,true
false,0.0,0.0,0.0,579.99,552.36,false
false,0.0,0.0,0.0,90.81,34.93,false
false,0.0,0.0,7.2,943.55,845.79,true
false,0.0,0.0,0.0,328.22,307.67,false
false,0.0,0.0,320.99,272.94,-116.68,false
false,0.0,0.0,66.26,628.93,519.32,true
true,3733.9,0.0,373.2,-2758.42,-3221.82,false
false,0.0,0.0,377.88,1049.7,580.4,false
true,2727.8,81.91,147.2,-2050.05,-2374.93,false
false,0.0,0.0,65.5,811.8,701.75,true
false,0.0,0.0,25.01,1654.53,1525.57,true
false,0.0,0.0,13.74,805.11,743.02,false
false,0.0,0.0,81.97,1093.55,963.09,false
false,0.0,0.0,0.0,469.23,397.73,false
false,0.0,0.0,26.15,552.14,494.83,false
false,0.0,0.0,33.0,740.37,634.39,true
false,0.0,79.59,746.14,733.92,-131.35,true
false,0.0,0.0,96.08,337.95,189.19,false
false,0.0,0.0,53.42,428.78,359.53,true
false,0.0,0.0,281.7,1143.46,704.17,true
false,0.0,0.0,135.26,405.97,246.45,false
false,0.0,71.48,49.61,595.56,311.16,
false,0.0,0.0,71.63,236.32,139.55,true
false,0.0,0.0,232.35,549.8,247.66,false
false,0.0,0.0,46.14,822.1,670.68,true
false,0.0,0.0,35.11,130.48,63.09,true
false,0.0,0.0,86.28,744.28,623.1,false
true,1804.04,0.0,345.42,-1560.59,-1933.72,false
false,0.0,0.0,0.0,759.81,718.78,true
false,0.0,0.0,86.66,758.55,586.55,false
false,0.0,0.0,28.31,772.23,672.67,false
true,2478.0,0.0,12.73,-1599.37,-1664.41,false
false,0.0,0.0,0.0,421.58,378.57,false
false,0.0,0.0,111.07,825.6,684.69,false
false,0.0,201.76,864.77,345.39,-756.55,true
false,0.0,0.0,59.48,398.05,308.75,false
false,0.0,0.0,216.83,464.58,176.43,true
false,0.0,0.0,0.0,694.6,660.01,false
false,0.0,0.0,108.23,913.82,725.88,true
false,0.0,0.0,62.06,527.09,402.61,true
true,4211.26,0.0,84.86,-4087.68,-4235.37,
false,0.0,0.0,49.58,758.47,676.15,false
false,0.0,0.0,0.0,613.68,530.98,false
false,0.0,0.0,106.22,258.19,113.58,true
false,0.0,0.0,25.59,400.45,334.06,true
true,4504.89,0.0,49.05,-3397.83,-3551.01,
false,0.0,60.26,864.3,679.73,-377.89,
false,0.0,0.0,211.5,775.34,534.06,false
false,0.0,0.0,79.79,666.63,529.61,false
false,0.0,0.0,48.6,549.61,467.28,false
false,0.0,0.0,104.79,726.69,586.06,false
false,0.0,0.0,106.74,940.42,785.63,true
false,0.0,113.97,599.65,495.2,-251.3,false
false,0.0,0.0,81.42,281.42,155.72,true
false,0.0,0.0,87.12,760.52,622.65,true
