booking_id,customer_id,booking_date,travel_date,destination,supplier,product_category,customer_price_eur,quoted_cost_eur,discount_rate,manager,acquisition_channel,customer_segment,customer_type,party_size,trip_duration_days,booking_lead_days,payment_method,installments,manual_exception,currency,cancellation,refund_amount_eur,refund_date,booking_changes,support_cases,support_cost_eur,additional_cost_eur,gross_profit_eur,contribution_margin_eur,repeat_purchase_180d,last_modified_at
SYN-00014,SYN-CUST-0894,2024-01-11,2024-02-17,Reykjavik,Cedar,premium,2821.26,2114.62,0.05,Manager 7,partner,corporate,new,1,3,37,bank_transfer,3,False,EUR,False,0.0,,0,0,0.0,18.24,565.58,468.34,False,2024-01-13
SYN-00015,SYN-CUST-1455,2025-08-19,2025-08-21,Zanzibar,BlueWing,premium,3293.93,2352.28,0.05,Manager 2,direct,corporate,new,1,2,2,bank_transfer,1,False,EUR,False,0.0,,1,0,0.0,0.0,776.95,737.42,True,2025-12-09
SYN-00016,SYN-CUST-2016,2025-04-23,2025-06-12,Lisbon,BlueWing,premium,2405.9,1650.17,0.08,Manager 1,direct,leisure,new,1,7,50,card,3,False,EUR,False,0.0,,0,0,0.0,49.44,563.26,446.45,False,2025-05-13
SYN-00017,SYN-CUST-2577,2024-09-28,2024-11-15,Rome,DeltaSun,standard,2303.96,1755.34,0.08,Manager 4,direct,leisure,new,2,10,48,card,4,False,EUR,False,0.0,,0,0,0.0,27.95,364.31,253.41,False,2024-12-08
SYN-00018,SYN-CUST-3138,2025-06-25,2025-07-16,Reykjavik,BlueWing,standard,2134.48,1655.71,0.18,Manager 2,direct,corporate,returning,1,6,21,card,3,False,EUR,False,0.0,,0,0,0.0,52.52,94.57,-17.72,,2025-08-26
SYN-00019,SYN-CUST-0499,2025-05-15,2025-06-11,Tokyo,Cedar,standard,4115.55,2879.56,0.12,Manager 4,paid_search,leisure,new,3,13,27,card,3,False,EUR,False,0.0,,0,0,0.0,310.41,742.13,316.48,False,2025-08-25
SYN-00020,SYN-CUST-1060,2025-02-08,2025-04-13,Lisbon,Cedar,standard,2565.93,1944.59,0.05,Manager 5,paid_search,family,new,5,4,64,wallet,1,False,EUR,False,0.0,,0,0,0.0,105.3,493.04,356.96,False,2025-03-11
SYN-00021,SYN-CUST-1621,2025-08-17,2025-08-19,Lisbon,BlueWing,standard,1604.58,1185.11,0.0,Manager 7,paid_search,family,new,4,2,2,bank_transfer,3,False,EUR,False,0.0,,0,0,0.0,406.7,419.47,-32.16,False,2025-10-03
SYN-00022,SYN-CUST-2182,2025-01-22,2025-05-06,Reykjavik,BlueWing,standard,2653.38,2048.04,0.03,Manager 8,paid_search,family,new,4,4,104,bank_transfer,4,False,EUR,False,0.0,,0,0,0.0,307.14,525.74,123.08,False,2025-01-30
SYN-00023,SYN-CUST-2743,2025-12-16,2026-02-24,Rome,BlueWing,standard,1760.67,1210.62,0.08,Manager 5,paid_search,leisure,returning,1,9,70,card,1,False,EUR,False,0.0,,0,0,0.0,78.09,409.2,309.99,False,2026-04-04
SYN-00024,SYN-CUST-0104,2024-10-18,2024-10-20,Lisbon,BlueWing,luxury,5416.57,4293.13,0.03,Manager 2,direct,leisure,returning,2,6,2,bank_transfer,1,False,EUR,False,0.0,,0,0,0.0,99.62,960.94,796.32,True,2024-12-16
SYN-00025,SYN-CUST-0665,2024-02-16,2024-05-07,Rome,Cedar,standard,1683.41,1248.52,0.08,Manager 2,direct,leisure,new,-1,3,81,bank_transfer,4,False,EUR,False,0.0,,0,0,0.0,0.0,300.21,239.61,False,2024-04-21
SYN-00026,SYN-CUST-1226,2025-03-21,2025-04-18,Zanzibar,Atlas,luxury,5673.3,4372.39,0.12,Manager 7,paid_search,leisure,returning,3,2,28,card,1,True,EUR,False,0.0,,0,0,0.0,45.34,620.12,506.7,True,2025-05-07
SYN-00027,SYN-CUST-1787,2025-06-09,2025-08-16,Lisbon,Atlas,standard,2386.26,1906.84,0.03,Manager 5,direct,leisure,returning,3,14,68,bank_transfer,2,False,EUR,False,0.0,,0,0,0.0,82.95,407.83,277.15,True,2025-06-21
SYN-00028,SYN-CUST-2348,2024-07-18,2024-08-10,Rome,DeltaSun,LUXURY,4250.55,3076.82,0.05,Manager 8,partner,leisure,new,2,7,23,card,1,False,EUR,False,0.0,,0,0,0.0,25.5,961.2,884.69,False,2024-09-14
SYN-00029,SYN-CUST-2909,2025-10-11,2025-10-31,Zanzibar,Atlas,standard,2809.06,2039.85,0.05,Manager 7,paid_search,corporate,returning,3,6,20,bank_transfer,3,True,EUR,False,0.0,,0,0,0.0,48.69,628.76,501.42,False,2025-12-15
SYN-00030,SYN-CUST-0270,2024-03-06,2024-03-08,Reykjavik,BlueWing,premium,3127.53,2208.74,0.05,Manager 7,direct,family,new,3,14,2,bank_transfer,1,False,EUR,False,0.0,,0,0,0.0,7.17,762.41,717.72,False,2024-03-08
SYN-00031,SYN-CUST-0831,2024-03-14,2024-04-03,Lisbon,Cedar,standard,2371.48,1747.56,0.12,Manager 8,partner,family,new,5,2,20,card,2,True,EUR,False,0.0,,0,0,0.0,146.0,339.34,145.91,False,2024-03-29
SYN-00032,SYN-CUST-1392,2025-03-15,2025-07-04,Zanzibar,Cedar,premium,3331.45,2644.52,0.08,Manager 1,paid_search,leisure,returning,3,4,111,card,4,False,EUR,False,0.0,,0,0,0.0,72.92,420.42,227.56,False,2025-06-25
SYN-00033,SYN-CUST-1953,2025-02-08,2025-04-15,Rome,BlueWing,standard,2015.69,1579.2,0.0,Manager 4,direct,corporate,returning,1,2,66,bank_transfer,3,False,EUR,False,0.0,,0,0,0.0,77.63,436.5,302.43,False,2025-05-01
SYN-00034,SYN-CUST-2514,2025-03-20,2025-05-13,Tokyo,BlueWing,standard,3949.92,3169.38,0.03,Manager 6,direct,family,returning,5,6,54,card,1,False,EUR,False,0.0,,0,0,0.0,0.0,662.04,614.64,True,2025-06-29
SYN-00035,SYN-CUST-3075,02/08/2025,2025-09-13,Lisbon,BlueWing,premium,3033.27,2244.62,0.08,Manager 3,direct,leisure,new,3,8,42,bank_transfer,1,False,EUR,False,0.0,,0,0,0.0,89.43,545.99,420.16,False,2025-10-08
SYN-00036,SYN-CUST-0436,2024-11-10,2025-02-22,Rome,Cedar,standard,2234.55,1648.89,0.03,Manager 6,paid_search,leisure,returning,3,11,104,card,1,False,EUR,False,0.0,,0,0,0.0,27.94,518.62,463.86,False,2025-01-29
SYN-00037,SYN-CUST-0997,2024-05-12,2024-05-14,Zanzibar,DeltaSun,standard,2511.69,2036.16,0.03,Manager 2,paid_search,corporate,returning,1,10,2,bank_transfer,1,False,EUR,False,0.0,,2,0,0.0,93.51,400.18,276.52,False,2024-06-10
SYN-00038,SYN-CUST-1558,2024-03-01,2024-03-31,Lisbon,DeltaSun,premium,2247.62,1725.55,0.08,Manager 1,partner,leisure,returning,2,9,30,card,1,False,EUR,True,2011.02,2024-03-19,0,0,0.0,0.0,-1668.76,-1695.73,,2024-04-07
SYN-00039,SYN-CUST-2119,2024-02-18,2024-04-16,Zanzibar,Cedar,standard,2542.36,1865.22,0.0,Manager 8,partner,leisure,returning,3,6,58,card,1,True,EUR,False,0.0,,0,1,85.63,5.74,677.14,555.26,False,2024-04-20
SYN-00040,SYN-CUST-2680,2025-06-09,2025-07-15,Zanzibar,Cedar,premium,4710.33,3438.37,0.05,Manager 5,direct,family,returning,5,4,36,bank_transfer,2,False,EUR,False,0.0,,0,1,43.86,910.88,1036.44,-12.51,True,2025-09-02
SYN-00041,SYN-CUST-0041,2025-04-14,2025-07-12,Lisbon,Atlas,standard,2114.44,1668.52,0.18,Manager 6,direct,leisure,returning,2,9,89,card,1,False,EUR,False,0.0,,0,0,0.0,162.93,65.32,-122.98,False,2025-04-17
SYN-00042,SYN-CUST-0602,2024-09-09,2024-10-23,Tokyo,BlueWing,standard,3503.4,2702.63,0.12,Manager 8,paid_search,leisure,new,1,6,44,card,1,False,EUR,True,2858.57,2024-09-15,0,0,0.0,98.51,-2478.2,-2618.75,,2024-12-05
SYN-00043,SYN-CUST-1163,2024-06-21,2024-09-30,Lisbon,Atlas,standard,2281.13,1658.77,0.18,Manager 4,paid_search,leisure,returning,1,9,101,wallet,3,True,EUR,False,0.0,,0,0,0.0,172.82,211.76,-24.93,False,2024-07-07
SYN-00044,SYN-CUST-1724,2025-08-08,2025-12-10,Lisbon,Atlas,standard,2268.28,1545.35,0.03,Manager 4,partner,leisure,new,1,7,124,card,1,False,EUR,False,0.0,,0,0,0.0,0.0,654.89,627.67,True,2025-10-04
SYN-00045,SYN-CUST-2285,2024-01-02,2024-01-21,Lisbon,Atlas,luxury,3750.15,2478.33,0.05,Manager 2,partner,family,returning,4,7,19,card,1,False,EUR,False,0.0,,0,0,0.0,0.0,1084.32,1039.31,True,2024-01-19
SYN-00046,SYN-CUST-2846,2024-12-11,2025-01-04,Reykjavik,BlueWing,premium,4040.42,2962.23,0.05,Manager 6,partner,leisure,new,2,8,24,card,3,False,EUR,False,0.0,,0,0,0.0,54.04,876.16,708.99,True,2024-12-17
SYN-00047,SYN-CUST-0207,2025-10-22,2025-12-25,Tokyo,Cedar,standard,2319.68,1566.39,0.12,Manager 5,referral,leisure,returning,3,4,64,card,1,False,EUR,False,0.0,,0,0,0.0,31.41,474.93,415.69,False,2025-12-28
SYN-00048,SYN-CUST-0768,2025-09-01,2025-09-24,Rome,BlueWing,standard,3067.87,2229.45,0.03,Manager 3,paid_search,family,new,7,14,23,bank_transfer,2,False,EUR,False,0.0,,0,0,0.0,74.36,746.38,610.67,False,2025-12-05
SYN-00049,SYN-CUST-1329,2025-03-01,2025-05-27,Zanzibar,Cedar,premium,3849.44,2950.1,0.0,Manager 5,referral,leisure,returning,3,2,87,wallet,1,False,EUR,False,0.0,,0,0,0.0,38.74,899.35,814.41,False,2025-04-25
SYN-00050,SYN-CUST-1890,2025-04-01,2025-06-16,Reykjavik,Atlas,premium,3797.15,2648.33,0.03,Manager 2,partner,leisure,new,3,11,76,wallet,3,False,EUR,True,3065.64,2025-04-19,0,0,0.0,0.0,-2030.73,-2137.05,,2025-04-22
SYN-00051,SYN-CUST-2451,2024-10-27,2024-12-18,Zanzibar,Cedar,standard,3230.28,2571.69,0.12,Manager 4,partner,family,new,4,12,52,card,2,False,EUR,False,0.0,,0,0,0.0,8.43,270.96,197.92,False,2025-02-16
SYN-00052,SYN-CUST-3012,2025-03-05,2025-03-07,Reykjavik,DeltaSun,standard,2430.74,1834.15,0.0,Manager 5,direct,leisure,new,1,11,2,wallet,2,False,EUR,False,0.0,,0,0,0.0,16.61,596.59,531.37,False,2025-05-18
SYN-00053,SYN-CUST-0373,2024-12-26,2025-04-13,Reykjavik,Cedar,premium,4244.08,2931.05,0.12,Manager 6,paid_search,leisure,returning,1,10,108,card,1,False,EUR,False,0.0,,0,0,0.0,71.78,803.74,681.02,False,2025-03-15
SYN-00054,SYN-CUST-0934,2025-02-23,2025-05-30,Tokyo,BlueWing,standard,3134.01,2156.96,0.05,Manager 2,partner,leisure,new,3,7,96,card,4,False,EUR,False,0.0,,0,0,0.0,70.9,820.36,636.63,False,2025-05-03
SYN-00055,SYN-CUST-1495,2024-05-28,2024-08-20,Tokyo,DeltaSun,standard,2375.15,1671.14,0.18,Manager 1,referral,leisure,returning,1,7,84,wallet,3,False,EUR,False,0.0,,0,0,0.0,4.54,276.48,205.44,True,2024-08-03
SYN-00056,SYN-CUST-2056,2025-03-03,2025-04-17,Lisbon,BlueWing,standard,3336.96,2530.4,0.12,Manager 5,paid_search,family,returning,6,13,45,card,3,False,EUR,False,0.0,,0,0,0.0,20.9,406.12,291.79,False,2025-05-25
SYN-00057,SYN-CUST-2617,2024-10-27,2025-01-26,Lisbon,Cedar,luxury,2386.84,1741.05,0.05,Manager 7,direct,leisure,new,1,8,91,card,2,True,EUR,False,0.0,,0,4,156.1,523.82,526.45,-201.22,,2024-12-01
SYN-00058,SYN-CUST-3178,2025-11-15,2025-11-17,Tokyo,BlueWing,luxury,6216.16,4410.64,0.08,Manager 4,paid_search,leisure,new,1,5,2,bank_transfer,1,False,EUR,True,4729.87,2025-12-10,1,0,0.0,429.93,-3421.64,-3926.17,,2026-03-06
SYN-00059,SYN-CUST-0539,2025-10-22,2025-11-10,Lisbon,Cedar,standard,1347.86,934.45,0.0,Manager 4,paid_search,corporate,new,3,2,19,card,1,False,EUR,False,0.0,,0,0,0.0,0.0,413.41,397.23,False,2026-01-02
SYN-00060,SYN-CUST-1100,2025-10-18,2025-10-30,Reykjavik,DeltaSun,premium,4335.88,3394.84,0.18,Manager 2,partner,leisure,returning,3,10,12,card,2,False,EUR,False,0.0,,0,0,0.0,0.0,160.58,73.86,,2026-02-06
SYN-00061,SYN-CUST-1661,2024-01-24,2024-03-15,Reykjavik,DeltaSun,premium,3904.99,2696.63,0.08,Manager 6,referral,leisure,new,3,6,51,bank_transfer,1,False,EUR,False,0.0,,0,0,0.0,0.0,895.96,849.1,False,2024-04-28
SYN-00062,SYN-CUST-2222,2024-04-05,2024-08-10,Zanzibar,BlueWing,premium,4164.24,3000.62,0.12,Manager 2,partner,leisure,new,3,2,127,card,3,True,EUR,False,0.0,,0,0,0.0,0.0,663.91,547.31,True,2024-05-09
SYN-00063,SYN-CUST-2783,2025-09-02,2025-10-04,Tokyo,BlueWing,luxury,3956.17,3240.4,0.05,Manager 2,direct,family,new,6,3,32,card,3,False,EUR,False,0.0,,0,0,0.0,58.97,517.97,348.22,True,2025-11-24
SYN-00064,SYN-CUST-0144,2024-10-07,2025-02-23,Lisbon,BlueWing,premium,2887.92,2185.51,0.03,Manager 6,paid_search,family,returning,6,8,139,card,3,False,EUR,False,0.0,,0,0,0.0,80.85,615.77,454.06,True,2024-12-21
SYN-00065,SYN-CUST-0705,2024-01-30,2024-06-23,Reykjavik,Atlas,premium,4439.95,3479.95,0.08,Manager 2,partner,family,returning,6,10,145,card,1,False,EUR,False,0.0,,0,0,0.0,52.02,604.81,499.51,,2024-05-19
SYN-00066,SYN-CUST-1266,2025-04-04,2025-04-22,Lisbon,Cedar,luxury,3893.44,2942.4,0.08,Manager 1,direct,leisure,new,2,9,18,bank_transfer,1,False,EUR,False,0.0,,0,0,0.0,95.62,639.57,497.22,True,2025-07-04
SYN-00067,SYN-CUST-1827,2025-09-17,2025-12-12,Lisbon,,standard,1410.69,941.73,0.05,Manager 3,paid_search,leisure,new,1,9,86,card,1,False,EUR,False,0.0,,0,0,0.0,130.87,398.43,250.63,True,2025-10-22
SYN-00068,SYN-CUST-2388,2025-07-09,2025-08-05,Tokyo,BlueWing,standard,2454.39,1767.25,0.05,Manager 6,direct,leisure,new,1,2,27,bank_transfer,1,False,EUR,False,0.0,,0,0,0.0,34.23,564.43,500.75,False,2025-09-09
SYN-00069,SYN-CUST-2949,2025-08-09,2025-10-05,Zanzibar,Cedar,premium,3309.78,2482.72,0.12,Manager 7,partner,leisure,new,1,9,57,bank_transfer,1,True,EUR,False,0.0,,0,0,0.0,16.36,429.88,373.81,False,2025-09-01
SYN-00070,SYN-CUST-0310,2024-09-02,2024-10-05,Rome,DeltaSun,standard,2361.59,1720.73,0.08,Manager 5,paid_search,corporate,new,2,4,33,card,1,False,EUR,False,0.0,,0,0,0.0,0.0,451.93,423.59,True,2024-09-30
SYN-00071,SYN-CUST-0871,2024-12-26,2025-02-05,Zanzibar,BlueWing,standard,2613.13,1822.94,0.03,Manager 2,paid_search,corporate,new,1,2,41,card,1,False,EUR,False,0.0,,0,0,0.0,0.0,711.79,680.44,True,2025-03-11
SYN-00072,SYN-CUST-1432,2024-02-13,2024-04-22,Tokyo,BlueWing,standard,3035.72,2319.73,0.05,Manager 6,direct,leisure,returning,2,4,69,bank_transfer,3,False,EUR,False,0.0,,0,0,0.0,0.0,564.21,479.21,True,2024-02-24
SYN-00073,SYN-CUST-1993,2025-10-03,2025-11-23,Zanzibar,Atlas,standard,3756.45,2991.22,0.05,Manager 8,paid_search,family,new,3,12,51,card,1,False,EUR,False,0.0,,0,0,0.0,43.09,577.41,489.24,False,2025-11-13
SYN-00074,SYN-CUST-2554,2025-05-01,2025-06-30,Tokyo,DeltaSun,premium,2871.58,2308.21,0.05,Manager 1,paid_search,corporate,returning,2,2,60,bank_transfer,2,False,EUR,False,0.0,,0,0,0.0,4.43,419.8,357.93,True,2025-08-10
SYN-00075,SYN-CUST-3115,2024-12-14,2025-04-09,Rome,DeltaSun,standard,2918.09,2053.13,0.0,Manager 8,referral,leisure,returning,3,9,116,card,3,False,EUR,False,0.0,,0,0,0.0,153.1,864.96,630.15,False,2025-02-16
SYN-00076,SYN-CUST-0476,2024-12-02,2025-01-17,Lisbon,Atlas,standard,2245.29,1679.27,0.0,Manager 5,partner,leisure,new,2,11,46,card,1,False,EUR,False,0.0,,0,0,0.0,57.05,566.02,482.02,False,2025-01-05
SYN-00077,SYN-CUST-1037,2025-02-17,2025-05-01,Reykjavik,Atlas,standard,2288.65,1692.78,0.05,Manager 2,direct,family,returning,6,4,73,bank_transfer,1,False,EUR,False,0.0,,0,0,0.0,19.98,481.44,433.99,False,2025-05-09
SYN-00078,SYN-CUST-1598,2025-04-14,2025-04-17,Tokyo,Cedar,standard,3434.34,2442.1,0.08,Manager 1,paid_search,family,new,3,9,3,card,3,False,EUR,False,0.0,,0,0,0.0,365.85,717.49,255.48,False,2025-07-10
SYN-00079,SYN-CUST-2159,2025-02-23,2025-04-06,Tokyo,BlueWing,premium,4303.94,3190.84,0.08,Manager 6,partner,corporate,returning,2,10,42,card,2,False,EUR,True,3635.47,2025-05-08,0,0,0.0,58.58,-2866.69,-3011.35,False,2025-05-21
SYN-00080,SYN-CUST-2720,2025-03-26,2025-05-16,Reykjavik,Cedar,standard,2557.09,1941.89,0.05,Manager 1,paid_search,leisure,returning,2,6,51,bank_transfer,2,False,EUR,False,0.0,,0,0,0.0,90.0,487.35,346.21,False,2025-04-30
SYN-00081,SYN-CUST-0081,2025-03-03,2025-06-07,Zanzibar,Cedar,standard,2788.16,2000.98,0.0,Manager 5,partner,leisure,returning,2,6,96,bank_transfer,2,False,EUR,False,0.0,,0,0,0.0,566.44,787.18,164.97,,2025-03-03
SYN-00082,SYN-CUST-0642,2025-04-01,2025-05-27,Zanzibar,Atlas,standard,3318.17,2530.81,0.18,Manager 7,paid_search,leisure,returning,3,14,56,card,2,False,EUR,False,0.0,,0,0,0.0,2.61,190.09,121.13,False,2025-06-14
SYN-00083,SYN-CUST-1203,2024-04-16,2024-08-02,Tokyo,BlueWing,standard,3077.16,2471.88,0.12,Manager 3,partner,leisure,new,1,8,108,bank_transfer,1,False,EUR,False,0.0,,1,0,0.0,33.8,236.01,165.28,False,2024-06-20
SYN-00084,SYN-CUST-1764,16/04/2024,2024-08-19,Zanzibar,Cedar,standard,3183.08,2224.06,0.08,Manager 5,direct,family,returning,3,8,125,bank_transfer,1,True,EUR,False,0.0,,0,0,0.0,36.23,704.37,629.95,True,2024-07-30
SYN-00085,SYN-CUST-2325,2024-11-28,2025-02-13,Zanzibar,BlueWing,standard,3465.4,2722.66,0.12,Manager 6,partner,family,returning,5,2,77,bank_transfer,1,True,EUR,False,0.0,,0,0,0.0,20.58,326.88,264.72,True,2025-02-06
SYN-00086,SYN-CUST-2886,2024-01-18,2024-05-11,Tokyo,BlueWing,standard,2428.44,1927.17,0.03,Manager 3,paid_search,leisure,new,1,14,114,card,1,False,EUR,False,0.0,,0,1,83.52,62.92,428.41,252.83,True,2024-03-17
SYN-00087,SYN-CUST-0247,2025-08-22,2025-10-31,Rome,Atlas,standard,2884.21,2060.2,0.18,Manager 4,referral,family,new,7,14,70,card,1,False,EUR,False,0.0,,1,0,0.0,28.49,304.86,241.76,False,2025-11-16
SYN-00088,SYN-CUST-0808,2024-03-20,2024-06-13,Lisbon,Cedar,standard,2472.7,1644.4,0.08,Manager 8,partner,leisure,new,3,7,85,bank_transfer,2,False,EUR,False,0.0,,0,0,0.0,0.0,630.48,581.03,False,2024-04-28
SYN-00089,SYN-CUST-1369,2024-08-07,2024-10-11,Tokyo,Cedar,premium,4232.26,3275.68,0.12,Manager 5,referral,family,returning,6,11,65,card,1,True,EUR,False,0.0,,0,0,0.0,83.58,448.7,314.33,True,2024-10-19
SYN-00090,SYN-CUST-1930,2025-10-27,2025-12-23,Tokyo,Atlas,standard,2734.08,1982.33,0.18,Manager 1,referral,leisure,new,1,9,57,bank_transfer,3,False,EUR,False,0.0,,0,0,0.0,0.0,259.62,183.06,False,2026-02-02
SYN-00091,SYN-CUST-2491,2024-03-20,2024-05-27,Reykjavik,BlueWing,standard,2201.62,1590.1,0.03,Manager 2,partner,leisure,returning,3,4,68,card,2,False,EUR,False,0.0,,0,0,0.0,0.0,545.47,501.44,,2024-04-01
SYN-00092,SYN-CUST-3052,2024-10-21,2024-12-21,Tokyo,BlueWing,premium,4731.93,3543.16,0.0,Manager 7,partner,leisure,new,1,8,61,bank_transfer,1,False,EUR,True,4598.08,2024-11-26,0,0,0.0,36.49,-3409.31,-3502.59,False,2024-12-24
SYN-00093,SYN-CUST-0413,2025-11-05,2026-03-25,Tokyo,BlueWing,luxury,5578.49,4223.85,0.12,Manager 5,paid_search,family,new,7,11,140,card,3,False,EUR,True,4299.09,2026-01-08,0,0,0.0,320.94,-3613.87,-4091.01,False,2025-11-16
SYN-00094,SYN-CUST-0974,2025-08-08,2025-08-31,Reykjavik,DeltaSun,standard,3330.67,2521.47,0.12,Manager 8,referral,leisure,new,1,8,23,card,2,False,EUR,False,0.0,,0,0,0.0,22.16,409.53,320.76,True,2025-08-24
SYN-00095,SYN-CUST-1535,2024-07-15,2024-08-15,Rome,Cedar,standard,2174.44,1537.8,0.05,Manager 8,paid_search,leisure,new,2,5,31,card,4,False,EUR,True,1916.31,2024-07-19,0,0,0.0,326.6,-1388.4,-1793.27,,2024-10-05
SYN-00096,SYN-CUST-2096,2025-06-14,2025-08-28,Zanzibar,BlueWing,luxury,5855.12,4663.32,0.0,Manager 8,direct,leisure,returning,1,10,75,bank_transfer,2,False,EUR,False,0.0,,0,0,0.0,0.0,1191.81,1074.7,True,2025-09-05
SYN-00097,SYN-CUST-2657,2025-01-09,2025-02-05,Zanzibar,DeltaSun,standard,2929.75,2121.58,0.05,Manager 6,partner,leisure,returning,3,7,27,card,2,False,EUR,False,0.0,,0,0,0.0,0.0,661.68,603.09,True,2025-01-30
SYN-00098,SYN-CUST-0018,2025-09-02,2025-10-01,Rome,BlueWing,standard,1816.04,1405.62,0.08,Manager 2,direct,leisure,returning,1,5,29,card,1,False,EUR,True,1460.49,2025-09-21,0,0,0.0,58.04,-1195.35,-1275.18,,2025-12-08
SYN-00099,SYN-CUST-0579,2025-04-19,2025-07-24,Tokyo,Cedar,standard,2911.63,2019.67,0.03,Manager 2,partner,leisure,new,1,3,96,card,3,False,EUR,False,0.0,,0,0,0.0,85.77,804.61,637.32,True,2025-05-16
SYN-00100,SYN-CUST-1140,2025-03-08,2025-04-08,Tokyo,Cedar,standard,3422.2,2360.86,0.0,Manager 2,direct,leisure,returning,2,11,31,wallet,1,False,EUR,False,0.0,,0,0,0.0,51.84,1061.33,968.43,True,2025-06-16
SYN-00101,SYN-CUST-1701,2024-11-30,2025-02-26,Zanzibar,BlueWing,premium,3349.34,2729.53,0.05,Manager 8,direct,family,new,7,9,88,card,1,False,EUR,False,0.0,,0,0,0.0,0.0,452.34,412.15,True,2024-12-08
SYN-00102,SYN-CUST-2262,2025-02-11,2025-04-28,Tokyo,BlueWing,standard,3080.06,2220.03,0.18,Manager 2,partner,leisure,new,2,8,76,bank_transfer,1,False,EUR,False,0.0,,0,0,0.0,115.28,305.62,153.38,True,2025-04-22
SYN-00103,SYN-CUST-2823,2025-10-18,2025-12-11,Tokyo,BlueWing,standard,3002.6,2073.91,0.08,Manager 2,partner,leisure,new,3,2,54,card,1,False,EUR,False,0.0,,0,0,0.0,26.64,688.48,625.81,False,2025-10-29
