batch_id,production_line_id,batch_date,product_line,raw_material_supplier,shift,batch_size_units,operator,machine_id,planned_cycle_time_min,material_grade,humidity_pct,temperature_c,rush_order,currency,defective,scrap_cost_usd,rework_cost_usd,downtime_cost_usd,yield_loss_usd,total_quality_cost_usd,recurrence_90d,inspection_completed_date,quality_notes_count,last_modified_at
MFG-00011,MFG-PL-611,2025-02-15,Line A,Supplier 4,day,320,Operator 4,Machine 4,44.49,premium,68.07,18.1,False,USD,False,136.92,81.47,0.0,22.48,240.87,,,0,2025-04-15
MFG-00012,MFG-PL-672,2025-10-15,Line D,Supplier 1,night,646,Operator 2,Machine 6,43.13,premium,20.0,20.79,True,USD,False,11.7,0.0,27.47,0.0,39.17,False,,0,2025-11-22
MFG-00013,MFG-PL-733,2025-07-05,Line B,Supplier 5,day,285,Operator 3,Machine 5,41.31,premium,47.75,14.02,False,USD,False,23.27,0.0,19.45,2.87,45.59,False,,0,2025-08-12
MFG-00014,MFG-PL-794,2025-06-27,Line C,Supplier 3,day,817,Operator 5,Machine 1,32.36,premium,32.31,13.55,False,USD,False,13.62,20.19,9.93,3.34,47.08,False,,0,2025-08-01
MFG-00015,MFG-PL-855,2024-11-17,Line A,Supplier 3,day,1191,Operator 2,Machine 1,18.81,premium,38.83,20.56,False,USD,False,23.64,18.53,8.66,11.41,62.24,False,,0,2024-12-25
MFG-00016,MFG-PL-016,2025-01-20,Line A,Supplier 5,day,356,Operator 1,Machine 1,18.87,standard,69.69,23.87,True,USD,False,22.27,13.85,30.58,12.43,79.12,,,0,2025-02-12
MFG-00017,MFG-PL-077,2025-08-23,Line D,Supplier 3,night,50,Operator 2,Machine 5,28.8,premium,42.5,23.59,False,USD,False,10.1,26.24,12.87,15.78,64.99,True,,0,2025-10-09
MFG-00018,MFG-PL-138,2024-12-01,Line B,Supplier 2,evening,213,Operator 7,Machine 5,44.02,premium,43.0,17.89,False,USD,False,0.0,5.09,0.0,8.56,13.66,False,,0,2024-12-05
MFG-00019,MFG-PL-199,2024-04-23,Line A,Supplier 5,day,1198,Operator 2,Machine 5,33.72,premium,90.09,11.32,False,USD,False,100.9,47.19,0.0,0.32,148.41,False,,1,2024-05-27
MFG-00020,MFG-PL-260,2025-06-22,Line A,Supplier 5,night,1057,Operator 2,Machine 5,32.94,premium,58.69,37.66,False,USD,False,28.32,20.03,0.0,4.24,52.59,False,,1,2025-08-10
MFG-00021,MFG-PL-321,2024-06-24,Line A,Supplier 3,day,733,Operator 8,Machine 3,67.28,premium,72.76,31.26,False,USD,False,62.04,1.72,25.21,13.09,102.06,False,,0,2024-08-18
MFG-00022,MFG-PL-382,2024-11-08,Line C,Supplier 1,evening,430,Operator 6,Machine 2,67.16,premium,46.41,27.07,False,USD,False,29.86,13.25,9.66,13.75,66.51,False,,0,2024-12-12
MFG-00023,MFG-PL-443,2025-12-05,Line A,Supplier 4,day,50,Operator 3,Machine 5,40.19,premium,45.73,21.6,False,USD,False,100.3,72.82,0.0,0.0,173.12,False,,0,2026-01-22
MFG-00024,MFG-PL-504,2024-04-09,Line D,Supplier 1,day,670,Operator 5,Machine 3,41.51,premium,47.55,20.67,False,USD,False,15.9,13.23,0.0,0.47,29.6,False,,0,2024-04-09
MFG-00025,MFG-PL-565,2025-03-29,LINE D,Supplier 2,evening,587,Operator 6,Machine 4,30.77,premium,35.57,20.75,True,USD,False,6.92,6.46,30.16,1.56,45.09,False,,1,2025-04-24
MFG-00026,MFG-PL-626,2025-07-12,Line A,Supplier 5,day,311,Operator 3,Machine 6,44.4,premium,43.43,22.85,False,USD,False,1.43,11.16,27.2,14.87,54.66,False,,1,2025-07-24
MFG-00027,MFG-PL-687,2024-12-27,Line B,Supplier 1,evening,504,Operator 1,Machine 3,42.78,premium,63.14,21.98,False,USD,False,15.39,15.08,0.0,16.48,46.94,False,,0,2025-02-11
MFG-00028,MFG-PL-748,2024-07-31,Line B,Supplier 1,night,118,Operator 7,Machine 5,28.67,premium,35.39,22.82,False,USD,True,5.09,0.0,13.44,3.77,22.3,,2024-07-31,0,2024-08-12
MFG-00029,MFG-PL-809,2024-09-11,Line A,Supplier 5,evening,887,Operator 2,Machine 4,34.68,standard,53.29,30.53,True,USD,True,158.2,0.0,94.7,0.0,252.9,False,2024-09-13,0,2024-10-12
MFG-00030,MFG-PL-870,2025-02-07,Line C,Supplier 3,night,582,Operator 3,Machine 1,32.38,premium,56.8,20.47,False,USD,False,18.56,14.7,0.58,22.61,56.45,False,,0,2025-03-09
MFG-00031,MFG-PL-031,2025-12-07,Line C,Supplier 3,night,703,Operator 3,Machine 2,13.9,standard,52.7,27.45,False,USD,False,40.64,5.18,15.54,0.0,61.37,False,,0,2026-01-16
MFG-00032,MFG-PL-092,2025-01-07,Line A,Supplier 3,evening,351,Operator 8,Machine 6,31.59,premium,44.42,24.65,False,USD,False,22.41,8.18,10.4,10.93,51.91,False,,0,2025-02-17
MFG-00033,MFG-PL-153,2024-09-21,Line B,Supplier 5,evening,851,Operator 6,Machine 3,29.23,premium,35.64,28.91,False,USD,False,16.13,210.11,2.2,2.86,231.3,False,,0,2024-09-29
MFG-00034,MFG-PL-214,2025-06-04,Line A,Supplier 1,evening,141,Operator 7,Machine 5,29.94,standard,79.5,10.4,False,USD,False,26.56,17.56,0.4,7.75,52.27,,,0,2025-07-08
MFG-00035,MFG-PL-275,2024-04-08,Line A,Supplier 2,day,318,Operator 2,Machine 1,23.54,standard,63.48,22.01,True,USD,False,19.7,24.07,24.05,5.32,73.13,True,,2,2024-05-21
MFG-00036,MFG-PL-336,2025-07-24,Line A,Supplier 3,day,556,Operator 7,Machine 1,5.0,premium,81.86,24.83,False,USD,False,36.03,20.63,57.63,8.84,123.13,True,,0,2025-09-05
MFG-00037,MFG-PL-397,2024-02-18,Line C,Supplier 1,day,1218,Operator 2,Machine 5,33.71,premium,48.32,15.21,False,USD,False,41.01,13.7,0.24,0.28,55.24,True,,0,2024-03-11
MFG-00038,MFG-PL-458,2025-10-06,Line D,Supplier 1,evening,844,Operator 2,Machine 3,45.81,premium,51.63,22.36,False,USD,False,47.81,17.0,20.98,18.99,104.78,False,,1,2025-10-23
MFG-00039,MFG-PL-519,2024-11-26,Line A,Supplier 5,night,912,Operator 2,Machine 1,18.51,standard,60.7,18.48,True,USD,False,163.18,3.12,122.76,3.21,292.27,True,,0,2025-01-10
MFG-00040,MFG-PL-580,2024-06-27,Line C,Supplier 3,evening,798,Operator 1,Machine 1,28.66,premium,22.69,14.27,True,USD,True,35.3,30.08,25.78,0.0,91.16,False,2024-07-01,0,2024-08-04
MFG-00041,MFG-PL-641,2024-05-22,Line B,Supplier 1,night,649,Operator 8,Machine 6,39.44,premium,45.05,18.88,True,USD,False,0.0,16.9,24.94,0.0,41.84,False,,1,2024-06-02
MFG-00042,MFG-PL-702,2024-03-13,Line C,Supplier 3,day,397,Operator 3,Machine 1,23.09,premium,53.65,25.17,False,USD,False,30.74,6.19,19.29,11.58,67.8,False,,0,2024-05-03
MFG-00043,MFG-PL-763,2024-07-03,Line A,Supplier 5,night,742,Operator 5,Machine 1,41.45,premium,54.63,19.13,False,USD,False,47.26,14.54,13.66,0.0,75.47,False,,0,2024-08-07
MFG-00044,MFG-PL-824,2024-05-07,Line C,Supplier 4,night,889,Operator 8,Machine 4,39.39,premium,41.79,11.05,False,USD,False,17.3,5.84,16.58,15.03,54.74,True,,0,2024-05-21
MFG-00045,MFG-PL-885,2024-01-08,Line B,Supplier 5,evening,684,Operator 5,Machine 6,5.01,premium,57.62,17.84,False,USD,False,10.91,17.62,30.38,9.38,68.29,False,,0,2024-03-04
MFG-00046,MFG-PL-046,2024-10-06,Line A,Supplier 3,day,904,Operator 2,Machine 2,36.05,standard,56.48,18.07,False,USD,True,51.0,8.99,13.49,0.0,73.47,False,2024-10-06,0,2024-11-07
MFG-00047,MFG-PL-107,2024-10-21,Line D,Supplier 3,night,870,Operator 2,Machine 6,25.14,standard,62.23,33.61,False,USD,False,17.18,8.68,15.08,16.06,57.0,False,,0,2024-11-21
MFG-00048,MFG-PL-168,2024-11-14,Line A,Supplier 1,evening,646,Operator 7,Machine 6,57.24,standard,70.78,29.89,False,USD,True,30.37,0.89,0.0,0.0,31.26,False,2024-11-15,0,2025-01-11
MFG-00049,MFG-PL-229,2025-11-29,Line D,Supplier 3,night,921,Operator 2,Machine 4,29.57,premium,45.8,23.66,False,USD,False,8.76,10.87,8.74,7.55,35.92,False,,0,2026-01-15
MFG-00050,MFG-PL-290,2024-03-24,Line A,Supplier 2,night,657,Operator 7,Machine 4,40.95,premium,48.88,25.99,False,USD,False,10.97,2.4,22.85,0.0,36.22,False,,0,2024-05-02
MFG-00051,MFG-PL-351,2025-12-08,Line B,Supplier 4,night,1028,Operator 6,Machine 5,40.93,premium,38.6,32.24,True,USD,False,126.84,192.82,28.17,11.19,359.02,True,,0,2026-01-04
MFG-00052,MFG-PL-412,2025-05-21,Line A,Supplier 1,night,495,Operator 2,Machine 3,21.98,standard,44.52,18.73,True,USD,False,8.54,19.76,208.39,53.48,290.16,False,,1,2025-07-15
MFG-00053,MFG-PL-473,2025-10-03,Line C,Supplier 2,night,972,Operator 2,Machine 4,29.29,premium,32.78,26.49,False,USD,False,49.28,19.81,8.92,5.68,83.7,,,0,2025-11-16
MFG-00054,MFG-PL-534,2025-04-18,Line B,Supplier 4,day,1272,Operator 2,Machine 2,44.02,standard,54.97,11.21,False,USD,False,30.11,32.49,1.57,0.11,64.28,False,,0,2025-05-12
MFG-00055,MFG-PL-595,2025-07-25,Line B,Supplier 3,evening,286,Operator 5,Machine 5,20.19,standard,51.63,24.05,False,USD,False,0.9,37.81,21.1,6.39,66.2,True,,0,2025-08-10
MFG-00056,MFG-PL-656,2024-09-04,Line A,Supplier 3,day,646,Operator 8,Machine 3,46.62,premium,50.31,24.29,False,USD,False,23.94,25.54,16.82,13.2,79.49,False,,0,2024-10-15
MFG-00057,MFG-PL-717,2025-08-30,Line A,Supplier 1,day,949,Operator 2,Machine 6,40.28,standard,54.51,23.19,False,USD,False,48.96,11.87,9.79,2.35,72.97,,,0,2025-09-07
MFG-00058,MFG-PL-778,2025-12-25,Line A,Supplier 1,day,1064,Operator 8,Machine 2,33.8,premium,42.91,24.86,False,USD,False,27.61,10.84,9.87,0.0,48.32,False,,0,2025-12-27
MFG-00059,MFG-PL-839,2025-09-25,Line B,Supplier 4,evening,475,Operator 1,Machine 5,33.12,premium,58.93,22.65,False,USD,False,161.41,59.69,14.17,0.0,235.27,False,,0,2025-11-24
MFG-00060,MFG-PL-900,2025-02-13,Line B,Supplier 1,evening,174,Operator 7,Machine 5,45.06,premium,44.17,17.44,False,USD,False,27.53,0.0,4.97,17.61,50.11,False,,0,2025-03-01
MFG-00061,MFG-PL-061,2025-01-27,Line C,Supplier 3,night,1257,Operator 2,Machine 2,34.47,premium,62.18,14.06,False,USD,False,35.3,12.24,15.87,19.55,82.96,False,,0,2025-03-09
MFG-00062,MFG-PL-122,2025-08-15,Line A,Supplier 5,day,371,Operator 1,Machine 3,24.25,standard,58.86,23.51,False,USD,True,15.22,18.13,3.97,17.03,54.35,True,2025-08-16,0,2025-09-19
MFG-00063,MFG-PL-183,2024-11-12,Line D,Supplier 1,evening,1399,Operator 2,Machine 6,50.72,premium,44.66,13.49,False,USD,False,36.1,20.25,1.53,0.0,57.88,,,1,2024-12-25
MFG-00064,MFG-PL-244,2024-07-01,Line D,Supplier 2,night,103,Operator 6,Machine 5,21.38,standard,58.2,24.68,True,USD,True,7.09,4.93,39.37,16.49,67.87,False,2024-07-04,0,2024-08-19
MFG-00065,MFG-PL-305,2025-02-23,Line D,Supplier 5,evening,480,Operator 1,Machine 2,57.64,premium,49.28,24.12,False,USD,True,15.99,28.28,11.41,7.28,62.97,False,2025-02-24,1,2025-03-04
MFG-00066,MFG-PL-366,2025-04-20,Line D,Supplier 4,day,430,Operator 8,Machine 3,51.64,premium,33.76,14.59,False,USD,False,99.45,58.05,10.7,9.61,177.81,True,,1,2025-06-07
MFG-00067,MFG-PL-427,2024-09-10,Line D,Supplier 2,night,488,Operator 3,Machine 6,17.2,premium,39.47,26.54,False,USD,False,29.69,25.19,19.99,16.24,91.11,,,0,2024-09-29
MFG-00068,MFG-PL-488,2024-10-30,Line A,Supplier 4,night,413,Operator 2,Machine 4,35.93,standard,67.8,31.77,False,USD,False,14.41,3.72,4.58,16.93,39.64,False,,0,2024-11-12
MFG-00069,MFG-PL-549,2025-07-04,Line B,Supplier 2,evening,960,Operator 6,Machine 5,52.54,standard,64.05,24.06,False,USD,True,26.8,15.58,10.38,4.28,57.04,False,2025-07-05,0,2025-08-22
MFG-00070,MFG-PL-610,2025-02-18,Line A,Supplier 4,night,414,Operator 2,Machine 2,42.47,premium,49.01,19.47,True,USD,False,95.37,81.74,22.0,1.89,201.0,True,,0,2025-04-18
MFG-00071,MFG-PL-671,2025-03-18,Line D,Supplier 3,day,407,Operator 7,Machine 2,19.41,standard,57.95,36.82,False,USD,True,44.7,15.09,21.83,23.54,105.16,,2025-03-22,0,2025-04-03
MFG-00072,MFG-PL-732,2024-06-23,Line B,Supplier 1,evening,662,Operator 4,Machine 3,29.49,premium,49.24,23.59,False,USD,False,9.26,13.8,4.87,0.0,27.94,False,,0,2024-07-05
MFG-00073,MFG-PL-793,2025-01-26,Line A,Supplier 2,day,738,Operator 4,Machine 6,28.71,premium,44.77,21.28,False,USD,False,20.2,18.71,15.21,10.16,64.29,False,,0,2025-02-21
MFG-00074,MFG-PL-854,2024-09-20,Line A,Supplier 5,evening,1016,Operator 4,Machine 2,22.4,premium,52.57,22.41,False,USD,False,28.36,24.22,27.05,15.13,94.75,True,,1,2024-10-13
MFG-00075,MFG-PL-015,2024-06-25,Line D,Supplier 4,evening,537,Operator 1,Machine 5,36.79,premium,43.52,18.58,False,USD,True,22.34,9.77,2.93,9.24,44.27,False,2024-06-30,0,2024-07-11
MFG-00076,MFG-PL-076,2025-06-29,Line A,Supplier 1,night,190,Operator 6,Machine 2,25.31,premium,59.25,13.51,False,USD,True,5.09,25.33,14.02,22.01,66.45,True,2025-07-01,0,2025-07-31
MFG-00077,MFG-PL-137,2024-11-24,Line A,Supplier 5,day,576,Operator 3,Machine 1,28.66,premium,35.36,23.98,False,USD,False,9.31,8.57,7.21,7.9,32.98,False,,0,2025-01-13
MFG-00078,MFG-PL-198,2024-06-19,Line B,Supplier 2,night,778,Operator 3,Machine 2,26.85,premium,50.68,22.28,False,USD,False,22.6,26.24,10.34,4.37,63.55,True,,1,2024-08-03
MFG-00079,MFG-PL-259,2025-04-10,Line B,Supplier 4,evening,629,Operator 1,Machine 6,35.98,premium,39.83,20.41,True,USD,False,106.2,74.42,24.67,7.04,212.32,True,,1,2025-05-14
MFG-00080,MFG-PL-320,2024-04-22,Line C,Supplier 3,night,576,Operator 4,Machine 5,18.99,standard,50.26,30.71,False,USD,False,5.42,14.43,30.78,3.82,54.46,False,,0,2024-05-13
MFG-00081,MFG-PL-381,2024-04-19,Line B,Supplier 5,evening,50,Operator 8,Machine 2,38.75,premium,40.74,24.9,False,USD,True,0.0,17.99,17.15,5.78,40.92,,2024-04-24,0,2024-06-17
MFG-00082,MFG-PL-442,2024-09-20,Line B,Supplier 5,night,326,Operator 4,Machine 1,37.43,standard,60.2,9.09,True,USD,False,11.5,22.58,33.06,8.37,75.5,False,,0,2024-11-18
MFG-00083,MFG-PL-503,2025-03-25,Line A,Supplier 4,evening,755,Operator 3,Machine 1,43.21,standard,58.68,26.54,False,USD,False,27.86,4.63,17.58,2.47,52.54,True,,0,2025-05-02
MFG-00084,MFG-PL-564,2024-01-10,Line C,Supplier 4,evening,970,Operator 3,Machine 6,41.89,premium,48.59,20.77,False,USD,False,39.17,0.0,12.22,12.92,64.32,False,,0,2024-02-09
MFG-00085,MFG-PL-625,2025-12-14,Line D,Supplier 4,day,805,Operator 8,Machine 4,27.92,standard,67.18,4.38,False,USD,False,135.55,61.32,22.78,13.93,233.57,True,,0,2026-01-11
MFG-00086,MFG-PL-686,2024-08-16,Line D,Supplier 4,night,777,Operator 6,Machine 1,53.29,premium,40.01,21.31,False,USD,False,35.44,33.16,0.0,12.4,81.0,False,,1,2024-08-20
MFG-00087,MFG-PL-747,2024-09-16,Line C,Supplier 3,night,339,Operator 8,Machine 2,48.62,premium,29.16,10.34,False,USD,False,0.0,32.26,16.34,16.15,64.75,True,,0,2024-09-21
MFG-00088,MFG-PL-808,2024-09-04,Line D,Supplier 3,night,382,Operator 8,Machine 5,10.08,standard,77.82,16.07,False,USD,False,29.63,9.06,42.22,22.04,102.95,False,,0,2024-10-04
MFG-00089,MFG-PL-869,2024-08-03,Line A,Supplier 4,day,878,Operator 8,Machine 2,32.9,standard,36.58,13.27,False,USD,False,43.7,16.01,10.87,10.02,80.59,False,,0,2024-10-01
MFG-00090,MFG-PL-030,2024-01-16,Line C,Supplier 4,day,766,Operator 2,Machine 3,39.91,premium,34.72,16.76,False,USD,False,23.34,16.07,9.88,11.57,60.86,False,,0,2024-01-22
MFG-00091,MFG-PL-091,2024-12-23,Line D,Supplier 5,day,417,Operator 2,Machine 6,25.36,premium,51.86,20.06,False,USD,False,1.02,13.26,0.0,20.03,34.32,False,,0,2025-01-22
MFG-00092,MFG-PL-152,2024-07-27,Line D,Supplier 2,night,564,Operator 4,Machine 2,32.23,premium,44.32,24.57,True,USD,False,21.0,34.16,22.0,0.0,77.16,False,,0,2024-08-31
MFG-00093,MFG-PL-213,2024-01-04,Line D,Supplier 5,day,634,Operator 1,Machine 5,40.83,premium,40.55,24.73,True,USD,True,40.62,0.08,40.21,14.04,94.95,,2024-01-07,0,2024-01-06
MFG-00094,MFG-PL-274,2024-03-26,Line D,Supplier 1,day,854,Operator 2,Machine 1,33.39,premium,20.0,13.36,False,USD,False,13.49,16.08,10.05,0.0,39.62,False,,0,2024-04-11
MFG-00095,MFG-PL-335,2024-06-23,Line B,Supplier 5,evening,599,Operator 4,Machine 3,32.41,premium,49.3,20.49,False,USD,False,14.49,30.73,15.01,0.98,61.21,False,,0,2024-07-09
MFG-00096,MFG-PL-396,2025-07-27,Line A,Supplier 1,night,931,Operator 2,Machine 3,37.17,premium,38.46,18.08,True,USD,False,7.88,3.57,26.0,10.4,47.86,False,,1,2025-08-21
MFG-00097,MFG-PL-457,2025-12-31,Line A,Supplier 2,evening,176,Operator 4,Machine 5,44.04,premium,52.7,20.01,False,USD,False,4.44,2.84,15.25,15.21,37.74,True,,0,2026-01-31
MFG-00098,MFG-PL-518,2024-08-10,Line D,Supplier 4,evening,482,Operator 6,Machine 1,50.51,premium,56.32,31.23,False,USD,False,8.39,0.0,0.0,7.1,15.49,False,,0,2024-10-06
MFG-00099,MFG-PL-579,2024-08-03,Line C,Supplier 3,evening,247,Operator 8,Machine 6,31.23,premium,40.97,26.7,True,USD,False,0.0,14.78,45.41,1.65,61.84,False,,0,2024-08-06
MFG-00100,MFG-PL-640,2025-08-15,Line C,Supplier 1,night,1068,Operator 6,Machine 5,48.54,standard,58.61,25.36,False,USD,False,32.52,11.95,20.3,4.63,69.4,,,3,2025-10-03
MFG-00101,MFG-PL-701,29/06/2024,Line D,Supplier 5,evening,1047,Operator 5,Machine 6,22.97,standard,53.24,13.76,False,USD,False,47.69,21.8,12.94,13.63,96.07,False,,0,2024-06-29
MFG-00102,MFG-PL-762,2025-07-20,Line A,Supplier 4,night,754,Operator 7,Machine 4,12.87,standard,53.07,30.84,False,USD,False,21.26,30.43,27.6,6.64,85.93,False,,0,2025-08-27
MFG-00103,MFG-PL-823,2025-03-22,Line C,Supplier 3,day,50,Operator 4,Machine 5,40.22,premium,49.35,14.99,False,USD,False,19.63,1.81,23.64,0.29,45.37,False,,0,2025-05-10
MFG-00104,MFG-PL-884,2025-12-05,Line A,Supplier 2,evening,76,Operator 3,Machine 5,45.33,standard,62.75,28.09,False,USD,False,7.01,3.11,0.0,16.08,26.2,,,0,2025-12-20
MFG-00105,MFG-PL-045,2024-06-23,Line D,Supplier 5,evening,527,Operator 8,Machine 6,30.66,premium,45.93,29.25,False,USD,False,9.0,15.79,17.44,2.57,44.8,False,,0,2024-07-18
MFG-00106,MFG-PL-106,2025-09-20,Line C,Supplier 2,night,50,Operator 8,Machine 5,41.5,standard,52.89,6.74,False,USD,True,14.35,8.95,27.08,9.95,60.32,True,2025-09-23,0,2025-10-08
MFG-00107,MFG-PL-167,2024-06-22,Line B,Supplier 2,evening,707,Operator 2,Machine 4,36.37,premium,30.51,18.72,False,USD,False,19.79,0.0,0.0,4.77,24.55,False,,0,2024-08-07
MFG-00108,MFG-PL-228,2024-06-17,Line D,Supplier 4,evening,1235,Operator 2,Machine 1,25.01,premium,54.08,29.51,False,USD,True,35.53,9.99,8.33,16.52,70.38,,2024-06-21,0,2024-08-04
MFG-00109,MFG-PL-289,2025-03-04,Line D,Supplier 4,evening,439,Operator 2,Machine 6,30.79,premium,38.38,17.6,False,USD,False,107.46,49.38,20.17,0.0,177.0,False,,0,2025-03-11
MFG-00110,MFG-PL-350,2025-12-14,Line A,Supplier 4,night,682,Operator 3,Machine 3,30.46,standard,56.12,21.76,False,USD,False,34.99,17.89,0.0,2.44,55.32,False,,0,2026-01-09
MFG-00111,MFG-PL-411,2025-06-04,Line C,Supplier 3,night,878,Operator 2,Machine 6,28.34,standard,60.18,30.4,False,USD,False,32.19,16.03,16.68,4.44,69.35,False,,0,2025-07-16
MFG-00112,MFG-PL-472,2025-04-25,Line B,Supplier 4,day,380,Operator 3,Machine 1,22.48,premium,54.88,18.77,True,USD,False,139.93,76.61,25.53,13.83,255.9,False,,0,2025-05-13
MFG-00113,MFG-PL-533,2024-08-04,Line B,Supplier 1,day,403,Operator 8,Machine 4,22.15,standard,54.13,24.42,True,USD,False,4.92,12.07,34.91,4.39,56.29,False,,0,2024-09-13
MFG-00114,MFG-PL-594,2024-07-20,Line C,Supplier 4,evening,260,Operator 2,Machine 5,39.98,premium,28.83,15.19,True,USD,False,18.88,18.38,46.57,15.22,99.06,False,,1,2024-08-16
MFG-00115,MFG-PL-655,2024-01-30,Line A,Supplier 1,evening,1136,Operator 2,Machine 6,41.31,premium,36.1,19.12,False,USD,False,36.44,12.21,17.64,8.07,74.37,False,,0,2024-02-27
MFG-00116,MFG-PL-716,2024-11-01,Line A,Supplier 3,night,707,Operator 3,Machine 5,42.59,premium,52.49,36.34,False,USD,False,22.05,14.15,1.02,0.0,37.21,False,,0,2024-11-16
MFG-00117,MFG-PL-777,2024-02-25,Line C,Supplier 1,night,388,Operator 8,Machine 3,48.65,standard,78.06,29.32,True,USD,False,50.36,5.81,159.61,0.0,215.78,False,,0,2024-03-22
MFG-00118,MFG-PL-838,2025-10-12,Line C,Supplier 5,evening,1514,Operator 2,Machine 4,50.83,premium,41.29,13.07,True,USD,True,48.33,30.86,34.0,5.11,118.31,,2025-10-12,0,2025-10-25
MFG-00119,MFG-PL-899,2024-03-23,Line C,Supplier 2,evening,449,Operator 1,Machine 2,28.26,premium,46.44,22.68,True,USD,False,9.49,20.12,27.91,0.0,57.52,False,,0,2024-04-19
MFG-00120,MFG-PL-060,2025-01-10,Line B,Supplier 3,evening,1065,Operator 1,Machine 4,52.87,standard,59.48,14.59,False,USD,False,44.66,22.78,14.62,5.23,87.3,True,,1,2025-02-24
MFG-00121,MFG-PL-121,2024-03-24,Line C,Supplier 4,night,556,Operator 8,Machine 2,20.27,standard,56.31,10.54,False,USD,False,28.48,38.34,23.59,14.91,105.32,False,,0,2024-04-20
MFG-00122,MFG-PL-182,2024-09-21,Line D,Supplier 1,night,786,Operator 1,Machine 2,34.68,premium,48.0,21.69,True,USD,False,8.33,17.5,22.0,7.08,54.91,False,,0,2024-09-26
MFG-00123,MFG-PL-243,2025-03-19,Line A,Supplier 4,day,450,Operator 4,Machine 6,30.91,standard,50.71,27.71,False,USD,False,26.99,26.19,8.14,0.0,61.32,False,,0,2025-04-28
MFG-00124,MFG-PL-304,2025-03-24,Line C,Supplier 3,evening,556,Operator 4,Machine 2,23.77,premium,34.57,22.56,False,USD,False,18.48,28.0,13.99,14.47,74.94,,,2,2025-05-19
MFG-00125,MFG-PL-365,2025-05-15,Line B,Supplier 5,day,430,Operator 1,Machine 6,15.76,standard,54.15,30.58,False,USD,False,9.06,12.98,19.03,0.0,41.06,False,,0,2025-06-17
MFG-00126,MFG-PL-426,2025-10-23,Line C,Supplier 3,day,1202,Operator 1,Machine 1,16.76,premium,27.68,30.09,False,USD,False,35.33,3.03,23.58,18.39,80.33,False,,0,2025-12-10
MFG-00127,MFG-PL-487,2024-07-01,Line C,Supplier 1,day,861,Operator 3,Machine 3,35.87,premium,40.85,18.66,False,USD,True,38.37,26.66,11.58,0.71,77.32,False,2024-07-04,0,2024-07-02
MFG-00128,MFG-PL-548,2025-07-15,Line C,Supplier 4,night,1421,Operator 2,Machine 4,41.85,standard,52.61,8.37,False,USD,False,44.15,8.31,8.46,18.17,79.1,False,,1,2025-09-09
MFG-00129,MFG-PL-609,2025-05-25,Line C,Supplier 1,day,362,Operator 3,Machine 3,49.39,premium,49.2,29.8,False,USD,False,18.86,31.65,10.51,14.19,75.22,False,,0,2025-05-28
