deal_id,account_id,deal_created_date,lead_source,industry,company_size_band,deal_size_usd,sales_rep,sales_region,product_line,discount_requested_pct,competitor_involved,lead_score,decision_maker_engaged,currency,lost,won_amount_usd,sales_cost_usd,discount_leakage_usd,gross_deal_margin_usd,net_deal_contribution_usd,expansion_180d,close_date,notes_count,last_modified_at
DEAL-00011,DEAL-ACC-0811,2025-01-26,organic,retail,small,9836.2,Rep 4,Region West,Suite,3.96,False,55,False,USD,False,9836.2,615.3,389.4,9220.91,8831.51,False,2025-03-03,0,2025-02-02
DEAL-00012,DEAL-ACC-0372,2024-06-09,paid,manufacturing,small,7345.79,Rep 8,Region Central,Platform,18.79,False,71,True,USD,False,7345.79,918.33,1380.43,6427.45,5047.02,False,2024-06-26,0,2024-08-08
DEAL-00013,DEAL-ACC-2533,2024-12-17,webinar,manufacturing,large,53600.63,Rep 4,Region South,Suite,0.0,False,53,False,USD,False,53600.63,7516.74,0.0,46083.9,46083.9,False,2025-01-06,0,2025-01-14
DEAL-00014,DEAL-ACC-2094,2024-09-27,organic,manufacturing,large,55989.27,Rep 2,Region West,Suite,9.95,False,71,False,USD,True,0.0,22188.04,5573.08,-22188.04,-27761.12,True,2024-12-21,0,2024-11-20
DEAL-00015,DEAL-ACC-1655,2025-05-13,cold_call,manufacturing,small,9977.56,Rep 1,Region East,Platform,16.08,False,97,False,USD,False,9977.56,2.11,1604.35,9975.45,8371.1,False,2025-07-26,1,2025-05-22
DEAL-00016,DEAL-ACC-1216,2024-05-13,referral,healthcare,medium,20715.12,Rep 2,Region Central,Platform,0.0,False,51,True,USD,False,20715.12,5465.45,0.0,15249.67,15249.67,,2024-06-01,0,2024-06-18
DEAL-00017,DEAL-ACC-0777,2024-11-06,cold_call,finance,small,8133.45,Rep 1,Region South,Suite,0.0,False,67,False,USD,False,8133.45,1481.99,0.0,6651.45,6651.45,True,2025-01-18,0,2024-11-17
DEAL-00018,DEAL-ACC-0338,2025-03-06,cold_call,retail,large,74543.75,Rep 2,Region West,Platform,9.02,False,65,False,USD,False,74543.75,12586.35,6721.11,61957.4,55236.28,False,2025-05-29,0,2025-04-22
DEAL-00019,DEAL-ACC-2499,2025-01-31,paid,manufacturing,medium,20385.3,Rep 7,Region West,Standalone,18.55,False,82,True,USD,True,0.0,1335.59,3782.22,-1335.59,-5117.81,,2025-04-20,0,2025-03-30
DEAL-00020,DEAL-ACC-2060,2024-06-04,referral,tech,medium,24494.63,Rep 8,Region South,Platform,0.0,False,84,False,USD,True,0.0,0.0,0.0,0.0,0.0,,,0,2024-07-01
DEAL-00021,DEAL-ACC-1621,2024-11-27,organic,healthcare,large,51174.03,Rep 7,Region Central,Platform,8.09,False,61,False,USD,False,51174.03,0.0,4141.48,51174.03,47032.55,False,,0,2025-01-14
DEAL-00022,DEAL-ACC-1182,2025-03-02,paid,finance,large,44829.31,Rep 8,Region Central,Standalone,14.76,True,57,False,USD,False,44829.31,11438.03,6617.72,33391.28,26773.56,False,2025-03-24,0,2025-03-03
DEAL-00023,DEAL-ACC-0743,2025-12-25,webinar,tech,large,64021.71,Rep 3,Region West,Standalone,34.2,True,63,False,USD,True,0.0,14949.93,21894.43,-14949.93,-36844.36,,,0,2026-02-06
DEAL-00024,DEAL-ACC-0304,2024-12-16,paid,manufacturing,medium,25414.5,Rep 3,Region West,Platform,13.82,False,43,False,USD,False,25414.5,7229.84,3512.96,18184.66,14671.7,True,2025-02-28,0,2025-01-09
DEAL-00025,DEAL-ACC-2465,2024-03-15,referral,retail,small,7387.98,Rep 8,Region South,Platform,14.82,False,83,False,USD,False,7387.98,760.84,1094.64,6627.14,5532.5,False,2024-05-17,0,2024-04-07
DEAL-00026,DEAL-ACC-2026,2025-05-08,organic,tech,medium,24463.07,Rep 6,Region West,Suite,22.19,True,42,False,USD,False,24463.07,2849.49,5427.42,21613.58,16186.16,True,2025-08-02,0,2025-05-12
DEAL-00027,DEAL-ACC-1587,2024-05-05,cold_call,tech,small,7860.47,Rep 2,Region East,Suite,17.68,False,99,False,USD,False,7860.47,0.0,1390.1,7860.47,6470.37,True,2024-06-19,0,2024-06-01
DEAL-00028,DEAL-ACC-1148,2024-01-26,organic,manufacturing,enterprise,147169.14,Rep 7,Region South,Platform,21.7,False,58,True,USD,False,147169.14,23303.17,31929.19,123865.96,91936.77,True,2024-03-05,0,2024-02-24
DEAL-00029,DEAL-ACC-0709,2024-06-25,paid,tech,enterprise,150531.63,Rep 7,Region Central,Suite,10.33,False,92,False,USD,True,0.0,13442.15,15551.61,-13442.15,-28993.75,,2024-07-26,0,2024-08-16
DEAL-00030,DEAL-ACC-0270,2024-08-18,cold_call,manufacturing,small,7181.24,Rep 7,Region East,Standalone,17.84,False,81,False,USD,False,7181.24,0.0,1281.23,7181.24,5900.0,False,2024-10-24,1,2024-08-31
DEAL-00031,DEAL-ACC-2431,2024-01-20,webinar,finance,small,8597.59,Rep 6,Region South,Standalone,12.38,False,58,False,USD,False,8597.59,2107.46,1064.18,6490.13,5425.95,,,0,2024-02-05
DEAL-00032,DEAL-ACC-1992,2024-03-25,cold_call,healthcare,large,61797.47,Rep 7,Region West,Suite,19.37,True,56,False,USD,False,61797.47,7032.63,11971.79,54764.84,42793.04,True,2024-04-27,0,2024-05-17
DEAL-00033,DEAL-ACC-1553,2025-06-02,paid,tech,large,65619.93,Rep 8,Region South,Standalone,3.58,True,53,False,USD,True,0.0,14776.11,2351.45,-14776.11,-17127.56,,2025-07-10,0,2025-07-06
DEAL-00034,DEAL-ACC-1114,2025-09-28,referral,manufacturing,small,6564.1,Rep 5,Region South,Platform,21.04,False,80,True,USD,False,6564.1,583.51,1381.37,5980.59,4599.22,True,,1,2025-11-16
DEAL-00035,DEAL-ACC-0675,2025-06-04,paid,tech,large,45472.2,Rep 1,Region West,Standalone,10.62,False,95,False,USD,False,45472.2,2529.65,4831.02,42942.55,38111.53,False,2025-07-14,0,2025-07-28
DEAL-00036,DEAL-ACC-0236,2024-04-08,cold_call,finance,small,6577.22,Rep 3,Region East,Standalone,6.36,True,67,False,USD,False,6577.22,1647.8,418.26,4929.42,4511.16,True,2024-05-17,4,2024-05-21
DEAL-00037,DEAL-ACC-2397,2025-07-24,cold_call,finance,large,57342.83,Rep 7,Region East,Platform,0.0,False,76,False,USD,False,57342.83,2048.72,0.0,55294.11,55294.11,True,2025-08-04,0,2025-08-10
DEAL-00038,DEAL-ACC-1958,2024-06-06,referral,finance,large,58878.11,Rep 3,Region West,Platform,5.39,True,80,False,USD,False,58878.11,15180.4,3171.2,43697.71,40526.51,True,2024-07-25,0,2024-07-04
DEAL-00039,DEAL-ACC-1519,2024-02-06,webinar,finance,medium,25433.38,Rep 6,Region Central,Platform,13.56,True,66,False,USD,False,25433.38,6903.66,3448.68,18529.72,15081.03,False,2024-03-24,0,2024-02-26
DEAL-00040,DEAL-ACC-1080,2024-06-04,paid,healthcare,small,10495.0,Rep 4,Region Central,Standalone,14.34,True,61,False,USD,False,10495.0,2295.03,1504.67,8199.97,6695.3,False,2024-07-26,0,2024-08-01
DEAL-00041,DEAL-ACC-0641,2024-06-27,referral,healthcare,small,8636.99,Rep 4,Region East,Platform,9.77,False,59,False,USD,False,8636.99,1331.43,843.93,7305.56,6461.63,False,,0,2024-07-25
DEAL-00042,DEAL-ACC-0202,2025-09-22,organic,tech,medium,22739.78,Rep 4,Region Central,Suite,12.22,True,53,False,USD,False,22739.78,2984.2,2777.68,19755.58,16977.9,False,2025-11-03,0,2025-11-02
DEAL-00043,DEAL-ACC-2363,2024-08-07,cold_call,healthcare,small,9980.15,Rep 8,Region South,Suite,17.02,False,52,False,USD,True,0.0,1136.42,1699.02,-1136.42,-2835.43,,2024-10-18,0,2024-09-13
DEAL-00044,DEAL-ACC-1924,2025-03-31,referral,healthcare,large,60431.45,Rep 1,Region South,Platform,8.04,True,49,False,USD,False,60431.45,21962.32,4861.19,38469.13,33607.94,False,2025-06-09,0,2025-04-01
DEAL-00045,DEAL-ACC-1485,2024-04-07,cold_call,retail,medium,21888.03,Rep 5,Region Central,Standalone,5.38,True,49,False,USD,False,21888.03,169.01,1177.32,21719.03,20541.71,True,2024-04-28,0,2024-05-01
DEAL-00046,DEAL-ACC-1046,2024-08-21,organic,finance,medium,17962.01,Rep 8,Region East,Standalone,14.22,False,43,True,USD,False,17962.01,7133.06,2554.48,10828.95,8274.48,False,2024-10-31,0,2024-08-21
DEAL-00047,DEAL-ACC-0607,2024-12-11,paid,manufacturing,small,6691.68,Rep 3,Region South,Platform,20.97,False,56,True,USD,True,0.0,0.0,1403.45,0.0,-1403.45,False,2025-02-14,1,2025-01-02
DEAL-00048,DEAL-ACC-0168,2025-04-09,paid,healthcare,large,41427.42,Rep 2,Region Central,Standalone,11.2,True,72,True,USD,True,0.0,3324.09,4639.65,-3324.09,-7963.74,False,2025-06-29,0,2025-04-20
DEAL-00049,DEAL-ACC-2329,2025-04-26,organic,finance,medium,25498.38,Rep 1,Region South,Suite,13.68,True,30,False,USD,False,25498.38,12915.86,3487.81,12582.52,9094.72,True,2025-07-24,0,2025-06-02
DEAL-00050,DEAL-ACC-1890,2025-04-11,cold_call,manufacturing,medium,18086.0,Rep 8,Region West,Platform,2.27,False,68,False,USD,False,18086.0,1059.75,411.4,17026.24,16614.84,False,2025-06-05,0,2025-05-15
DEAL-00051,DEAL-ACC-1451,2024-03-17,webinar,healthcare,medium,33162.24,Rep 5,Region East,Platform,12.97,True,59,True,USD,False,33162.24,4059.05,4301.31,29103.19,24801.89,False,2024-06-03,0,2024-04-27
DEAL-00052,DEAL-ACC-1012,2024-09-08,cold_call,manufacturing,enterprise,141312.56,Rep 2,Region East,Suite,14.59,False,53,False,USD,True,0.0,15403.21,20613.35,-15403.21,-36016.56,False,,0,2024-09-12
DEAL-00053,DEAL-ACC-0573,2024-08-09,paid,retail,medium,26563.93,Rep 2,Region South,Suite,15.86,False,50,True,USD,True,0.0,3676.1,4214.12,-3676.1,-7890.22,False,2024-10-20,0,2024-09-13
DEAL-00054,DEAL-ACC-0134,2024-07-23,paid,tech,small,7580.6,Rep 6,Region East,Suite,12.3,False,86,False,USD,False,7580.6,0.0,932.75,7580.6,6647.85,True,2024-08-09,0,2024-08-16
DEAL-00055,DEAL-ACC-2295,2024-02-15,organic,retail,large,65355.82,Rep 6,Region South,Standalone,12.67,False,48,False,USD,False,65355.82,3145.1,8280.05,62210.72,53930.68,,2024-03-31,0,2024-03-02
DEAL-00056,DEAL-ACC-1856,2024-12-01,referral,finance,small,7832.62,Rep 5,Region South,Suite,4.22,False,50,False,USD,True,0.0,1424.2,330.73,-1424.2,-1754.94,,2025-02-09,0,2025-01-16
DEAL-00057,DEAL-ACC-1417,2024-08-24,cold_call,healthcare,small,11333.85,Rep 3,Region East,Platform,6.82,True,31,False,USD,False,11333.85,1924.72,773.03,9409.12,8636.09,False,2024-08-31,0,2024-09-17
DEAL-00058,DEAL-ACC-0978,2024-09-09,webinar,tech,medium,30733.5,Rep 7,Region South,Suite,10.04,False,67,True,USD,False,30733.5,566.41,3084.88,30167.09,27082.21,False,2024-12-05,0,2024-09-13
DEAL-00059,DEAL-ACC-0539,2024-10-22,cold_call,retail,enterprise,138055.2,Rep 2,Region West,Platform,0.0,True,67,False,USD,True,0.0,14563.51,0.0,-14563.51,-14563.51,,2024-11-11,2,2024-11-01
DEAL-00060,DEAL-ACC-0100,2024-12-08,cold_call,manufacturing,enterprise,123088.51,Rep 7,Region South,Suite,24.8,False,84,False,USD,True,0.0,18590.22,30525.05,-18590.22,-49115.27,,,0,2025-01-17
DEAL-00061,DEAL-ACC-2261,2025-12-18,organic,finance,small,10293.88,Rep 6,Region Central,Suite,0.0,False,82,False,USD,False,10293.88,1573.19,0.0,8720.69,8720.69,False,2025-12-24,0,2025-12-29
DEAL-00062,DEAL-ACC-1822,2025-10-08,organic,retail,large,78593.49,Rep 1,Region West,Platform,0.0,False,50,False,USD,False,78593.49,6705.17,0.0,71888.31,71888.31,False,2025-12-05,0,2025-12-07
DEAL-00063,DEAL-ACC-1383,2025-06-19,webinar,retail,medium,24543.43,Rep 6,Region East,Suite,17.09,False,63,True,USD,False,24543.43,804.72,4194.3,23738.71,19544.41,True,2025-08-27,0,2025-07-18
DEAL-00064,DEAL-ACC-0944,2024-11-09,referral,retail,large,41845.53,Rep 2,Region South,Standalone,13.94,False,65,True,USD,False,41845.53,4171.54,5832.45,37673.99,31841.54,False,2024-12-08,2,2024-12-30
DEAL-00065,DEAL-ACC-0505,2025-04-17,paid,healthcare,medium,19840.9,Rep 7,Region Central,Standalone,14.7,False,41,True,USD,False,19840.9,4560.52,2917.11,15280.38,12363.27,False,2025-06-28,0,2025-06-11
DEAL-00066,DEAL-ACC-0066,2024-07-30,webinar,tech,medium,30893.21,Rep 4,Region Central,Standalone,14.31,True,40,False,USD,False,30893.21,8905.9,4419.6,21987.31,17567.71,False,2024-10-25,1,2024-07-31
DEAL-00067,DEAL-ACC-2227,2025-08-24,referral,tech,medium,26773.9,Rep 8,Region East,Suite,16.64,False,78,False,USD,False,26773.9,2535.77,4455.93,24238.12,19782.19,False,2025-10-18,1,2025-09-22
DEAL-00068,DEAL-ACC-1788,2025-12-10,cold_call,tech,small,10096.39,Rep 5,Region Central,Standalone,0.45,False,67,True,USD,False,10096.39,1064.18,45.46,9032.21,8986.75,False,2025-12-29,0,2025-12-16
DEAL-00069,DEAL-ACC-1349,2024-05-23,paid,tech,small,8616.41,Rep 8,Region Central,Platform,9.53,True,85,False,USD,True,0.0,16.44,821.09,-16.44,-837.53,False,2024-07-27,0,2024-05-31
DEAL-00070,DEAL-ACC-0910,2025-07-09,webinar,healthcare,medium,25729.97,Rep 8,Region East,Suite,6.88,False,49,False,USD,False,25729.97,7508.27,1771.44,18221.7,16450.27,,2025-08-28,0,2025-07-28
DEAL-00071,DEAL-ACC-0471,2024-10-04,cold_call,manufacturing,medium,24167.54,Rep 1,Region West,Platform,2.01,False,53,True,USD,False,24167.54,7411.59,486.38,16755.95,16269.58,True,2024-12-15,0,2024-10-05
DEAL-00072,DEAL-ACC-0032,2024-07-21,webinar,tech,small,7699.4,Rep 5,Region South,Standalone,5.55,False,44,True,USD,False,7699.4,1654.59,427.52,6044.81,5617.29,True,2024-09-08,0,2024-08-03
DEAL-00073,DEAL-ACC-2193,2025-05-17,webinar,healthcare,enterprise,162892.79,Rep 6,Region West,Platform,7.07,True,57,False,USD,False,162892.79,17904.63,11509.85,144988.16,133478.31,True,2025-05-24,0,2025-06-22
DEAL-00074,DEAL-ACC-1754,2024-03-10,webinar,retail,medium,28290.25,Rep 1,Region East,Suite,18.88,False,54,False,USD,False,28290.25,1460.26,5339.94,26830.0,21490.05,,2024-03-30,0,2024-04-09
DEAL-00075,DEAL-ACC-1315,2024-03-02,referral,retail,medium,22837.64,Rep 2,Region South,Standalone,12.6,True,46,True,USD,False,22837.64,1812.74,2876.52,21024.9,18148.38,True,,0,2024-03-10
DEAL-00076,DEAL-ACC-0876,2024-08-03,organic,finance,large,68683.53,Rep 3,Region East,Platform,0.0,False,73,False,USD,False,68683.53,8921.52,0.0,59762.01,59762.01,True,2024-09-05,0,2024-08-10
DEAL-00077,DEAL-ACC-0437,2025-09-13,webinar,finance,large,52076.51,Rep 5,Region West,Standalone,14.13,True,52,False,USD,False,52076.51,12681.03,7359.74,39395.49,32035.75,True,2025-11-14,0,2025-10-23
DEAL-00078,DEAL-ACC-2598,2025-08-14,cold_call,retail,large,57333.34,Rep 7,Region East,Platform,8.35,False,70,False,USD,False,57333.34,8705.9,4786.53,48627.44,43840.91,True,2025-09-06,0,2025-09-24
DEAL-00079,DEAL-ACC-2159,2025-12-06,organic,finance,medium,19709.43,Rep 3,Region South,Standalone,16.74,False,75,True,USD,False,19709.43,3905.04,3300.02,15804.39,12504.37,True,,0,2025-12-16
DEAL-00080,DEAL-ACC-1720,2025-03-18,paid,manufacturing,enterprise,128818.63,Rep 4,Region South,Platform,5.82,False,46,True,USD,False,128818.63,12829.61,7494.63,115989.01,108494.38,,2025-05-28,1,2025-05-02
DEAL-00081,DEAL-ACC-1281,2025-04-10,referral,tech,small,7913.93,Rep 6,Region Central,Platform,14.65,True,55,True,USD,False,7913.93,1022.82,1159.69,6891.11,5731.41,False,2025-06-03,1,2025-06-05
DEAL-00082,DEAL-ACC-0842,2025-07-13,organic,healthcare,small,7779.96,Rep 5,Region Central,Standalone,18.91,True,71,False,USD,False,7779.96,876.01,1471.25,6903.95,5432.7,False,,0,2025-07-31
DEAL-00083,DEAL-ACC-0403,2025-07-25,paid,manufacturing,medium,22415.89,Rep 3,Region South,Standalone,20.59,False,73,False,USD,False,22415.89,1259.01,4615.58,21156.88,16541.3,True,,0,2025-07-27
DEAL-00084,DEAL-ACC-2564,2024-06-09,cold_call,tech,large,54890.45,Rep 7,Region Central,Standalone,7.38,False,44,True,USD,True,0.0,14245.85,4050.49,-14245.85,-18296.33,,2024-07-14,0,2024-06-09
DEAL-00085,DEAL-ACC-2125,2025-08-12,organic,healthcare,medium,17138.63,Rep 2,Region West,Suite,22.21,False,66,False,USD,False,17138.63,3800.7,3805.8,13337.94,9532.14,True,2025-10-09,1,2025-09-24
DEAL-00086,DEAL-ACC-1686,2025-02-22,cold_call,finance,enterprise,131455.78,Rep 7,Region West,Standalone,9.66,False,28,False,USD,False,131455.78,26421.72,12699.79,105034.06,92334.27,False,2025-03-23,1,2025-04-08
DEAL-00087,DEAL-ACC-1247,2024-08-31,cold_call,finance,small,7113.02,Rep 4,Region East,Suite,0.0,False,55,False,USD,True,0.0,1653.3,0.0,-1653.3,-1653.3,False,2024-09-15,0,2024-10-02
DEAL-00088,DEAL-ACC-0808,2024-04-22,referral,tech,medium,22514.85,Rep 7,Region West,Standalone,14.75,False,58,False,USD,True,0.0,5323.61,3320.99,-5323.61,-8644.61,False,2024-06-25,1,2024-04-26
DEAL-00089,DEAL-ACC-0369,2024-09-09,referral,finance,small,9146.63,Rep 8,Region East,Standalone,11.77,True,35,False,USD,False,9146.63,4361.68,1076.32,4784.94,3708.62,False,2024-10-04,0,2024-10-10
DEAL-00090,DEAL-ACC-2530,2024-01-03,webinar,manufacturing,medium,26704.88,Rep 5,Region South,Suite,7.12,True,58,True,USD,True,0.0,3347.51,1902.26,-3347.51,-5249.77,,2024-03-30,1,2024-01-25
DEAL-00091,DEAL-ACC-2091,2024-08-24,paid,finance,medium,26376.57,Rep 5,Region West,Standalone,22.87,False,83,False,USD,False,26376.57,3977.27,6033.05,22399.29,16366.25,True,2024-11-08,1,2024-09-25
DEAL-00092,DEAL-ACC-1652,2024-01-16,referral,retail,enterprise,156631.66,Rep 6,Region West,Platform,17.27,False,73,True,USD,False,156631.66,14848.57,27051.18,141783.09,114731.92,True,2024-02-10,0,2024-01-21
DEAL-00093,DEAL-ACC-1213,2024-02-26,organic,finance,enterprise,122982.37,Rep 2,Region Central,Platform,10.03,False,98,False,USD,False,122982.37,8974.36,12332.35,114008.01,101675.66,False,,1,2024-03-10
DEAL-00094,DEAL-ACC-0774,2025-09-06,paid,retail,medium,26700.02,Rep 4,Region South,Platform,23.29,False,40,True,USD,False,26700.02,3034.77,6219.38,23665.25,17445.87,False,,0,2025-10-27
DEAL-00095,DEAL-ACC-0335,2024-09-12,organic,healthcare,small,8089.48,Rep 2,Region South,Platform,12.42,False,83,False,USD,False,8089.48,717.32,1004.57,7372.16,6367.58,,,1,2024-09-19
DEAL-00096,DEAL-ACC-2496,2024-07-23,paid,retail,medium,25207.51,Rep 2,Region Central,Standalone,21.31,True,55,False,USD,True,0.0,6012.44,5371.85,-6012.44,-11384.3,,2024-10-19,0,2024-08-05
DEAL-00097,DEAL-ACC-2057,2025-02-17,cold_call,manufacturing,large,63890.57,Rep 4,Region West,Platform,3.93,True,64,True,USD,False,63890.57,3247.73,2507.81,60642.85,58135.03,True,,0,2025-03-20
DEAL-00098,DEAL-ACC-1618,2025-08-06,paid,manufacturing,enterprise,143700.53,Rep 3,Region East,Suite,0.0,False,56,True,USD,False,143700.53,6176.18,0.0,137524.34,137524.34,True,2025-09-01,1,2025-09-29
DEAL-00099,DEAL-ACC-1179,2025-01-16,webinar,retail,medium,20546.84,Rep 6,Region Central,Suite,25.07,False,64,False,USD,False,20546.84,992.66,5151.48,19554.17,14402.7,True,2025-03-02,0,2025-02-16
DEAL-00100,DEAL-ACC-0740,2025-11-30,organic,manufacturing,enterprise,141866.67,Rep 8,Region South,Platform,13.18,False,81,False,USD,True,0.0,26967.11,18700.01,-26967.11,-45667.11,False,2026-02-27,1,2026-01-24
DEAL-00101,DEAL-ACC-0301,2025-07-13,paid,tech,small,7366.23,Rep 4,Region East,Platform,18.85,False,74,False,USD,False,7366.23,1688.62,1388.58,5677.6,4289.02,True,2025-09-27,0,2025-08-01
DEAL-00102,DEAL-ACC-2462,2024-09-13,cold_call,tech,medium,26464.93,Rep 5,Region Central,Standalone,5.74,True,53,True,USD,False,26464.93,7180.11,1519.39,19284.82,17765.43,True,2024-09-27,0,2024-09-24
DEAL-00103,DEAL-ACC-2023,2025-12-09,cold_call,retail,small,9545.7,Rep 7,Region West,Suite,8.63,True,94,False,USD,False,9545.7,272.7,823.75,9273.0,8449.25,True,,3,2026-01-22
DEAL-00104,DEAL-ACC-1584,2024-03-24,cold_call,finance,small,7162.79,Rep 1,Region South,Standalone,7.94,False,54,False,USD,False,7162.79,2343.56,568.65,4819.23,4250.58,False,,0,2024-05-21
DEAL-00105,DEAL-ACC-1145,2025-06-20,cold_call,manufacturing,medium,17257.34,Rep 4,Region Central,Suite,10.69,False,44,True,USD,False,17257.34,1057.83,1845.43,16199.51,14354.08,False,2025-08-01,0,2025-07-16
DEAL-00106,DEAL-ACC-0706,2024-07-31,paid,healthcare,small,7182.35,Rep 6,Region West,Standalone,28.08,False,60,True,USD,False,7182.35,329.05,2017.05,6853.3,4836.25,True,2024-10-14,0,2024-08-18
DEAL-00107,DEAL-ACC-0267,2025-03-28,webinar,manufacturing,large,68691.6,Rep 1,Region East,Standalone,2.59,False,97,False,USD,False,68691.6,0.0,1776.93,68691.6,66914.67,,2025-06-07,0,2025-05-27
DEAL-00108,DEAL-ACC-2428,2025-11-11,referral,manufacturing,large,57720.17,Rep 2,Region South,Suite,1.8,True,74,False,USD,False,57720.17,3162.01,1036.15,54558.17,53522.02,False,,0,2026-01-06
DEAL-00109,DEAL-ACC-1989,2024-08-10,paid,tech,enterprise,160885.52,Rep 1,Region Central,Platform,26.07,True,78,True,USD,False,160885.52,6364.91,41936.73,154520.61,112583.89,True,,0,2024-08-14
DEAL-00110,DEAL-ACC-1550,2024-10-26,organic,retail,medium,23215.07,Rep 6,Region Central,Platform,7.65,False,40,False,USD,True,0.0,758.7,1775.49,-758.7,-2534.19,True,2024-12-02,0,2024-12-25
DEAL-00111,DEAL-ACC-1111,2025-03-08,webinar,tech,medium,24726.05,Rep 6,Region East,Standalone,5.28,True,49,False,USD,True,0.0,3952.05,1304.87,-3952.05,-5256.92,True,2025-05-29,0,2025-04-01
DEAL-00112,DEAL-ACC-0672,2024-06-23,organic,retail,medium,27647.11,Rep 6,Region West,Standalone,5.28,False,55,False,USD,False,27647.11,3679.47,1458.67,23967.64,22508.97,,2024-08-17,0,2024-06-25
DEAL-00113,DEAL-ACC-0233,2025-04-28,organic,finance,small,7295.01,Rep 4,Region South,Standalone,22.86,False,59,False,USD,False,7295.01,1524.96,1667.8,5770.06,4102.26,False,,0,2025-05-09
DEAL-00114,DEAL-ACC-2394,2025-11-24,organic,retail,small,8682.22,Rep 7,Region East,Standalone,2.04,True,61,False,USD,False,8682.22,2041.95,176.83,6640.26,6463.44,True,,0,2026-01-05
DEAL-00115,DEAL-ACC-1955,2025-04-13,cold_call,finance,large,58950.31,Rep 5,Region West,Platform,25.86,True,56,False,USD,False,58950.31,14664.45,15244.88,44285.86,29040.98,False,2025-04-25,0,2025-05-11
DEAL-00116,DEAL-ACC-1516,2025-08-10,cold_call,finance,small,10132.71,Rep 5,Region West,Platform,30.45,False,86,False,USD,False,10132.71,1352.75,3085.1,8779.96,5694.86,True,2025-08-27,0,2025-09-26
DEAL-00117,DEAL-ACC-1077,2025-08-04,paid,tech,medium,20047.51,Rep 8,Region West,Platform,9.42,True,51,False,USD,False,20047.51,3385.86,1887.5,16661.65,14774.15,True,2025-09-01,0,2025-08-23
DEAL-00118,DEAL-ACC-0638,2024-03-23,cold_call,finance,large,55612.42,Rep 4,Region West,Platform,3.76,False,42,True,USD,True,0.0,17119.05,2091.3,-17119.05,-19210.35,False,2024-05-23,0,2024-04-01
DEAL-00119,DEAL-ACC-0199,2024-12-23,referral,retail,small,7898.92,Rep 5,Region East,Platform,15.79,False,85,False,USD,False,7898.92,4.26,1246.95,7894.66,6647.71,False,2025-01-28,0,2025-01-02
DEAL-00120,DEAL-ACC-2360,2024-03-11,organic,manufacturing,medium,24783.2,Rep 5,Region South,Standalone,18.12,False,56,False,USD,False,24783.2,1660.13,4489.53,23123.07,18633.54,False,2024-04-04,0,2024-03-16
