deal_id,deal_created_date,split_label,outcomes_final
DEAL-00158,2025-09-11,future_holdout,true
DEAL-00159,2024-01-15,development,true
DEAL-00160,2024-01-17,development,true
DEAL-00161,2024-08-09,development,true
DEAL-00162,2024-04-08,development,true
DEAL-00163,2024-01-25,development,true
DEAL-00164,2025-01-28,validation,true
DEAL-00165,2024-03-31,development,true
DEAL-00166,2024-06-26,development,true
DEAL-00167,2024-11-07,development,true
DEAL-00168,2024-01-12,development,true
DEAL-00169,2024-09-25,development,true
DEAL-00170,2024-02-10,development,true
DEAL-00171,2024-03-07,development,true
DEAL-00172,2025-12-10,future_holdout,true
DEAL-00173,2025-01-31,validation,true
DEAL-00174,2024-03-20,development,true
DEAL-00175,2024-08-24,development,true
DEAL-00176,2024-06-04,development,true
DEAL-00177,2025-05-10,validation,true
DEAL-00178,2024-10-05,development,true
DEAL-00179,2024-11-10,development,true
DEAL-00180,2024-04-05,development,true
DEAL-00181,2024-02-11,development,true
DEAL-00182,2024-05-01,development,true
DEAL-00183,2025-01-31,validation,true
DEAL-00184,2024-04-04,development,true
DEAL-00185,2024-08-23,development,true
DEAL-00186,2024-03-06,development,true
DEAL-00187,2024-01-22,development,true
DEAL-00188,2025-05-20,validation,true
DEAL-00189,2025-12-22,future_holdout,true
DEAL-00190,2025-08-21,future_holdout,true
DEAL-00191,2025-11-29,future_holdout,true
DEAL-00192,2025-07-19,future_holdout,true
DEAL-00193,2025-03-26,validation,true
DEAL-00194,2024-10-14,development,true
DEAL-00195,2025-11-30,future_holdout,true
DEAL-00196,2024-02-22,development,true
DEAL-00197,2024-04-02,development,true
DEAL-00198,2025-05-06,validation,true
DEAL-00199,2025-09-30,future_holdout,true
DEAL-00200,2025-03-23,validation,true
DEAL-00201,2024-12-12,development,true
DEAL-00202,2025-05-22,validation,true
DEAL-00203,2025-08-27,future_holdout,true
DEAL-00204,2025-06-19,validation,true
DEAL-00205,2024-01-10,development,true
DEAL-00206,2024-07-17,development,true
DEAL-00207,2024-05-07,development,true
DEAL-00208,2025-01-01,validation,true
DEAL-00209,2024-12-13,development,true
DEAL-00210,2024-08-03,development,true
DEAL-00211,2024-09-03,development,true
DEAL-00212,2025-07-27,future_holdout,true
DEAL-00213,2024-09-12,development,true
DEAL-00214,2024-06-07,development,true
DEAL-00215,2025-08-16,future_holdout,true
DEAL-00216,2025-04-27,validation,true
DEAL-00217,2025-06-25,validation,true
DEAL-00218,2024-12-03,development,true
DEAL-00219,2025-09-02,future_holdout,true
DEAL-00220,2025-01-12,validation,true
DEAL-00221,2024-12-31,development,true
DEAL-00222,2024-05-18,development,true
DEAL-00223,2024-11-26,development,true
DEAL-00224,2024-11-24,development,true
DEAL-00225,2025-01-02,validation,true
DEAL-00226,2024-09-14,development,true
DEAL-00227,2025-07-24,future_holdout,true
DEAL-00228,2025-04-28,validation,true
DEAL-00229,2025-07-04,future_holdout,true
DEAL-00230,2025-11-22,future_holdout,true
DEAL-00231,2024-02-11,development,true
DEAL-00232,2024-10-03,development,true
DEAL-00233,2024-10-21,development,true
DEAL-00234,2025-08-22,future_holdout,true
DEAL-00235,2025-08-24,future_holdout,true
DEAL-00236,2024-01-01,development,true
DEAL-00237,2025-07-06,future_holdout,true
DEAL-00238,2024-06-28,development,true
DEAL-00239,2025-07-26,future_holdout,true
DEAL-00240,2024-07-03,development,true
DEAL-00241,2025-01-25,validation,true
DEAL-00242,2025-05-28,validation,true
DEAL-00243,2024-07-13,development,true
DEAL-00244,2025-03-29,validation,true
DEAL-00245,2025-09-04,future_holdout,true
DEAL-00246,2025-03-03,validation,true
DEAL-00247,2025-10-12,future_holdout,true
DEAL-00248,2025-07-12,future_holdout,true
DEAL-00249,2024-07-24,development,true
DEAL-00250,2024-10-23,development,true
DEAL-00251,2024-02-27,development,true
DEAL-00252,2024-02-05,development,true
DEAL-00253,2024-06-01,development,true
DEAL-00254,2025-02-08,validation,true
DEAL-00255,2025-06-05,validation,true
DEAL-00256,2025-04-20,validation,true
DEAL-00257,2024-01-06,development,true
DEAL-00258,2024-01-20,development,true
DEAL-00259,2024-10-22,development,true
DEAL-00260,2024-03-08,development,true
DEAL-00261,2024-12-27,development,true
DEAL-00262,2025-11-09,future_holdout,true
DEAL-00263,2025-07-02,future_holdout,true
DEAL-00264,2025-11-29,future_holdout,true
DEAL-00265,2025-10-01,future_holdout,true
DEAL-00266,2024-01-30,development,true
DEAL-00267,2025-05-31,validation,true
DEAL-00268,2024-02-17,development,true
DEAL-00269,2024-02-16,development,true
DEAL-00270,2024-11-19,development,true
DEAL-00271,2024-09-01,development,true
DEAL-00272,2025-04-12,validation,true
DEAL-00273,2024-03-13,development,true
DEAL-00274,2025-05-10,validation,true
DEAL-00275,2024-03-23,development,true
DEAL-00276,2025-08-06,future_holdout,true
DEAL-00277,2025-05-25,validation,true
DEAL-00278,2025-05-15,validation,true
DEAL-00279,2025-09-09,future_holdout,true
DEAL-00280,2025-01-08,validation,true
DEAL-00281,2024-01-29,development,true
DEAL-00282,2024-02-06,development,true
DEAL-00283,2024-01-21,development,true
DEAL-00284,2025-10-24,future_holdout,true
DEAL-00285,2025-08-16,future_holdout,true
DEAL-00286,2024-02-10,development,true
DEAL-00287,2024-09-27,development,true
DEAL-00288,2025-04-13,validation,true
DEAL-00289,2025-01-22,validation,true
DEAL-00290,2025-06-30,validation,true
DEAL-00291,2024-12-16,development,true
DEAL-00292,2025-05-03,validation,true
DEAL-00293,2025-08-10,future_holdout,true
DEAL-00294,2025-05-06,validation,true
DEAL-00295,2024-11-23,development,true
DEAL-00296,2024-03-26,development,true
DEAL-00297,2024-01-22,development,true
DEAL-00298,2024-05-17,development,true
DEAL-00299,2024-01-31,development,true
DEAL-00300,2024-08-19,development,true
DEAL-00301,2025-12-15,future_holdout,true
DEAL-00302,2024-09-23,development,true
DEAL-00303,2025-08-09,future_holdout,true
DEAL-00304,2024-02-17,development,true
DEAL-00305,2025-03-10,validation,true
DEAL-00306,2024-08-30,development,true
DEAL-00307,2025-10-22,future_holdout,true
DEAL-00308,2024-12-30,development,true
DEAL-00309,2025-05-20,validation,true
DEAL-00310,2025-11-21,future_holdout,true
DEAL-00311,2025-08-11,future_holdout,true
DEAL-00312,2024-04-13,development,true
DEAL-00313,2025-08-20,future_holdout,true
DEAL-00314,2024-08-06,development,true
DEAL-00315,2025-04-25,validation,true
DEAL-00316,2024-01-26,development,true
DEAL-00317,2025-04-03,validation,true
DEAL-00318,2025-07-09,future_holdout,true
DEAL-00319,2024-01-11,development,true
DEAL-00320,2024-05-19,development,true
DEAL-00321,2025-08-28,future_holdout,true
DEAL-00322,2025-07-22,future_holdout,true
DEAL-00323,2024-09-25,development,true
DEAL-00324,2025-03-26,validation,true
DEAL-00325,2025-06-17,validation,true
DEAL-00326,2025-10-24,future_holdout,true
DEAL-00327,2025-12-18,future_holdout,true
DEAL-00328,2025-09-22,future_holdout,true
DEAL-00329,2024-09-05,development,true
DEAL-00330,2024-06-15,development,true
DEAL-00331,2024-06-27,development,true
DEAL-00332,2024-05-14,development,true
DEAL-00333,2025-10-25,future_holdout,true
DEAL-00334,2025-01-19,validation,true
DEAL-00335,2025-06-18,validation,true
DEAL-00336,2024-12-16,development,true
DEAL-00337,2024-01-28,development,true
DEAL-00338,2024-12-26,development,true
DEAL-00339,2024-02-03,development,true
DEAL-00340,2025-03-26,validation,true
DEAL-00341,2024-05-18,development,true
DEAL-00342,2024-05-07,development,true
DEAL-00343,2025-02-21,validation,true
DEAL-00344,2024-05-13,development,true
DEAL-00345,2025-01-31,validation,true
DEAL-00346,2024-03-30,development,true
DEAL-00347,2024-06-11,development,true
DEAL-00348,2024-05-12,development,true
DEAL-00349,2025-05-28,validation,true
DEAL-00350,2025-04-04,validation,true
DEAL-00351,2024-10-20,development,true
DEAL-00352,2024-10-22,development,true
DEAL-00353,2024-01-31,development,true
DEAL-00354,2024-02-05,development,true
DEAL-00355,2025-09-17,future_holdout,true
DEAL-00356,2024-07-27,development,true
DEAL-00357,2024-08-23,development,true
DEAL-00358,2025-07-26,future_holdout,true
DEAL-00359,2025-12-26,future_holdout,true
DEAL-00360,2025-03-12,validation,true
DEAL-00361,2025-12-16,future_holdout,true
DEAL-00362,2024-08-11,development,true
DEAL-00363,2025-03-15,validation,true
DEAL-00364,2025-12-16,future_holdout,true
DEAL-00365,2024-05-11,development,true
DEAL-00366,2025-05-29,validation,true
DEAL-00367,2025-12-21,future_holdout,true
DEAL-00368,2025-02-06,validation,true
DEAL-00369,2024-02-21,development,true
DEAL-00370,2025-01-09,validation,true
DEAL-00371,2024-09-01,development,true
DEAL-00372,2024-04-07,development,true
DEAL-00373,2024-09-23,development,true
DEAL-00374,2024-06-15,development,true
DEAL-00375,2024-04-26,development,true
DEAL-00376,2024-06-25,development,true
DEAL-00377,2024-11-11,development,true
DEAL-00378,2025-07-30,future_holdout,true
DEAL-00379,2025-05-26,validation,true
DEAL-00380,2024-11-20,development,true
DEAL-00381,2025-11-05,future_holdout,true
DEAL-00382,2024-04-16,development,true
DEAL-00383,2025-08-29,future_holdout,true
DEAL-00384,2024-12-30,development,true
DEAL-00385,2024-01-27,development,true
DEAL-00386,2024-11-01,development,true
DEAL-00387,2025-07-02,future_holdout,true
DEAL-00388,2024-08-12,development,true
DEAL-00389,2025-11-01,future_holdout,true
DEAL-00390,2025-06-08,validation,true
DEAL-00391,2024-03-10,development,true
DEAL-00392,2024-11-01,development,true
DEAL-00393,2024-11-19,development,true
DEAL-00394,2025-12-21,future_holdout,true
DEAL-00395,2025-01-24,validation,true
DEAL-00396,2025-06-08,validation,true
DEAL-00397,2025-01-29,validation,true
DEAL-00398,2025-05-01,validation,true
DEAL-00399,2024-12-10,development,true
DEAL-00400,2024-06-21,development,true
DEAL-00401,2025-02-04,validation,true
DEAL-00402,2024-03-04,development,true
DEAL-00403,2025-12-12,future_holdout,true
DEAL-00404,2025-11-20,future_holdout,true
DEAL-00405,2025-05-29,validation,true
DEAL-00406,2025-07-14,future_holdout,true
DEAL-00407,2025-10-03,future_holdout,true
DEAL-00408,2024-08-01,development,true
DEAL-00409,2025-07-13,future_holdout,true
DEAL-00410,2025-05-30,validation,true
DEAL-00411,2025-03-18,validation,true
DEAL-00412,2025-05-03,validation,true
DEAL-00413,2024-03-18,development,true
DEAL-00414,2025-02-21,validation,true
DEAL-00415,2025-12-23,future_holdout,true
DEAL-00416,2024-02-27,development,true
DEAL-00417,2024-02-13,development,true
DEAL-00418,2024-01-22,development,true
DEAL-00419,2025-04-04,validation,true
DEAL-00420,2025-05-19,validation,true
DEAL-00421,2025-02-13,validation,true
DEAL-00422,2025-04-28,validation,true
DEAL-00423,2024-05-17,development,true
DEAL-00424,2025-12-13,future_holdout,true
DEAL-00425,2025-10-03,future_holdout,true
DEAL-00426,2024-12-29,development,true
DEAL-00427,2025-01-02,validation,true
DEAL-00428,2025-09-30,future_holdout,true
DEAL-00429,2025-09-28,future_holdout,true
DEAL-00430,2025-01-28,validation,true
DEAL-00431,2025-03-22,validation,true
DEAL-00432,2024-05-03,development,true
DEAL-00433,2024-08-31,development,true
DEAL-00434,2025-12-20,future_holdout,true
DEAL-00435,2025-12-02,future_holdout,true
DEAL-00436,2024-08-12,development,true
DEAL-00437,2024-10-14,development,true
DEAL-00438,2025-04-24,validation,true
DEAL-00439,2024-07-26,development,true
DEAL-00440,2024-04-27,development,true
DEAL-00441,2025-03-19,validation,true
DEAL-00442,2025-05-21,validation,true
DEAL-00443,2025-03-04,validation,true
DEAL-00444,2025-09-18,future_holdout,true
DEAL-00445,2025-09-17,future_holdout,true
DEAL-00446,2025-11-08,future_holdout,true
DEAL-00447,2024-09-12,development,true
DEAL-00448,2025-04-23,validation,true
DEAL-00449,2025-11-26,future_holdout,true
DEAL-00450,2024-12-27,development,true
DEAL-00451,2025-01-17,validation,true
DEAL-00452,2024-11-18,development,true
DEAL-00453,2024-09-08,development,true
DEAL-00454,2025-09-24,future_holdout,true
DEAL-00455,2024-04-01,development,true
DEAL-00456,2024-12-22,development,true
DEAL-00457,2025-01-16,validation,true
DEAL-00458,2025-05-06,validation,true
DEAL-00459,2025-06-20,validation,true
DEAL-00460,2024-03-14,development,true
DEAL-00461,2025-06-04,validation,true
DEAL-00462,2024-09-19,development,true
DEAL-00463,2025-04-02,validation,true
DEAL-00464,2025-01-05,validation,true
DEAL-00465,2025-07-07,future_holdout,true
DEAL-00466,2024-05-04,development,true
DEAL-00467,2024-07-01,development,true
DEAL-00468,2024-03-01,development,true
DEAL-00469,2025-09-11,future_holdout,true
DEAL-00470,2025-06-14,validation,true
DEAL-00471,2024-06-03,development,true
DEAL-00472,2025-07-14,future_holdout,true
DEAL-00473,2024-02-16,development,true
DEAL-00474,2024-03-07,development,true
DEAL-00475,2024-12-06,development,true
DEAL-00476,2025-11-06,future_holdout,true
DEAL-00477,2025-02-15,validation,true
DEAL-00478,2025-06-05,validation,true
DEAL-00479,2025-03-18,validation,true
DEAL-00480,2025-08-10,future_holdout,true
DEAL-00481,2024-03-05,development,true
DEAL-00482,2024-10-05,development,true
DEAL-00483,2025-10-05,future_holdout,true
DEAL-00484,2025-06-24,validation,true
DEAL-00485,2025-11-18,future_holdout,true
DEAL-00486,2024-12-20,development,true
DEAL-00487,2024-08-13,development,true
DEAL-00488,2025-05-16,validation,true
DEAL-00489,2024-09-13,development,true
DEAL-00490,2025-05-12,validation,true
DEAL-00491,2025-04-04,validation,true
DEAL-00492,2024-04-14,development,true
DEAL-00493,2025-01-02,validation,true
DEAL-00494,2024-11-18,development,true
DEAL-00495,2024-06-16,development,true
DEAL-00496,2025-01-17,validation,true
DEAL-00497,2024-06-05,development,true
DEAL-00498,2024-07-30,development,true
DEAL-00499,2025-03-20,validation,true
DEAL-00500,2025-03-21,validation,true
DEAL-00501,2024-03-19,development,true
DEAL-00502,2025-10-10,future_holdout,true
DEAL-00503,2024-12-29,development,true
DEAL-00504,2024-06-14,development,true
DEAL-00505,2025-04-07,validation,true
DEAL-00506,2024-07-04,development,true
DEAL-00507,2024-07-19,development,true
DEAL-00508,2025-03-22,validation,true
DEAL-00509,2025-10-02,future_holdout,true
DEAL-00510,2024-10-21,development,true
DEAL-00511,2024-09-11,development,true
DEAL-00512,2024-01-10,development,true
DEAL-00513,2025-01-12,validation,true
DEAL-00514,2024-10-31,development,true
DEAL-00515,2024-01-07,development,true
DEAL-00516,2024-11-18,development,true
DEAL-00517,2025-08-01,future_holdout,true
DEAL-00518,2024-10-11,development,true
DEAL-00519,2024-03-28,development,true
DEAL-00520,2024-02-15,development,true
DEAL-00521,2024-07-31,development,true
DEAL-00522,2024-09-11,development,true
DEAL-00523,2025-02-04,validation,true
DEAL-00524,2024-02-01,development,true
DEAL-00525,2024-06-23,development,true
DEAL-00526,2024-05-30,development,true
DEAL-00527,2025-03-24,validation,true
DEAL-00528,2025-08-18,future_holdout,true
DEAL-00529,2024-10-27,development,true
DEAL-00530,2025-01-09,validation,true
DEAL-00531,2025-09-04,future_holdout,true
DEAL-00532,2025-06-25,validation,true
DEAL-00533,2024-01-15,development,true
DEAL-00534,2024-12-21,development,true
DEAL-00535,2024-04-17,development,true
DEAL-00536,2025-05-04,validation,true
DEAL-00537,2024-01-21,development,true
DEAL-00538,2025-12-01,future_holdout,true
DEAL-00539,2025-12-09,future_holdout,true
DEAL-00540,2025-06-16,validation,true
DEAL-00541,2025-01-21,validation,true
DEAL-00542,2024-01-04,development,true
DEAL-00543,2025-05-18,validation,true
DEAL-00544,2025-04-04,validation,true
DEAL-00545,2024-07-25,development,true
DEAL-00546,2024-09-21,development,true
DEAL-00547,2025-04-30,validation,true
DEAL-00548,2024-08-16,development,true
DEAL-00549,2025-08-03,future_holdout,true
DEAL-00550,2025-11-06,future_holdout,true
DEAL-00551,2025-06-17,validation,true
DEAL-00552,2024-11-22,development,true
DEAL-00553,2025-09-24,future_holdout,true
DEAL-00554,2024-07-19,development,true
DEAL-00555,2025-03-06,validation,true
DEAL-00556,2025-10-15,future_holdout,true
DEAL-00557,2024-08-14,development,true
DEAL-00558,2024-08-11,development,true
DEAL-00559,2024-03-13,development,true
DEAL-00560,2024-03-23,development,true
DEAL-00561,2025-03-08,validation,true
DEAL-00562,2024-11-17,development,true
DEAL-00563,2025-02-17,validation,true
DEAL-00564,2025-11-23,future_holdout,true
DEAL-00565,2024-07-29,development,true
DEAL-00566,2024-06-17,development,true
DEAL-00567,2024-05-03,development,true
DEAL-00568,2025-11-15,future_holdout,true
DEAL-00569,2024-04-24,development,true
DEAL-00570,2025-01-02,validation,true
DEAL-00571,2024-07-22,development,true
DEAL-00572,2025-11-09,future_holdout,true
DEAL-00573,2025-04-08,validation,true
DEAL-00574,2025-12-15,future_holdout,true
DEAL-00575,2024-06-13,development,true
DEAL-00576,2024-04-27,development,true
DEAL-00577,2024-08-28,development,true
DEAL-00578,2024-12-28,development,true
DEAL-00579,2024-01-25,development,true
DEAL-00580,2024-11-21,development,true
DEAL-00581,2025-08-12,future_holdout,true
DEAL-00582,2024-01-13,development,true
DEAL-00583,2025-05-25,validation,true
DEAL-00584,2024-08-07,development,true
DEAL-00585,2024-11-17,development,true
DEAL-00586,2025-03-06,validation,true
DEAL-00587,2025-08-08,future_holdout,true
DEAL-00588,2024-02-29,development,true
DEAL-00589,2024-09-02,development,true
DEAL-00590,2025-06-25,validation,true
DEAL-00591,2025-06-30,validation,true
DEAL-00592,2024-12-25,development,true
DEAL-00593,2024-09-10,development,true
DEAL-00594,2025-09-17,future_holdout,true
DEAL-00595,2025-09-12,future_holdout,true
DEAL-00596,2025-10-01,future_holdout,true
DEAL-00597,2025-08-25,future_holdout,true
DEAL-00598,2025-04-03,validation,true
DEAL-00599,2024-06-19,development,true
DEAL-00600,2025-04-30,validation,true
DEAL-00601,2025-01-10,validation,true
DEAL-00602,2024-10-17,development,true
DEAL-00603,2024-07-01,development,true
DEAL-00604,2025-05-31,validation,true
DEAL-00605,2025-02-10,validation,true
DEAL-00606,2024-08-06,development,true
DEAL-00607,2024-10-08,development,true
DEAL-00608,2025-11-18,future_holdout,true
DEAL-00609,2025-08-18,future_holdout,true
DEAL-00610,2024-02-08,development,true
DEAL-00611,2024-01-05,development,true
DEAL-00612,2024-03-30,development,true
DEAL-00613,2025-04-19,validation,true
DEAL-00614,2025-09-22,future_holdout,true
DEAL-00615,2025-02-02,validation,true
DEAL-00616,2024-01-05,development,true
DEAL-00617,2024-09-13,development,true
DEAL-00618,2024-07-13,development,true
DEAL-00619,2024-06-06,development,true
DEAL-00620,2024-08-14,development,true
DEAL-00621,2024-02-04,development,true
DEAL-00622,2025-05-23,validation,true
DEAL-00623,2024-11-03,development,true
DEAL-00624,2024-07-15,development,true
DEAL-00625,2024-05-25,development,true
DEAL-00626,2025-02-19,validation,true
DEAL-00627,2025-01-30,validation,true
DEAL-00628,2024-08-07,development,true
DEAL-00629,2024-08-19,development,true
DEAL-00630,2025-01-14,validation,true
DEAL-00631,2025-08-12,future_holdout,true
DEAL-00632,2025-02-15,validation,true
DEAL-00633,2025-02-03,validation,true
DEAL-00634,2025-01-25,validation,true
DEAL-00635,2025-04-24,validation,true
DEAL-00636,2025-11-10,future_holdout,true
DEAL-00637,2024-04-11,development,true
DEAL-00638,2024-03-12,development,true
DEAL-00639,2025-03-03,validation,true
DEAL-00640,2025-07-31,future_holdout,true
DEAL-00641,2024-07-23,development,true
DEAL-00642,2024-10-26,development,true
DEAL-00643,2025-05-23,validation,true
DEAL-00644,2025-08-17,future_holdout,true
DEAL-00645,2025-11-28,future_holdout,true
DEAL-00646,2025-10-06,future_holdout,true
DEAL-00647,2024-09-15,development,true
DEAL-00648,2025-06-11,validation,true
DEAL-00649,2025-04-25,validation,true
DEAL-00650,2025-05-28,validation,true
DEAL-00651,2024-06-06,development,true
DEAL-00652,2025-01-12,validation,true
DEAL-00653,2024-11-13,development,true
DEAL-00654,2024-11-08,development,true
DEAL-00655,2025-04-16,validation,true
DEAL-00656,2024-09-17,development,true
DEAL-00657,2024-02-18,development,true
DEAL-00658,2025-05-08,validation,true
DEAL-00659,2025-04-11,validation,true
DEAL-00660,2025-09-02,future_holdout,true
DEAL-00661,2025-05-30,validation,true
DEAL-00662,2024-03-02,development,true
DEAL-00663,2025-10-16,future_holdout,true
DEAL-00664,2024-04-11,development,true
DEAL-00665,2025-09-25,future_holdout,true
DEAL-00666,2025-04-06,validation,true
DEAL-00667,2024-01-07,development,true
DEAL-00668,2025-04-19,validation,true
DEAL-00669,2025-07-26,future_holdout,true
DEAL-00670,2024-03-18,development,true
DEAL-00671,2024-06-22,development,true
DEAL-00672,2024-08-23,development,true
DEAL-00673,2025-03-18,validation,true
DEAL-00674,2025-09-19,future_holdout,true
DEAL-00675,2024-11-30,development,true
DEAL-00676,2025-09-24,future_holdout,true
DEAL-00677,2024-01-05,development,true
DEAL-00678,2024-10-09,development,true
DEAL-00679,2024-06-20,development,true
DEAL-00680,2024-01-15,development,true
DEAL-00681,2025-11-27,future_holdout,true
DEAL-00682,2025-01-01,validation,true
DEAL-00683,2025-09-04,future_holdout,true
DEAL-00684,2025-11-04,future_holdout,true
DEAL-00685,2024-02-21,development,true
DEAL-00686,2024-12-01,development,true
DEAL-00687,2025-10-26,future_holdout,true
DEAL-00688,2025-12-17,future_holdout,true
DEAL-00689,2025-02-27,validation,true
DEAL-00690,2025-12-16,future_holdout,true
DEAL-00691,2025-01-02,validation,true
DEAL-00692,2024-04-02,development,true
