deal_id,account_id
DEAL-00082,DEAL-ACC-0842
DEAL-00083,DEAL-ACC-0403
DEAL-00084,DEAL-ACC-2564
DEAL-00085,DEAL-ACC-2125
DEAL-00086,DEAL-ACC-1686
DEAL-00087,DEAL-ACC-1247
DEAL-00088,DEAL-ACC-0808
DEAL-00089,DEAL-ACC-0369
DEAL-00090,DEAL-ACC-2530
DEAL-00091,DEAL-ACC-2091
DEAL-00092,DEAL-ACC-1652
DEAL-00093,DEAL-ACC-1213
DEAL-00094,DEAL-ACC-0774
DEAL-00095,DEAL-ACC-0335
DEAL-00096,DEAL-ACC-2496
DEAL-00097,DEAL-ACC-2057
DEAL-00098,DEAL-ACC-1618
DEAL-00099,DEAL-ACC-1179
DEAL-00100,DEAL-ACC-0740
DEAL-00101,DEAL-ACC-0301
DEAL-00102,DEAL-ACC-2462
DEAL-00103,DEAL-ACC-2023
DEAL-00104,DEAL-ACC-1584
DEAL-00105,DEAL-ACC-1145
DEAL-00106,DEAL-ACC-0706
DEAL-00107,DEAL-ACC-0267
DEAL-00108,DEAL-ACC-2428
DEAL-00109,DEAL-ACC-1989
DEAL-00110,DEAL-ACC-1550
DEAL-00111,DEAL-ACC-1111
DEAL-00112,DEAL-ACC-0672
DEAL-00113,DEAL-ACC-0233
DEAL-00114,DEAL-ACC-2394
DEAL-00115,DEAL-ACC-1955
DEAL-00116,DEAL-ACC-1516
DEAL-00117,DEAL-ACC-1077
DEAL-00118,DEAL-ACC-0638
DEAL-00119,DEAL-ACC-0199
DEAL-00120,DEAL-ACC-2360
DEAL-00121,DEAL-ACC-1921
DEAL-00122,DEAL-ACC-1482
DEAL-00123,DEAL-ACC-1043
DEAL-00124,DEAL-ACC-0604
DEAL-00125,DEAL-ACC-0165
DEAL-00126,DEAL-ACC-2326
DEAL-00127,DEAL-ACC-1887
DEAL-00128,DEAL-ACC-1448
DEAL-00129,DEAL-ACC-1009
DEAL-00130,DEAL-ACC-0570
DEAL-00131,DEAL-ACC-0131
DEAL-00132,DEAL-ACC-2292
DEAL-00133,DEAL-ACC-1853
DEAL-00134,DEAL-ACC-1414
DEAL-00135,DEAL-ACC-0975
DEAL-00136,DEAL-ACC-0536
DEAL-00137,DEAL-ACC-0097
DEAL-00138,DEAL-ACC-2258
DEAL-00139,DEAL-ACC-1819
DEAL-00140,DEAL-ACC-1380
DEAL-00141,DEAL-ACC-0941
DEAL-00142,DEAL-ACC-0502
DEAL-00143,DEAL-ACC-0063
DEAL-00144,DEAL-ACC-2224
DEAL-00145,DEAL-ACC-1785
DEAL-00146,DEAL-ACC-1346
DEAL-00147,DEAL-ACC-0907
DEAL-00148,DEAL-ACC-0468
DEAL-00149,DEAL-ACC-0029
DEAL-00150,DEAL-ACC-2190
DEAL-00151,DEAL-ACC-1751
DEAL-00152,DEAL-ACC-1312
DEAL-00153,DEAL-ACC-0873
DEAL-00154,DEAL-ACC-0434
DEAL-00155,DEAL-ACC-2595
DEAL-00156,DEAL-ACC-2156
DEAL-00157,DEAL-ACC-1717
DEAL-00158,DEAL-ACC-1278
DEAL-00159,DEAL-ACC-0839
DEAL-00160,DEAL-ACC-0400
DEAL-00161,DEAL-ACC-2561
DEAL-00162,DEAL-ACC-2122
DEAL-00163,DEAL-ACC-1683
DEAL-00164,DEAL-ACC-1244
DEAL-00165,DEAL-ACC-0805
DEAL-00166,DEAL-ACC-0366
DEAL-00167,DEAL-ACC-2527
DEAL-00168,DEAL-ACC-2088
DEAL-00169,DEAL-ACC-1649
DEAL-00170,DEAL-ACC-1210
DEAL-00171,DEAL-ACC-0771
DEAL-00172,DEAL-ACC-0332
DEAL-00173,DEAL-ACC-2493
DEAL-00174,DEAL-ACC-2054
DEAL-00175,DEAL-ACC-1615
DEAL-00176,DEAL-ACC-1176
DEAL-00177,DEAL-ACC-0737
DEAL-00178,DEAL-ACC-0298
DEAL-00179,DEAL-ACC-2459
DEAL-00180,DEAL-ACC-2020
DEAL-00181,DEAL-ACC-1581
DEAL-00182,DEAL-ACC-1142
DEAL-00183,DEAL-ACC-0703
DEAL-00184,DEAL-ACC-0264
DEAL-00185,DEAL-ACC-2425
DEAL-00186,DEAL-ACC-1986
DEAL-00187,DEAL-ACC-1547
DEAL-00188,DEAL-ACC-1108
DEAL-00189,DEAL-ACC-0669
DEAL-00190,DEAL-ACC-0230
DEAL-00191,DEAL-ACC-2391
DEAL-00192,DEAL-ACC-1952
DEAL-00193,DEAL-ACC-1513
DEAL-00194,DEAL-ACC-1074
DEAL-00195,DEAL-ACC-0635
DEAL-00196,DEAL-ACC-0196
DEAL-00197,DEAL-ACC-2357
DEAL-00198,DEAL-ACC-1918
DEAL-00199,DEAL-ACC-1479
DEAL-00200,DEAL-ACC-1040
DEAL-00201,DEAL-ACC-0601
DEAL-00202,DEAL-ACC-0162
DEAL-00203,DEAL-ACC-2323
DEAL-00204,DEAL-ACC-1884
DEAL-00205,DEAL-ACC-1445
DEAL-00206,DEAL-ACC-1006
DEAL-00207,DEAL-ACC-0567
DEAL-00208,DEAL-ACC-0128
DEAL-00209,DEAL-ACC-2289
DEAL-00210,DEAL-ACC-1850
DEAL-00211,DEAL-ACC-1411
DEAL-00212,DEAL-ACC-0972
DEAL-00213,DEAL-ACC-0533
DEAL-00214,DEAL-ACC-0094
DEAL-00215,DEAL-ACC-2255
DEAL-00216,DEAL-ACC-1816
DEAL-00217,DEAL-ACC-1377
DEAL-00218,DEAL-ACC-0938
DEAL-00219,DEAL-ACC-0499
DEAL-00220,DEAL-ACC-0060
DEAL-00221,DEAL-ACC-2221
DEAL-00222,DEAL-ACC-1782
DEAL-00223,DEAL-ACC-1343
DEAL-00224,DEAL-ACC-0904
DEAL-00225,DEAL-ACC-0465
DEAL-00226,DEAL-ACC-0026
DEAL-00227,DEAL-ACC-2187
DEAL-00228,DEAL-ACC-1748
DEAL-00229,DEAL-ACC-1309
DEAL-00230,DEAL-ACC-0870
DEAL-00231,DEAL-ACC-0431
DEAL-00232,DEAL-ACC-2592
DEAL-00233,DEAL-ACC-2153
DEAL-00234,DEAL-ACC-1714
DEAL-00235,DEAL-ACC-1275
DEAL-00236,DEAL-ACC-0836
DEAL-00237,DEAL-ACC-0397
DEAL-00238,DEAL-ACC-2558
DEAL-00239,DEAL-ACC-2119
DEAL-00240,DEAL-ACC-1680
DEAL-00241,DEAL-ACC-1241
DEAL-00242,DEAL-ACC-0802
DEAL-00243,DEAL-ACC-0363
DEAL-00244,DEAL-ACC-2524
DEAL-00245,DEAL-ACC-2085
DEAL-00246,DEAL-ACC-1646
DEAL-00247,DEAL-ACC-1207
DEAL-00248,DEAL-ACC-0768
DEAL-00249,DEAL-ACC-0329
DEAL-00250,DEAL-ACC-2490
DEAL-00251,DEAL-ACC-2051
DEAL-00252,DEAL-ACC-1612
DEAL-00253,DEAL-ACC-1173
DEAL-00254,DEAL-ACC-0734
DEAL-00255,DEAL-ACC-0295
DEAL-00256,DEAL-ACC-2456
DEAL-00257,DEAL-ACC-2017
DEAL-00258,DEAL-ACC-1578
DEAL-00259,DEAL-ACC-1139
DEAL-00260,DEAL-ACC-0700
DEAL-00261,DEAL-ACC-0261
DEAL-00262,DEAL-ACC-2422
DEAL-00263,DEAL-ACC-1983
DEAL-00264,DEAL-ACC-1544
DEAL-00265,DEAL-ACC-1105
DEAL-00266,DEAL-ACC-0666
DEAL-00267,DEAL-ACC-0227
DEAL-00268,DEAL-ACC-2388
DEAL-00269,DEAL-ACC-1949
DEAL-00270,DEAL-ACC-1510
DEAL-00271,DEAL-ACC-1071
DEAL-00272,DEAL-ACC-0632
DEAL-00273,DEAL-ACC-0193
DEAL-00274,DEAL-ACC-2354
DEAL-00275,DEAL-ACC-1915
DEAL-00276,DEAL-ACC-1476
DEAL-00277,DEAL-ACC-1037
DEAL-00278,DEAL-ACC-0598
DEAL-00279,DEAL-ACC-0159
DEAL-00280,DEAL-ACC-2320
DEAL-00281,DEAL-ACC-1881
DEAL-00282,DEAL-ACC-1442
DEAL-00283,DEAL-ACC-1003
DEAL-00284,DEAL-ACC-0564
DEAL-00285,DEAL-ACC-0125
DEAL-00286,DEAL-ACC-2286
DEAL-00287,DEAL-ACC-1847
DEAL-00288,DEAL-ACC-1408
DEAL-00289,DEAL-ACC-0969
DEAL-00290,DEAL-ACC-0530
DEAL-00291,DEAL-ACC-0091
DEAL-00292,DEAL-ACC-2252
DEAL-00293,DEAL-ACC-1813
DEAL-00294,DEAL-ACC-1374
DEAL-00295,DEAL-ACC-0935
DEAL-00296,DEAL-ACC-0496
DEAL-00297,DEAL-ACC-0057
DEAL-00298,DEAL-ACC-2218
DEAL-00299,DEAL-ACC-1779
DEAL-00300,DEAL-ACC-1340
DEAL-00301,DEAL-ACC-0901
DEAL-00302,DEAL-ACC-0462
DEAL-00303,DEAL-ACC-0023
DEAL-00304,DEAL-ACC-2184
DEAL-00305,DEAL-ACC-1745
DEAL-00306,DEAL-ACC-1306
DEAL-00307,DEAL-ACC-0867
DEAL-00308,DEAL-ACC-0428
DEAL-00309,DEAL-ACC-2589
DEAL-00310,DEAL-ACC-2150
DEAL-00311,DEAL-ACC-1711
DEAL-00312,DEAL-ACC-1272
DEAL-00313,DEAL-ACC-0833
DEAL-00314,DEAL-ACC-0394
DEAL-00315,DEAL-ACC-2555
DEAL-00316,DEAL-ACC-2116
DEAL-00317,DEAL-ACC-1677
DEAL-00318,DEAL-ACC-1238
DEAL-00319,DEAL-ACC-0799
DEAL-00320,DEAL-ACC-0360
DEAL-00321,DEAL-ACC-2521
DEAL-00322,DEAL-ACC-2082
DEAL-00323,DEAL-ACC-1643
DEAL-00324,DEAL-ACC-1204
DEAL-00325,DEAL-ACC-0765
DEAL-00326,DEAL-ACC-0326
DEAL-00327,DEAL-ACC-2487
DEAL-00328,DEAL-ACC-2048
DEAL-00329,DEAL-ACC-1609
DEAL-00330,DEAL-ACC-1170
DEAL-00331,DEAL-ACC-0731
DEAL-00332,DEAL-ACC-0292
DEAL-00333,DEAL-ACC-2453
DEAL-00334,DEAL-ACC-2014
DEAL-00335,DEAL-ACC-1575
DEAL-00336,DEAL-ACC-1136
DEAL-00337,DEAL-ACC-0697
DEAL-00338,DEAL-ACC-0258
DEAL-00339,DEAL-ACC-2419
DEAL-00340,DEAL-ACC-1980
DEAL-00341,DEAL-ACC-1541
DEAL-00342,DEAL-ACC-1102
DEAL-00343,DEAL-ACC-0663
DEAL-00344,DEAL-ACC-0224
DEAL-00345,DEAL-ACC-2385
DEAL-00346,DEAL-ACC-1946
DEAL-00347,DEAL-ACC-1507
DEAL-00348,DEAL-ACC-1068
DEAL-00349,DEAL-ACC-0629
DEAL-00350,DEAL-ACC-0190
DEAL-00351,DEAL-ACC-2351
DEAL-00352,DEAL-ACC-1912
DEAL-00353,DEAL-ACC-1473
DEAL-00354,DEAL-ACC-1034
DEAL-00355,DEAL-ACC-0595
DEAL-00356,DEAL-ACC-0156
DEAL-00357,DEAL-ACC-2317
DEAL-00358,DEAL-ACC-1878
DEAL-00359,DEAL-ACC-1439
DEAL-00360,DEAL-ACC-1000
DEAL-00361,DEAL-ACC-0561
DEAL-00362,DEAL-ACC-0122
DEAL-00363,DEAL-ACC-2283
DEAL-00364,DEAL-ACC-1844
DEAL-00365,DEAL-ACC-1405
DEAL-00366,DEAL-ACC-0966
DEAL-00367,DEAL-ACC-0527
DEAL-00368,DEAL-ACC-0088
DEAL-00369,DEAL-ACC-2249
DEAL-00370,DEAL-ACC-1810
DEAL-00371,DEAL-ACC-1371
DEAL-00372,DEAL-ACC-0932
DEAL-00373,DEAL-ACC-0493
DEAL-00374,DEAL-ACC-0054
DEAL-00375,DEAL-ACC-2215
DEAL-00376,DEAL-ACC-1776
DEAL-00377,DEAL-ACC-1337
DEAL-00378,DEAL-ACC-0898
DEAL-00379,DEAL-ACC-0459
DEAL-00380,DEAL-ACC-0020
DEAL-00381,DEAL-ACC-2181
DEAL-00382,DEAL-ACC-1742
DEAL-00383,DEAL-ACC-1303
DEAL-00384,DEAL-ACC-0864
DEAL-00385,DEAL-ACC-0425
DEAL-00386,DEAL-ACC-2586
DEAL-00387,DEAL-ACC-2147
DEAL-00388,DEAL-ACC-1708
DEAL-00389,DEAL-ACC-1269
DEAL-00390,DEAL-ACC-0830
DEAL-00391,DEAL-ACC-0391
DEAL-00392,DEAL-ACC-2552
DEAL-00393,DEAL-ACC-2113
DEAL-00394,DEAL-ACC-1674
DEAL-00395,DEAL-ACC-1235
DEAL-00396,DEAL-ACC-0796
DEAL-00397,DEAL-ACC-0357
DEAL-00398,DEAL-ACC-2518
DEAL-00399,DEAL-ACC-2079
DEAL-00400,DEAL-ACC-1640
DEAL-00401,DEAL-ACC-1201
DEAL-00402,DEAL-ACC-0762
DEAL-00403,DEAL-ACC-0323
DEAL-00404,DEAL-ACC-2484
DEAL-00405,DEAL-ACC-2045
DEAL-00406,DEAL-ACC-1606
DEAL-00407,DEAL-ACC-1167
DEAL-00408,DEAL-ACC-0728
DEAL-00409,DEAL-ACC-0289
DEAL-00410,DEAL-ACC-2450
DEAL-00411,DEAL-ACC-2011
DEAL-00412,DEAL-ACC-1572
DEAL-00413,DEAL-ACC-1133
DEAL-00414,DEAL-ACC-0694
DEAL-00415,DEAL-ACC-0255
DEAL-00416,DEAL-ACC-2416
DEAL-00417,DEAL-ACC-1977
DEAL-00418,DEAL-ACC-1538
DEAL-00419,DEAL-ACC-1099
DEAL-00420,DEAL-ACC-0660
DEAL-00421,DEAL-ACC-0221
DEAL-00422,DEAL-ACC-2382
DEAL-00423,DEAL-ACC-1943
DEAL-00424,DEAL-ACC-1504
DEAL-00425,DEAL-ACC-1065
DEAL-00426,DEAL-ACC-0626
DEAL-00427,DEAL-ACC-0187
DEAL-00428,DEAL-ACC-2348
DEAL-00429,DEAL-ACC-1909
DEAL-00430,DEAL-ACC-1470
DEAL-00431,DEAL-ACC-1031
DEAL-00432,DEAL-ACC-0592
DEAL-00433,DEAL-ACC-0153
DEAL-00434,DEAL-ACC-2314
DEAL-00435,DEAL-ACC-1875
DEAL-00436,DEAL-ACC-1436
DEAL-00437,DEAL-ACC-0997
DEAL-00438,DEAL-ACC-0558
DEAL-00439,DEAL-ACC-0119
DEAL-00440,DEAL-ACC-2280
DEAL-00441,DEAL-ACC-1841
DEAL-00442,DEAL-ACC-1402
DEAL-00443,DEAL-ACC-0963
DEAL-00444,DEAL-ACC-0524
DEAL-00445,DEAL-ACC-0085
DEAL-00446,DEAL-ACC-2246
DEAL-00447,DEAL-ACC-1807
DEAL-00448,DEAL-ACC-1368
DEAL-00449,DEAL-ACC-0929
DEAL-00450,DEAL-ACC-0490
DEAL-00451,DEAL-ACC-0051
DEAL-00452,DEAL-ACC-2212
DEAL-00453,DEAL-ACC-1773
DEAL-00454,DEAL-ACC-1334
DEAL-00455,DEAL-ACC-0895
DEAL-00456,DEAL-ACC-0456
DEAL-00457,DEAL-ACC-0017
DEAL-00458,DEAL-ACC-2178
DEAL-00459,DEAL-ACC-1739
DEAL-00460,DEAL-ACC-1300
DEAL-00461,DEAL-ACC-0861
DEAL-00462,DEAL-ACC-0422
DEAL-00463,DEAL-ACC-2583
DEAL-00464,DEAL-ACC-2144
DEAL-00465,DEAL-ACC-1705
DEAL-00466,DEAL-ACC-1266
DEAL-00467,DEAL-ACC-0827
DEAL-00468,DEAL-ACC-0388
DEAL-00469,DEAL-ACC-2549
DEAL-00470,DEAL-ACC-2110
DEAL-00471,DEAL-ACC-1671
DEAL-00472,DEAL-ACC-1232
DEAL-00473,DEAL-ACC-0793
DEAL-00474,DEAL-ACC-0354
DEAL-00475,DEAL-ACC-2515
DEAL-00476,DEAL-ACC-2076
DEAL-00477,DEAL-ACC-1637
DEAL-00478,DEAL-ACC-1198
DEAL-00479,DEAL-ACC-0759
DEAL-00480,DEAL-ACC-0320
DEAL-00481,DEAL-ACC-2481
DEAL-00482,DEAL-ACC-2042
DEAL-00483,DEAL-ACC-1603
DEAL-00484,DEAL-ACC-1164
DEAL-00485,DEAL-ACC-0725
DEAL-00486,DEAL-ACC-0286
DEAL-00487,DEAL-ACC-2447
DEAL-00488,DEAL-ACC-2008
DEAL-00489,DEAL-ACC-1569
DEAL-00490,DEAL-ACC-1130
DEAL-00491,DEAL-ACC-0691
DEAL-00492,DEAL-ACC-0252
DEAL-00493,DEAL-ACC-2413
DEAL-00494,DEAL-ACC-1974
DEAL-00495,DEAL-ACC-1535
DEAL-00496,DEAL-ACC-1096
DEAL-00497,DEAL-ACC-0657
DEAL-00498,DEAL-ACC-0218
DEAL-00499,DEAL-ACC-2379
DEAL-00500,DEAL-ACC-1940
DEAL-00501,DEAL-ACC-1501
DEAL-00502,DEAL-ACC-1062
DEAL-00503,DEAL-ACC-0623
DEAL-00504,DEAL-ACC-0184
DEAL-00505,DEAL-ACC-2345
DEAL-00506,DEAL-ACC-1906
DEAL-00507,DEAL-ACC-1467
DEAL-00508,DEAL-ACC-1028
DEAL-00509,DEAL-ACC-0589
DEAL-00510,DEAL-ACC-0150
DEAL-00511,DEAL-ACC-2311
DEAL-00512,DEAL-ACC-1872
DEAL-00513,DEAL-ACC-1433
DEAL-00514,DEAL-ACC-0994
DEAL-00515,DEAL-ACC-0555
DEAL-00516,DEAL-ACC-0116
DEAL-00517,DEAL-ACC-2277
DEAL-00518,DEAL-ACC-1838
DEAL-00519,DEAL-ACC-1399
DEAL-00520,DEAL-ACC-0960
DEAL-00521,DEAL-ACC-0521
DEAL-00522,DEAL-ACC-0082
DEAL-00523,DEAL-ACC-2243
DEAL-00524,DEAL-ACC-1804
DEAL-00525,DEAL-ACC-1365
DEAL-00526,DEAL-ACC-0926
DEAL-00527,DEAL-ACC-0487
DEAL-00528,DEAL-ACC-0048
DEAL-00529,DEAL-ACC-2209
DEAL-00530,DEAL-ACC-1770
DEAL-00531,DEAL-ACC-1331
DEAL-00532,DEAL-ACC-0892
DEAL-00533,DEAL-ACC-0453
DEAL-00534,DEAL-ACC-0014
DEAL-00535,DEAL-ACC-2175
DEAL-00536,DEAL-ACC-1736
DEAL-00537,DEAL-ACC-1297
DEAL-00538,DEAL-ACC-0858
DEAL-00539,DEAL-ACC-0419
DEAL-00540,DEAL-ACC-2580
DEAL-00541,DEAL-ACC-2141
DEAL-00542,DEAL-ACC-1702
DEAL-00543,DEAL-ACC-1263
DEAL-00544,DEAL-ACC-0824
DEAL-00545,DEAL-ACC-0385
DEAL-00546,DEAL-ACC-2546
DEAL-00547,DEAL-ACC-2107
DEAL-00548,DEAL-ACC-1668
DEAL-00549,DEAL-ACC-1229
DEAL-00550,DEAL-ACC-0790
DEAL-00551,DEAL-ACC-0351
DEAL-00552,DEAL-ACC-2512
DEAL-00553,DEAL-ACC-2073
DEAL-00554,DEAL-ACC-1634
DEAL-00555,DEAL-ACC-1195
DEAL-00556,DEAL-ACC-0756
DEAL-00557,DEAL-ACC-0317
DEAL-00558,DEAL-ACC-2478
DEAL-00559,DEAL-ACC-2039
DEAL-00560,DEAL-ACC-1600
DEAL-00561,DEAL-ACC-1161
DEAL-00562,DEAL-ACC-0722
DEAL-00563,DEAL-ACC-0283
DEAL-00564,DEAL-ACC-2444
DEAL-00565,DEAL-ACC-2005
DEAL-00566,DEAL-ACC-1566
DEAL-00567,DEAL-ACC-1127
DEAL-00568,DEAL-ACC-0688
DEAL-00569,DEAL-ACC-0249
DEAL-00570,DEAL-ACC-2410
DEAL-00571,DEAL-ACC-1971
DEAL-00572,DEAL-ACC-1532
DEAL-00573,DEAL-ACC-1093
DEAL-00574,DEAL-ACC-0654
DEAL-00575,DEAL-ACC-0215
DEAL-00576,DEAL-ACC-2376
DEAL-00577,DEAL-ACC-1937
DEAL-00578,DEAL-ACC-1498
DEAL-00579,DEAL-ACC-1059
DEAL-00580,DEAL-ACC-0620
DEAL-00581,DEAL-ACC-0181
DEAL-00582,DEAL-ACC-2342
DEAL-00583,DEAL-ACC-1903
DEAL-00584,DEAL-ACC-1464
DEAL-00585,DEAL-ACC-1025
DEAL-00586,DEAL-ACC-0586
DEAL-00587,DEAL-ACC-0147
DEAL-00588,DEAL-ACC-2308
DEAL-00589,DEAL-ACC-1869
DEAL-00590,DEAL-ACC-1430
DEAL-00591,DEAL-ACC-0991
DEAL-00592,DEAL-ACC-0552
DEAL-00593,DEAL-ACC-0113
DEAL-00594,DEAL-ACC-2274
DEAL-00595,DEAL-ACC-1835
DEAL-00596,DEAL-ACC-1396
DEAL-00597,DEAL-ACC-0957
DEAL-00598,DEAL-ACC-0518
DEAL-00599,DEAL-ACC-0079
DEAL-00600,DEAL-ACC-2240
DEAL-00601,DEAL-ACC-1801
DEAL-00602,DEAL-ACC-1362
DEAL-00603,DEAL-ACC-0923
DEAL-00604,DEAL-ACC-0484
DEAL-00605,DEAL-ACC-0045
DEAL-00606,DEAL-ACC-2206
DEAL-00607,DEAL-ACC-1767
DEAL-00608,DEAL-ACC-1328
DEAL-00609,DEAL-ACC-0889
DEAL-00610,DEAL-ACC-0450
DEAL-00611,DEAL-ACC-0011
DEAL-00612,DEAL-ACC-2172
DEAL-00613,DEAL-ACC-1733
DEAL-00614,DEAL-ACC-1294
DEAL-00615,DEAL-ACC-0855
DEAL-00616,DEAL-ACC-0416
DEAL-00617,DEAL-ACC-2577
DEAL-00618,DEAL-ACC-2138
DEAL-00619,DEAL-ACC-1699
DEAL-00620,DEAL-ACC-1260
DEAL-00621,DEAL-ACC-0821
DEAL-00622,DEAL-ACC-0382
DEAL-00623,DEAL-ACC-2543
DEAL-00624,DEAL-ACC-2104
DEAL-00625,DEAL-ACC-1665
DEAL-00626,DEAL-ACC-1226
DEAL-00627,DEAL-ACC-0787
DEAL-00628,DEAL-ACC-0348
DEAL-00629,DEAL-ACC-2509
DEAL-00630,DEAL-ACC-2070
DEAL-00631,DEAL-ACC-1631
DEAL-00632,DEAL-ACC-1192
DEAL-00633,DEAL-ACC-0753
DEAL-00634,DEAL-ACC-0314
DEAL-00635,DEAL-ACC-2475
DEAL-00636,DEAL-ACC-2036
DEAL-00637,DEAL-ACC-1597
DEAL-00638,DEAL-ACC-1158
DEAL-00639,DEAL-ACC-0719
DEAL-00640,DEAL-ACC-0280
DEAL-00641,DEAL-ACC-2441
DEAL-00642,DEAL-ACC-2002
DEAL-00643,DEAL-ACC-1563
DEAL-00644,DEAL-ACC-1124
DEAL-00645,DEAL-ACC-0685
DEAL-00646,DEAL-ACC-0246
DEAL-00647,DEAL-ACC-2407
DEAL-00648,DEAL-ACC-1968
DEAL-00649,DEAL-ACC-1529
DEAL-00650,DEAL-ACC-1090
DEAL-00651,DEAL-ACC-0651
DEAL-00652,DEAL-ACC-0212
DEAL-00653,DEAL-ACC-2373
DEAL-00654,DEAL-ACC-1934
DEAL-00655,DEAL-ACC-1495
DEAL-00656,DEAL-ACC-1056
DEAL-00657,DEAL-ACC-0617
DEAL-00658,DEAL-ACC-0178
DEAL-00659,DEAL-ACC-2339
DEAL-00660,DEAL-ACC-1900
DEAL-00661,DEAL-ACC-1461
DEAL-00662,DEAL-ACC-1022
DEAL-00663,DEAL-ACC-0583
DEAL-00664,DEAL-ACC-0144
DEAL-00665,DEAL-ACC-2305
DEAL-00666,DEAL-ACC-1866
DEAL-00667,DEAL-ACC-1427
DEAL-00668,DEAL-ACC-0988
DEAL-00669,DEAL-ACC-0549
DEAL-00670,DEAL-ACC-0110
DEAL-00671,DEAL-ACC-2271
DEAL-00672,DEAL-ACC-1832
DEAL-00673,DEAL-ACC-1393
DEAL-00674,DEAL-ACC-0954
DEAL-00675,DEAL-ACC-0515
DEAL-00676,DEAL-ACC-0076
DEAL-00677,DEAL-ACC-2237
DEAL-00678,DEAL-ACC-1798
DEAL-00679,DEAL-ACC-1359
DEAL-00680,DEAL-ACC-0920
DEAL-00681,DEAL-ACC-0481
DEAL-00682,DEAL-ACC-0042
DEAL-00683,DEAL-ACC-2203
DEAL-00684,DEAL-ACC-1764
DEAL-00685,DEAL-ACC-1325
DEAL-00686,DEAL-ACC-0886
DEAL-00687,DEAL-ACC-0447
DEAL-00688,DEAL-ACC-0008
DEAL-00689,DEAL-ACC-2169
DEAL-00690,DEAL-ACC-1730
DEAL-00691,DEAL-ACC-1291
DEAL-00692,DEAL-ACC-0852
DEAL-00693,DEAL-ACC-0413
DEAL-00694,DEAL-ACC-2574
DEAL-00695,DEAL-ACC-2135
DEAL-00696,DEAL-ACC-1696
DEAL-00697,DEAL-ACC-1257
DEAL-00698,DEAL-ACC-0818
DEAL-00699,DEAL-ACC-0379
