lost,won_amount_usd,sales_cost_usd,discount_leakage_usd,gross_deal_margin_usd,net_deal_contribution_usd,expansion_180d
true,0.0,5976.31,5976.45,-5976.31,-11952.76,
false,50095.39,17309.79,6221.31,32785.61,26564.3,false
false,66907.49,5876.8,5265.68,61030.68,55765.0,false
false,8608.28,1134.09,1701.9,7474.19,5772.29,false
false,53574.33,15743.29,4554.69,37831.04,33276.35,false
false,22252.95,5007.68,2722.91,17245.26,14522.36,
false,23136.19,6564.33,2125.61,16571.86,14446.25,false
false,25973.34,2429.75,0.0,23543.59,23543.59,true
false,23407.16,0.0,1249.06,23407.16,22158.09,true
false,6235.33,765.77,1507.38,5469.56,3962.19,true
false,8236.2,1923.85,1910.52,6312.35,4401.83,true
true,0.0,1176.49,2232.31,-1176.49,-3408.8,
false,6468.06,422.54,1565.05,6045.52,4480.48,false
false,62945.28,7345.02,4663.07,55600.26,50937.19,true
true,0.0,1865.46,3206.84,-1865.46,-5072.3,false
true,0.0,17619.85,3675.47,-17619.85,-21295.32,true
false,78590.19,0.0,6780.02,78590.19,71810.17,true
true,0.0,2571.65,1238.9,-2571.65,-3810.56,
false,67181.98,25761.64,13732.95,41420.35,27687.4,false
false,24688.8,6214.55,2713.68,18474.24,15760.56,false
false,53964.12,0.0,11960.34,53964.12,42003.78,true
false,134714.27,9093.06,39687.41,125621.21,85933.8,false
false,31184.03,12675.15,3666.27,18508.88,14842.61,true
false,8472.65,1586.43,1109.07,6886.22,5777.15,false
false,29058.1,7288.9,2699.78,21769.19,19069.42,
false,57715.49,10501.08,8429.01,47214.42,38785.41,true
false,71767.0,7917.15,5247.73,63849.85,58602.12,true
false,27744.77,6875.67,6462.32,20869.1,14406.78,true
false,20317.38,4065.02,2680.27,16252.36,13572.09,true
false,46054.21,14505.36,6388.55,31548.86,25160.31,false
true,0.0,24740.17,45330.92,-24740.17,-70071.09,false
true,0.0,11577.38,2677.82,-11577.38,-14255.2,false
true,0.0,22379.07,10222.18,-22379.07,-32601.25,
false,6435.68,1446.58,1004.66,4989.1,3984.44,false
false,32584.01,5345.39,3759.43,27238.62,23479.19,true
true,0.0,4585.08,2688.99,-4585.08,-7274.07,false
false,169399.48,48726.91,9290.77,120672.57,111381.8,true
true,0.0,4845.97,18371.65,-4845.97,-23217.61,true
false,22929.62,5156.77,960.36,17772.86,16812.49,true
false,6416.05,954.7,808.36,5461.35,4652.98,true
false,145243.49,30863.52,4287.41,114379.98,110092.57,false
false,10120.18,2058.27,875.0,8061.9,7186.9,
false,139189.83,23409.76,15382.71,115780.07,100397.36,
false,21710.87,4334.02,883.61,17376.86,16493.24,true
false,6839.82,339.4,2038.56,6500.42,4461.86,
false,33755.45,2103.71,0.0,31651.74,31651.74,false
false,7123.48,2324.24,991.57,4799.24,3807.68,false
false,7842.92,985.96,705.66,6856.95,6151.3,true
false,41670.54,8706.84,1535.66,32963.7,31428.04,true
false,116676.37,15861.46,4983.07,100814.91,95831.84,true
true,0.0,803.33,1400.0,-803.33,-2203.33,
false,56831.21,7051.22,1030.24,49779.99,48749.75,true
true,0.0,5108.47,5308.16,-5108.47,-10416.63,false
false,175130.46,17560.29,3352.47,157570.18,154217.7,false
false,9002.87,1464.47,1378.55,7538.4,6159.85,false
true,0.0,597.82,3337.86,-597.82,-3935.68,
false,152642.09,55506.44,14069.84,97135.65,83065.81,false
false,27071.2,4420.56,4443.83,22650.63,18206.8,true
false,122786.15,32915.8,4123.82,89870.35,85746.52,false
false,23321.65,3883.28,3500.99,19438.37,15937.39,false
true,0.0,3076.85,12812.58,-3076.85,-15889.43,
false,8884.91,1047.02,2000.14,7837.9,5837.76,true
false,137122.53,24310.83,8746.2,112811.7,104065.5,
false,28576.33,6219.03,2829.22,22357.3,19528.08,true
false,60525.54,11626.52,2970.74,48899.02,45928.28,true
true,0.0,795.27,13204.05,-795.27,-13999.33,false
false,31729.77,9425.73,4577.96,22304.03,17726.08,false
false,9563.78,974.72,1247.95,8589.06,7341.12,true
false,9288.08,1408.76,1777.84,7879.33,6101.49,true
false,10277.8,2297.62,0.0,7980.17,7980.17,
false,59186.67,6797.3,3023.24,52389.36,49366.12,false
false,151338.96,4289.91,45982.01,147049.05,101067.03,true
true,0.0,4282.23,0.0,-4282.23,-4282.23,
true,0.0,816.76,712.57,-816.76,-1529.32,
true,0.0,6332.92,7078.68,-6332.92,-13411.6,false
false,6579.96,577.17,922.67,6002.79,5080.12,false
true,0.0,624.68,1000.0,-624.68,-1624.68,
false,9355.93,2038.8,2815.6,7317.13,4501.54,false
true,0.0,7271.35,7353.92,-7271.35,-14625.27,
true,0.0,8586.77,4413.77,-8586.77,-13000.54,false
false,20229.37,868.05,1135.18,19361.32,18226.15,false
true,0.0,6652.75,2244.52,-6652.75,-8897.27,false
true,0.0,4134.29,1652.23,-4134.29,-5786.52,false
false,9105.39,2381.55,1513.34,6723.84,5210.51,false
false,32650.29,7646.84,2820.62,25003.45,22182.83,true
true,0.0,2957.62,979.48,-2957.62,-3937.1,
true,0.0,0.0,9449.66,0.0,-9449.66,
false,41386.56,111.71,868.51,41274.85,40406.34,true
false,140565.38,27153.6,20869.27,113411.77,92542.51,false
false,52283.97,11835.3,8379.13,40448.67,32069.55,true
false,9103.22,2906.95,929.2,6196.27,5267.07,false
true,0.0,5859.58,16130.94,-5859.58,-21990.52,
false,6117.65,1235.51,205.37,4882.14,4676.77,
false,8835.01,2397.53,1355.11,6437.48,5082.37,false
true,0.0,0.0,24401.17,0.0,-24401.17,true
false,72746.7,20772.87,9399.19,51973.83,42574.64,false
false,12766.87,2156.7,2347.58,10610.17,8262.59,
false,22487.68,6138.66,4010.32,16349.02,12338.7,true
false,17705.49,4425.69,2013.27,13279.8,11266.53,false
false,7486.32,2237.26,674.09,5249.06,4574.97,
true,0.0,5524.43,7355.16,-5524.43,-12879.59,true
false,18369.9,3300.13,2361.76,15069.77,12708.02,true
true,0.0,2156.96,1814.24,-2156.96,-3971.2,false
false,158373.94,35272.18,10120.56,123101.76,112981.19,true
true,0.0,803.73,1821.39,-803.73,-2625.11,
true,0.0,11918.99,7081.82,-11918.99,-19000.81,false
false,65578.74,794.2,4627.8,64784.54,60156.74,true
true,0.0,16517.38,16319.17,-16517.38,-32836.55,false
true,0.0,520.28,200.16,-520.28,-720.44,false
false,54128.28,6585.79,5767.76,47542.48,41774.73,true
true,0.0,0.0,3366.43,0.0,-3366.43,false
false,23517.82,5345.99,2846.81,18171.84,15325.02,false
false,7323.85,0.0,1780.29,7323.85,5543.56,false
false,21467.63,3364.96,3161.91,18102.67,14940.76,true
true,0.0,717.04,788.35,-717.04,-1505.4,
false,7547.16,2483.01,1481.99,5064.15,3582.17,
false,180315.07,48830.76,300.0,131484.3,131184.3,true
true,0.0,1264.05,5525.87,-1264.05,-6789.92,
false,7229.88,1033.28,1454.07,6196.6,4742.53,false
false,28497.57,7801.19,1659.4,20696.38,19036.98,true
false,151208.5,11935.16,22261.35,139273.34,117011.99,true
false,26806.45,9315.49,5503.34,17490.96,11987.62,true
false,34036.29,6681.82,3100.57,27354.48,24253.91,false
false,8377.49,2492.54,1703.12,5884.95,4181.82,false
true,0.0,925.98,223.58,-925.98,-1149.55,true
false,50655.67,17832.24,12102.27,32823.43,20721.16,false
true,0.0,20633.08,33678.94,-20633.08,-54312.01,
true,0.0,2251.54,2523.67,-2251.54,-4775.21,false
true,0.0,5055.56,5373.86,-5055.56,-10429.42,true
true,0.0,2977.09,3142.94,-2977.09,-6120.03,false
false,60041.61,7515.91,0.0,52525.69,52525.69,false
true,0.0,3191.71,15132.75,-3191.71,-18324.46,false
false,26229.76,7258.73,3305.28,18971.03,15665.76,false
false,29518.69,3490.72,2826.23,26027.97,23201.75,false
false,22340.37,1970.24,5002.72,20370.13,15367.41,true
false,10061.78,1725.0,300.0,8336.79,8036.79,false
true,0.0,1759.68,0.0,-1759.68,-1759.68,false
true,0.0,6946.89,6700.93,-6946.89,-13647.83,
false,30174.83,3012.68,4637.9,27162.14,22524.25,
false,8195.68,1206.11,1405.35,6989.57,5584.22,false
true,0.0,12285.46,3837.98,-12285.46,-16123.44,false
true,0.0,4338.52,2991.01,-4338.52,-7329.52,false
true,0.0,1721.8,610.19,-1721.8,-2331.99,
true,0.0,5457.08,6551.41,-5457.08,-12008.48,false
false,10058.12,1700.64,1146.0,8357.49,7211.49,true
false,32203.16,4595.71,5182.63,27607.45,22424.82,false
false,11017.38,1886.33,1352.49,9131.05,7778.55,
false,8186.14,577.09,2007.31,7609.05,5601.74,
true,0.0,0.0,3490.27,0.0,-3490.27,false
false,6281.7,1337.86,1363.47,4943.84,3580.37,true
false,3934.52,687.03,585.56,3247.48,2661.92,true
false,21285.02,3928.37,1314.98,17356.65,16041.67,false
false,10440.56,1384.14,1071.7,9056.41,7984.71,false
true,0.0,6743.98,6965.71,-6743.98,-13709.69,false
false,21318.43,5015.44,5542.63,16302.99,10760.37,false
true,0.0,8808.11,4944.02,-8808.11,-13752.12,
false,7901.51,195.51,1867.59,7706.0,5838.41,true
false,6380.94,945.89,443.36,5435.05,4991.69,
false,59850.44,16543.44,2817.92,43306.99,40489.07,false
true,0.0,1186.56,5864.72,-1186.56,-7051.28,false
false,152097.24,12898.05,20695.24,139199.2,118503.95,false
false,23776.84,2329.1,4115.93,21447.73,17331.8,
false,169551.85,33094.21,42694.28,136457.64,93763.36,true
false,24091.43,3413.25,5665.24,20678.17,15012.93,false
false,121474.14,37624.81,14854.23,83849.33,68995.09,true
true,0.0,124.03,904.06,-124.03,-1028.09,
false,7021.56,1979.73,234.56,5041.83,4807.27,false
false,73782.14,6053.56,500.0,67728.58,67228.58,
false,19736.44,2581.05,2021.32,17155.39,15134.07,false
false,7653.64,17.73,535.44,7635.9,7100.46,true
false,7932.05,487.45,802.93,7444.61,6641.68,false
true,0.0,9287.42,5770.26,-9287.42,-15057.68,true
false,20323.0,1649.81,820.53,18673.18,17852.65,false
false,69840.69,12864.44,0.0,56976.24,56976.24,false
true,0.0,5595.82,653.28,-5595.82,-6249.1,false
true,0.0,0.0,525.95,0.0,-525.95,false
false,25621.64,3181.76,3347.79,22439.88,19092.09,false
true,0.0,3383.28,2132.73,-3383.28,-5516.01,false
true,0.0,1058.81,902.29,-1058.81,-1961.1,
false,17787.19,4816.52,665.69,12970.66,12304.97,
false,29599.66,9440.5,2694.32,20159.16,17464.84,true
true,0.0,6359.78,1626.06,-6359.78,-7985.84,
true,0.0,29614.71,1400.0,-29614.71,-31014.71,false
false,6471.85,1065.74,1532.95,5406.11,3873.16,false
false,48244.28,863.33,4972.83,47380.95,42408.13,false
true,0.0,6060.41,1931.79,-6060.41,-7992.2,true
false,8610.82,12.59,1011.68,8598.24,7586.56,true
true,0.0,24734.58,1476.61,-24734.58,-26211.2,
true,0.0,15862.38,4655.72,-15862.38,-20518.11,false
true,0.0,215.15,582.06,-215.15,-797.21,false
false,56470.19,10506.27,14215.82,45963.92,31748.1,
false,7343.96,1306.67,1053.22,6037.29,4984.07,false
false,65815.67,3612.21,12843.07,62203.45,49360.39,false
false,70056.15,5858.25,13431.74,64197.9,50766.16,true
false,8452.87,1790.42,2588.03,6662.45,4074.42,true
false,22843.78,2657.57,3668.05,20186.21,16518.16,false
true,0.0,9552.68,10465.96,-9552.68,-20018.64,true
false,6679.98,1162.56,1147.99,5517.42,4369.43,false
false,61980.35,12741.78,17841.57,49238.57,31396.99,
false,4971.38,564.3,893.06,4407.08,3514.02,false
false,24002.53,5363.0,2727.1,18639.53,15912.43,true
false,49944.64,10723.36,6722.34,39221.29,32498.95,true
false,43704.81,0.0,0.0,43704.81,43704.81,true
false,32348.26,4713.07,3466.41,27635.19,24168.77,false
true,0.0,4757.48,119.0,-4757.48,-4876.49,
false,45855.21,10138.59,6694.67,35716.62,29021.95,true
false,10016.37,1003.71,1344.94,9012.65,7667.72,false
false,27826.64,5514.49,3956.28,22312.15,18355.86,
false,182202.3,22098.95,18999.04,160103.34,141104.31,
false,23425.67,4938.63,2742.89,18487.05,15744.16,true
false,20120.76,2236.57,2075.14,17884.18,15809.04,true
false,7793.25,1296.77,378.64,6496.48,6117.83,false
true,0.0,240.81,929.35,-240.81,-1170.16,true
false,7947.1,782.92,1096.13,7164.18,6068.05,false
false,19321.96,2003.76,4428.5,17318.2,12889.7,false
false,23487.0,1776.11,2157.35,21710.89,19553.54,true
true,0.0,8362.54,325.17,-8362.54,-8687.71,true
false,53584.6,10045.51,6865.77,43539.09,36673.32,
false,6447.53,1128.82,1049.26,5318.71,4269.46,true
true,0.0,2222.78,889.91,-2222.78,-3112.7,
false,7398.0,658.62,1116.51,6739.38,5622.87,false
false,8816.99,383.73,113.28,8433.27,8319.98,false
false,152604.21,32738.89,20158.39,119865.32,99706.92,
true,0.0,9219.7,8737.18,-9219.7,-17956.88,
false,8366.99,1823.85,1513.54,6543.14,5029.6,true
false,60551.51,11139.43,15442.42,49412.08,33969.65,true
false,150204.33,13299.38,19430.82,136904.95,117474.13,true
false,27441.56,8462.43,0.0,18979.13,18979.13,false
false,24802.5,3757.53,1153.24,21044.96,19891.72,
false,57149.31,12572.24,9811.02,44577.07,34766.05,
true,0.0,1849.73,671.52,-1849.73,-2521.25,false
true,0.0,3072.49,18840.09,-3072.49,-21912.59,
false,29658.87,2855.09,1224.11,26803.78,25579.68,false
false,48374.52,6805.52,5385.29,41569.0,36183.71,true
false,8833.52,2314.22,2820.62,6519.3,3698.68,true
false,26287.62,7287.97,1795.77,18999.64,17203.87,false
false,24773.51,4090.14,4042.81,20683.37,16640.56,true
false,137077.43,13617.48,16727.53,123459.95,106732.42,false
false,169677.06,39592.73,1400.0,130084.33,128684.33,false
true,0.0,1398.3,1104.15,-1398.3,-2502.46,
false,9755.74,1622.25,1628.58,8133.49,6504.92,
false,26545.41,8136.77,1920.62,18408.64,16488.02,true
false,9531.04,2095.54,1186.07,7435.5,6249.43,false
true,0.0,5170.04,1512.66,-5170.04,-6682.7,false
true,0.0,2138.42,1212.37,-2138.42,-3350.79,false
true,0.0,219.73,1076.86,-219.73,-1296.58,false
false,21179.38,1924.31,2316.14,19255.07,16938.94,false
false,136553.9,20473.86,0.0,116080.03,116080.03,true
false,32518.36,4101.14,6903.15,28417.22,21514.06,false
true,0.0,1111.24,1680.4,-1111.24,-2791.63,false
false,26806.52,6740.42,5478.26,20066.1,14587.84,true
false,7166.36,1761.78,0.0,5404.58,5404.58,false
true,0.0,5238.63,0.0,-5238.63,-5238.63,false
false,27782.42,3039.83,3356.2,24742.59,21386.39,false
false,6834.9,591.39,829.51,6243.5,5414.0,true
false,49103.07,0.0,6586.35,49103.07,42516.72,true
true,0.0,2605.3,0.0,-2605.3,-2605.3,false
false,9884.48,1787.3,2295.26,8097.18,5801.93,true
true,0.0,37765.93,5792.54,-37765.93,-43558.47,true
true,0.0,1445.08,1117.26,-1445.08,-2562.34,true
false,22990.76,7954.76,0.0,15036.0,15036.0,true
false,28248.47,3422.8,5648.72,24825.67,19176.95,true
false,45626.5,13214.79,0.0,32411.71,32411.71,false
false,33104.44,0.0,7508.39,33104.44,25596.05,true
true,0.0,827.82,11489.25,-827.82,-12317.07,false
false,25028.86,6479.82,3707.16,18549.05,14841.89,false
true,0.0,23210.43,6317.69,-23210.43,-29528.12,false
false,24843.33,486.82,4494.37,24356.52,19862.15,false
false,24236.26,346.64,0.0,23889.62,23889.62,true
false,132482.39,17210.46,6514.66,115271.93,108757.28,false
false,71248.17,5265.99,12360.98,65982.18,53621.2,false
false,6253.6,2647.27,1032.6,3606.32,2573.73,true
false,65563.71,15058.22,16951.16,50505.49,33554.32,false
true,0.0,2797.15,8746.15,-2797.15,-11543.3,
false,9998.27,2678.44,1921.89,7319.83,5397.94,false
false,10517.85,1592.04,0.0,8925.8,8925.8,true
true,0.0,1232.38,1375.69,-1232.38,-2608.07,
false,7656.46,444.27,0.95,7212.19,7211.25,true
false,8435.68,637.77,629.75,7797.91,7168.15,
true,0.0,573.52,400.34,-573.52,-973.85,true
false,20844.64,3465.44,936.1,17379.19,16443.09,true
false,29478.23,5801.52,3123.25,23676.72,20553.47,true
true,0.0,4179.1,2279.71,-4179.1,-6458.8,
false,25290.19,5867.69,5484.73,19422.5,13937.78,
false,19816.92,1607.09,2202.63,18209.83,16007.2,false
true,0.0,5640.65,4998.82,-5640.65,-10639.46,
false,6570.91,719.82,1167.02,5851.09,4684.07,true
true,0.0,22774.68,10427.37,-22774.68,-33202.05,
false,21955.61,1259.78,3204.29,20695.83,17491.54,true
false,64170.06,7324.75,9503.74,56845.31,47341.56,true
false,21548.89,2729.08,2007.53,18819.81,16812.28,true
false,52907.56,2855.72,5897.88,50051.84,44153.96,true
false,73681.48,11608.23,8079.35,62073.25,53993.9,true
false,9471.29,2487.72,1323.82,6983.57,5659.75,false
false,49967.43,0.0,5182.0,49967.43,44785.43,true
false,8219.4,796.37,1214.0,7423.03,6209.03,false
false,9748.92,2465.81,971.58,7283.11,6311.52,true
false,21129.41,6454.36,1868.8,14675.05,12806.26,false
false,9761.8,1440.69,849.1,8321.1,7472.01,false
false,20597.06,2931.16,4789.63,17665.89,12876.26,false
false,143639.38,9081.65,11172.78,134557.73,123384.95,true
false,55136.99,7523.77,12554.81,47613.22,35058.4,true
false,8651.64,1434.58,1330.71,7217.06,5886.34,false
false,161284.57,25237.63,45681.82,136046.94,90365.12,false
true,0.0,9898.92,4025.76,-9898.92,-13924.68,
false,27277.81,4254.18,3076.88,23023.63,19946.74,false
true,0.0,1366.49,7029.83,-1366.49,-8396.32,
false,10294.96,983.46,577.74,9311.5,8733.76,false
false,23828.27,4947.46,3003.99,18880.81,15876.82,true
true,0.0,4777.48,3248.5,-4777.48,-8025.98,false
false,29511.5,1289.66,2849.15,28221.83,25372.68,true
false,170655.22,0.0,13749.09,170655.22,156906.13,true
false,29973.96,12620.14,9528.6,17353.82,7825.21,true
false,30693.53,4494.96,4503.96,26198.57,21694.61,
false,85009.35,27352.06,7221.72,57657.3,50435.58,false
false,22078.66,1735.02,5488.47,20343.63,14855.16,true
false,20178.75,4357.37,2767.52,15821.38,13053.86,true
false,30994.09,7039.37,2151.18,23954.72,21803.54,true
false,22123.89,5495.41,5045.85,16628.48,11582.63,true
false,7077.99,363.16,2050.65,6714.83,4664.19,false
false,129572.41,4091.87,8749.36,125480.53,116731.17,
false,134981.61,6118.48,24127.48,128863.13,104735.65,
false,148240.01,44465.85,21509.36,103774.16,82264.8,true
false,10103.14,1774.32,2876.39,8328.82,5452.43,false
false,9557.64,1539.25,958.07,8018.39,7060.32,false
false,28578.38,7943.95,4717.67,20634.43,15916.76,false
false,28225.4,9419.6,946.53,18805.8,17859.26,false
false,54082.12,1945.38,8612.84,52136.74,43523.9,true
false,16686.42,1970.81,3328.79,14715.62,11386.82,false
false,24289.79,3269.13,2507.27,21020.66,18513.39,false
false,59064.65,0.0,7891.76,59064.65,51172.89,true
true,0.0,2406.65,4282.33,-2406.65,-6688.98,
true,0.0,2651.92,1829.97,-2651.92,-4481.89,
true,0.0,3290.98,2035.38,-3290.98,-5326.35,true
false,8827.39,3244.93,2136.68,5582.46,3445.78,true
false,11081.65,1461.2,2999.39,9620.45,6621.06,true
false,61622.49,15933.42,9291.96,45689.07,36397.11,false
false,20365.96,4951.39,2719.76,15414.56,12694.8,false
false,21997.83,5816.2,1255.44,16181.63,14926.19,false
false,63533.82,4246.84,16896.28,59286.98,42390.69,true
false,59398.46,3722.29,0.0,55676.17,55676.17,
true,0.0,3301.78,2173.55,-3301.78,-5475.32,
false,24580.5,9132.65,1470.91,15447.85,13976.93,
false,23638.54,1228.82,2652.97,22409.72,19756.75,false
false,21276.83,0.0,3706.61,21276.83,17570.22,true
