deal_created_date,lead_source,industry,company_size_band,deal_size_usd,sales_rep,sales_region,product_line,discount_requested_pct,competitor_involved,lead_score,decision_maker_engaged
2024-06-04,paid,healthcare,small,10495.0,Rep 4,Region Central,Platform,14.34,true,61,false
2024-06-27,referral,healthcare,small,8636.99,Rep 4,Region East,Platform,9.77,false,59,false
2025-09-22,organic,tech,medium,22739.78,Rep 4,Region Central,Suite,12.22,true,53,false
2024-08-07,cold_call,healthcare,small,9980.15,Rep 8,Region South,Platform,17.02,false,52,false
2025-03-31,referral,healthcare,large,60431.45,Rep 1,Region South,Platform,8.04,true,49,false
2024-04-07,cold_call,retail,medium,21888.03,Rep 5,Region Central,Standalone,5.38,true,49,false
2024-08-21,organic,finance,medium,17962.01,Rep 8,Region East,Standalone,14.22,false,43,true
2024-12-11,webinar,manufacturing,small,6691.68,Rep 3,Region South,Platform,20.97,false,56,true
2025-04-09,paid,healthcare,large,41427.42,Rep 2,Region Central,Standalone,11.2,true,72,true
2025-04-26,organic,finance,medium,25498.38,Rep 1,Region East,Suite,13.68,true,30,false
2025-04-11,cold_call,manufacturing,medium,18086.0,Rep 8,Region West,Platform,2.27,false,68,true
2024-03-17,webinar,healthcare,medium,33162.24,Rep 5,Region East,Platform,12.97,true,59,true
2024-09-08,cold_call,manufacturing,enterprise,141312.56,Rep 2,Region East,Suite,14.59,false,53,false
2024-08-09,paid,retail,medium,26563.93,Rep 2,Region South,Suite,15.86,false,50,true
2024-07-23,paid,tech,small,7580.6,Rep 6,Region East,Platform,12.3,false,86,true
2024-02-15,organic,retail,large,65355.82,Rep 6,Region South,Standalone,12.67,false,48,false
2024-12-01,referral,finance,small,7832.62,Rep 5,Region East,Platform,4.22,false,50,false
2024-08-24,cold_call,healthcare,small,11333.85,Rep 3,Region East,Platform,6.82,true,31,false
2024-09-09,webinar,tech,medium,30733.5,Rep 7,Region South,Suite,10.04,false,67,true
2024-10-22,cold_call,retail,enterprise,138055.2,Rep 2,Region West,Platform,0.0,true,67,true
2024-12-08,organic,manufacturing,enterprise,123088.51,Rep 2,Region South,Suite,24.8,false,84,true
2025-12-18,organic,finance,small,10293.88,Rep 6,Region East,Platform,0.0,false,82,true
2025-10-08,organic,retail,large,78593.49,Rep 1,Region West,Platform,0.0,false,50,false
2025-06-19,webinar,retail,medium,24543.43,Rep 6,Region East,Suite,17.09,false,63,true
2024-11-09,referral,retail,large,41845.53,Rep 2,Region South,Standalone,13.94,false,65,true
2025-04-17,paid,healthcare,medium,19840.9,Rep 7,Region Central,Standalone,14.7,false,41,true
2024-07-30,webinar,tech,medium,30893.21,Rep 4,Region Central,Standalone,14.31,true,40,false
2025-08-24,referral,tech,medium,26773.9,Rep 8,Region East,Suite,16.64,false,78,true
2025-12-10,cold_call,tech,small,10096.39,Rep 5,Region Central,Platform,0.45,false,67,true
2024-05-23,paid,tech,small,8616.41,Rep 8,Region Central,Platform,9.53,true,85,true
2025-07-09,webinar,healthcare,medium,25729.97,Rep 8,Region East,Suite,6.88,false,49,false
2024-10-04,cold_call,manufacturing,medium,24167.54,Rep 1,Region West,Platform,2.01,false,53,true
2024-07-21,webinar,tech,small,7699.4,Rep 5,Region South,Platform,5.55,false,44,true
2025-05-17,webinar,healthcare,enterprise,162892.79,Rep 2,Region West,Platform,7.07,true,57,false
2024-03-10,referral,retail,medium,28290.25,Rep 1,Region East,Suite,18.88,false,54,false
2024-03-02,referral,retail,medium,22837.64,Rep 2,Region South,Standalone,12.6,true,46,true
2024-08-03,organic,finance,large,68683.53,Rep 3,Region East,Platform,0.0,false,73,true
2025-09-13,webinar,finance,large,52076.51,Rep 5,Region East,Standalone,14.13,true,52,false
2025-08-14,cold_call,retail,large,57333.34,Rep 7,Region East,Platform,8.35,false,70,true
2025-12-06,organic,finance,medium,19709.43,Rep 3,Region East,Standalone,16.74,false,75,true
2025-03-18,paid,manufacturing,enterprise,128818.63,Rep 2,Region South,Platform,5.82,false,46,true
2025-04-10,referral,tech,small,7913.93,Rep 6,Region Central,Platform,14.65,true,55,true
2025-07-13,referral,healthcare,small,7779.96,Rep 5,Region Central,Platform,18.91,true,71,true
2025-07-25,referral,manufacturing,medium,22415.89,Rep 3,Region South,Standalone,20.59,false,73,true
2024-06-09,cold_call,tech,large,54890.45,Rep 7,Region Central,Standalone,7.38,false,44,true
2025-08-12,referral,healthcare,medium,17138.63,Rep 2,Region West,Suite,22.21,false,66,true
2025-02-22,cold_call,finance,enterprise,131455.78,Rep 3,Region East,Standalone,9.66,false,28,false
2024-08-31,cold_call,finance,small,7113.02,Rep 4,Region East,Platform,0.0,false,55,false
2024-04-22,referral,tech,medium,22514.85,Rep 7,Region West,Standalone,14.75,false,58,false
2024-09-09,referral,finance,small,9146.63,Rep 8,Region East,Platform,11.77,true,35,false
2024-01-03,webinar,manufacturing,medium,26704.88,Rep 5,Region South,Suite,7.12,true,58,true
2024-08-24,referral,finance,medium,26376.57,Rep 5,Region East,Standalone,22.87,false,83,true
2024-01-16,referral,retail,enterprise,156631.66,Rep 2,Region West,Platform,17.27,false,73,true
2024-02-26,organic,finance,enterprise,122982.37,Rep 2,Region East,Platform,10.03,false,98,true
2025-09-06,referral,retail,medium,26700.02,Rep 4,Region South,Platform,23.29,false,40,true
2024-09-12,organic,healthcare,small,8089.48,Rep 2,Region South,Platform,12.42,false,83,true
2024-07-23,paid,retail,medium,25207.51,Rep 2,Region Central,Standalone,21.31,true,55,false
2025-02-17,cold_call,manufacturing,large,63890.57,Rep 4,Region West,Platform,3.93,true,64,true
2025-08-06,paid,manufacturing,enterprise,143700.53,Rep 2,Region East,Suite,0.0,false,56,true
2025-01-16,referral,retail,medium,20546.84,Rep 6,Region Central,Suite,25.07,false,64,false
2025-11-30,organic,manufacturing,enterprise,141866.67,Rep 7,Region South,Platform,13.18,false,81,true
2025-07-13,referral,tech,small,7366.23,Rep 4,Region East,Platform,18.85,false,74,true
2024-09-13,cold_call,tech,medium,26464.93,Rep 5,Region Central,Standalone,5.74,true,53,true
2025-12-09,cold_call,retail,small,9545.7,Rep 7,Region West,Platform,8.63,true,94,true
2024-03-24,cold_call,finance,small,7162.79,Rep 1,Region East,Platform,7.94,false,54,false
2025-06-20,cold_call,manufacturing,medium,17257.34,Rep 4,Region Central,Suite,10.69,false,44,true
2024-07-31,referral,healthcare,small,7182.35,Rep 6,Region West,Platform,28.08,false,60,true
2025-03-28,webinar,manufacturing,large,68691.6,Rep 1,Region East,Standalone,2.59,false,97,true
2025-11-11,referral,manufacturing,large,57720.17,Rep 2,Region South,Suite,1.8,true,74,true
2024-08-10,webinar,tech,enterprise,160885.52,Rep 1,Region Central,Platform,26.07,true,78,true
2024-10-26,organic,retail,medium,23215.07,Rep 6,Region Central,Platform,7.65,false,40,false
2025-03-08,webinar,tech,medium,24726.05,Rep 6,Region East,Standalone,5.28,true,49,false
2024-06-23,organic,retail,medium,27647.11,Rep 6,Region West,Standalone,5.28,false,55,false
2025-04-28,referral,finance,small,7295.01,Rep 4,Region East,Platform,22.86,false,59,false
2025-11-24,organic,retail,small,8682.22,Rep 7,Region East,Platform,2.04,true,61,false
2025-04-13,cold_call,finance,large,58950.31,Rep 5,Region East,Platform,25.86,true,56,false
2025-08-10,referral,finance,small,10132.71,Rep 5,Region East,Platform,30.45,false,86,true
2025-08-04,paid,tech,medium,20047.51,Rep 8,Region West,Platform,9.42,true,51,false
2024-03-23,cold_call,finance,large,55612.42,Rep 4,Region East,Platform,3.76,false,42,true
2024-12-23,referral,retail,small,7898.92,Rep 5,Region East,Platform,15.79,false,85,true
2024-03-11,referral,manufacturing,medium,24783.2,Rep 5,Region South,Standalone,18.12,false,56,false
2024-09-26,cold_call,manufacturing,large,56330.09,Rep 2,Region East,Platform,10.94,false,42,false
2025-04-18,webinar,retail,small,7644.48,Rep 3,Region Central,Platform,13.92,true,48,false
2024-10-02,paid,manufacturing,small,7879.54,Rep 5,Region East,Platform,19.56,true,98,true
2025-02-08,referral,healthcare,large,45516.09,Rep 2,Region Central,Suite,20.23,false,90,true
2024-11-03,cold_call,finance,small,9246.1,Rep 2,Region East,Platform,16.56,false,68,true
2024-04-24,cold_call,manufacturing,small,5130.64,Rep 4,Region South,Platform,9.75,false,74,true
2024-09-24,referral,manufacturing,large,60883.84,Rep 2,Region South,Platform,20.93,false,39,false
2025-06-26,referral,retail,large,61291.64,Rep 5,Region East,Suite,21.74,true,49,false
2025-06-21,referral,retail,large,73077.14,Rep 6,Region East,Platform,18.67,true,55,false
2024-12-30,cold_call,finance,small,10690.87,Rep 5,Region East,Platform,7.73,true,39,false
2025-09-29,paid,tech,small,10333.65,Rep 7,Region South,Standalone,14.08,true,91,true
2025-01-30,paid,tech,large,56904.65,Rep 6,Region South,Platform,2.94,true,65,true
2025-05-18,organic,retail,medium,24167.4,Rep 7,Region East,Suite,14.21,false,36,false
2025-10-26,webinar,manufacturing,large,44134.73,Rep 7,Region West,Standalone,8.68,false,45,false
2024-05-15,cold_call,retail,medium,25771.11,Rep 2,Region West,Suite,9.32,false,80,true
2024-03-08,referral,finance,small,10057.93,Rep 3,Region East,Platform,25.01,false,59,false
2025-08-15,referral,retail,small,3846.48,Rep 7,Region Central,Platform,28.29,false,56,false
2024-10-28,paid,manufacturing,small,10897.93,Rep 5,Region West,Platform,22.05,true,70,true
2025-12-29,referral,finance,enterprise,127060.27,Rep 2,Region South,Suite,14.62,true,60,false
2025-09-23,referral,manufacturing,medium,27637.8,Rep 4,Region South,Platform,20.18,true,45,true
2025-12-24,webinar,finance,large,50095.39,Rep 8,Region East,Standalone,12.42,true,59,true
2024-12-03,referral,manufacturing,large,66907.49,Rep 7,Region South,Standalone,7.87,true,95,true
2024-08-29,organic,retail,small,8608.28,Rep 5,Region East,Platform,19.77,false,36,false
2024-01-24,organic,tech,large,53574.33,Rep 3,Region East,Standalone,8.5,false,69,true
2024-07-17,referral,healthcare,medium,22252.95,Rep 6,Region Central,Suite,12.24,false,79,true
2024-01-17,paid,finance,medium,23136.19,Rep 3,Region East,Suite,9.19,true,40,true
2024-02-27,webinar,manufacturing,medium,25973.34,Rep 5,Region Central,Suite,0.0,false,68,true
2024-10-18,paid,retail,medium,23407.16,Rep 1,Region Central,Standalone,5.34,false,75,true
2024-05-01,webinar,tech,small,6235.33,Rep 8,Region East,Platform,14.55,false,81,true
2025-12-09,webinar,retail,small,8236.2,Rep 2,Region West,Platform,23.2,true,54,false
2024-11-05,webinar,finance,medium,23763.67,Rep 1,Region East,Platform,9.39,true,96,true
2024-07-14,referral,healthcare,small,6468.06,Rep 7,Region South,Platform,24.2,true,89,true
2025-12-25,paid,tech,large,62945.28,Rep 2,Region East,Platform,7.41,true,79,true
2024-05-29,organic,healthcare,medium,26453.82,Rep 7,Region Central,Platform,12.12,false,54,false
2024-06-18,webinar,healthcare,large,75230.7,Rep 3,Region East,Standalone,4.89,false,61,true
2025-03-04,organic,tech,large,78590.19,Rep 7,Region East,Standalone,8.63,false,78,true
2024-06-14,webinar,tech,medium,19554.62,Rep 3,Region South,Platform,6.34,false,46,true
2025-09-11,referral,finance,large,67181.98,Rep 6,Region East,Platform,20.44,true,44,false
2024-01-15,organic,healthcare,medium,24688.8,Rep 7,Region West,Platform,10.99,false,70,true
2024-01-17,referral,retail,large,53964.12,Rep 5,Region Central,Standalone,22.16,false,95,true
2024-08-09,webinar,manufacturing,enterprise,134714.27,Rep 7,Region West,Platform,26.49,false,72,true
2024-04-08,webinar,finance,medium,31184.03,Rep 2,Region East,Standalone,11.76,true,48,true
2024-01-25,cold_call,manufacturing,small,8472.65,Rep 4,Region West,Platform,13.09,false,69,true
2025-01-28,webinar,healthcare,medium,29058.1,Rep 7,Region South,Suite,9.29,true,40,false
2024-03-31,organic,finance,large,57715.49,Rep 3,Region East,Platform,14.6,false,97,true
2024-06-26,webinar,manufacturing,large,71767.0,Rep 1,Region West,Suite,7.31,false,57,false
2024-11-07,referral,healthcare,medium,27744.77,Rep 3,Region South,Platform,23.29,true,49,false
2024-01-12,cold_call,finance,medium,20317.38,Rep 5,Region East,Suite,13.19,false,79,true
2024-09-25,organic,tech,large,46054.21,Rep 4,Region South,Standalone,13.87,true,45,true
2024-02-10,referral,tech,enterprise,181303.41,Rep 2,Region East,Suite,25.0,false,50,true
2024-03-07,organic,finance,medium,29452.62,Rep 2,Region East,Standalone,9.09,true,44,false
2025-12-10,webinar,finance,enterprise,160821.6,Rep 2,Region East,Platform,6.36,true,80,true
2025-01-31,paid,tech,small,6435.68,Rep 6,Region West,Platform,10.95,true,32,false
2024-03-20,cold_call,retail,medium,32584.01,Rep 2,Region South,Platform,11.54,false,43,false
2024-08-24,webinar,tech,medium,27125.35,Rep 3,Region East,Standalone,9.91,false,69,true
2024-06-04,webinar,finance,enterprise,169399.48,Rep 2,Region East,Suite,5.48,false,39,false
2025-05-10,cold_call,tech,enterprise,136892.17,Rep 2,Region East,Platform,13.2,false,88,true
2024-10-05,organic,retail,medium,22929.62,Rep 8,Region Central,Standalone,4.19,true,60,true
2024-11-10,webinar,tech,small,6416.05,Rep 8,Region South,Platform,12.6,false,55,false
2024-04-05,webinar,retail,enterprise,145243.49,Rep 5,Region West,Suite,2.95,false,60,true
2024-02-11,webinar,tech,small,10120.18,Rep 2,Region Central,Platform,8.65,false,40,false
2024-05-01,cold_call,tech,enterprise,139189.83,Rep 8,Region Central,Suite,11.05,false,52,true
2025-01-31,cold_call,retail,medium,21710.87,Rep 3,Region South,Suite,4.07,false,37,false
2024-04-04,referral,healthcare,small,6839.82,Rep 1,Region East,Platform,21.03,false,82,true
2024-08-23,cold_call,retail,medium,33755.45,Rep 5,Region Central,Standalone,0.0,false,43,false
2024-03-06,paid,finance,small,7123.48,Rep 6,Region East,Platform,13.92,true,60,false
2024-01-22,webinar,manufacturing,small,7842.92,Rep 5,Region West,Platform,9.0,false,60,false
2025-05-20,referral,tech,large,41670.54,Rep 8,Region West,Platform,3.69,false,28,false
2025-12-22,cold_call,retail,enterprise,116676.37,Rep 2,Region West,Standalone,3.84,false,27,false
2025-08-21,cold_call,finance,large,50652.13,Rep 6,Region West,Standalone,0.0,true,91,true
2025-11-29,referral,finance,large,56831.21,Rep 3,Region East,Platform,1.81,false,56,false
2025-07-19,referral,manufacturing,medium,28997.16,Rep 1,Region Central,Standalone,18.31,false,67,true
2025-03-26,referral,healthcare,enterprise,175130.46,Rep 2,Region West,Standalone,1.91,false,68,true
2024-10-14,referral,manufacturing,small,9002.87,Rep 2,Region South,Platform,15.31,true,30,false
2025-11-30,referral,finance,medium,14201.14,Rep 8,Region West,Suite,23.5,true,95,true
2024-02-22,referral,finance,enterprise,152642.09,Rep 2,Region East,Suite,9.22,false,54,false
2024-04-02,referral,tech,medium,27071.2,Rep 4,Region West,Platform,16.42,true,55,true
2025-05-06,paid,retail,enterprise,122786.15,Rep 1,Region East,Suite,3.36,true,50,false
2025-09-30,referral,manufacturing,medium,23321.65,Rep 3,Region East,Platform,15.01,false,91,true
2025-03-23,referral,tech,large,53200.6,Rep 5,Region Central,Suite,24.08,false,51,false
2024-12-12,referral,retail,small,8884.91,Rep 1,Region Central,Platform,22.51,false,74,true
2025-05-22,cold_call,tech,enterprise,137122.53,Rep 2,Region West,Platform,6.38,false,50,true
2025-08-27,referral,finance,medium,28576.33,Rep 7,Region East,Standalone,9.9,false,63,false
2025-06-19,webinar,healthcare,large,60525.54,Rep 3,Region Central,Platform,4.91,false,40,true
2024-01-10,referral,manufacturing,large,58066.55,Rep 5,Region West,Platform,22.74,true,79,true
2024-07-17,webinar,finance,medium,31729.77,Rep 2,Region East,Platform,14.43,false,52,true
2024-05-07,referral,manufacturing,small,9563.78,Rep 4,Region Central,Platform,13.05,false,37,false
2025-01-01,referral,retail,small,9288.08,Rep 2,Region West,Platform,19.14,true,70,true
2024-12-13,webinar,retail,small,10277.8,Rep 4,Region Central,Platform,0.0,false,37,true
2024-08-03,paid,healthcare,large,59186.67,Rep 5,Region Central,Platform,5.11,true,57,true
2024-09-03,webinar,tech,enterprise,151338.96,Rep 2,Region South,Suite,29.19,false,91,true
2025-07-27,organic,tech,large,64105.16,Rep 3,Region West,Standalone,0.0,true,70,true
2024-09-12,paid,finance,small,7024.24,Rep 1,Region East,Platform,10.14,true,77,true
2024-06-07,referral,tech,large,41924.09,Rep 3,Region South,Suite,16.88,false,57,false
2025-08-16,webinar,retail,small,6579.96,Rep 2,Region Central,Platform,14.02,true,43,false
2025-04-27,paid,healthcare,small,7545.73,Rep 7,Region South,Platform,0.0,false,85,true
2025-06-25,organic,manufacturing,small,9355.93,Rep 1,Region Central,Platform,23.68,true,100,true
2024-12-03,referral,healthcare,large,71911.22,Rep 8,Region South,Suite,10.23,false,79,true
2025-09-02,organic,tech,large,50311.17,Rep 3,Region Central,Platform,8.77,false,50,true
2025-01-12,cold_call,manufacturing,medium,20229.37,Rep 6,Region Central,Suite,5.61,true,46,false
2024-12-31,webinar,retail,medium,32973.17,Rep 6,Region South,Suite,5.29,false,60,true
2024-05-18,organic,tech,medium,26362.09,Rep 5,Region Central,Standalone,6.27,true,57,false
2024-11-26,paid,finance,small,9105.39,Rep 7,Region East,Platform,16.62,false,59,false
2024-11-24,cold_call,finance,medium,32650.29,Rep 7,Region East,Platform,8.64,true,60,false
2025-01-02,webinar,tech,small,9180.68,Rep 3,Region East,Platform,10.67,true,70,true
2024-09-14,referral,tech,large,60519.83,Rep 3,Region East,Platform,15.61,true,95,true
2025-07-24,referral,finance,large,41386.56,Rep 2,Region East,Platform,2.1,false,100,true
2025-04-28,organic,tech,enterprise,140565.38,Rep 2,Region South,Platform,14.56,true,55,false
2025-07-04,referral,manufacturing,large,52283.97,Rep 8,Region Central,Platform,16.03,false,33,false
2025-11-22,cold_call,tech,small,9103.22,Rep 8,Region Central,Platform,10.21,false,36,false
2024-02-11,referral,retail,enterprise,125748.77,Rep 2,Region West,Platform,12.83,false,81,false
2024-10-03,referral,manufacturing,small,6117.65,Rep 8,Region East,Platform,3.36,false,58,false
2024-10-21,webinar,finance,small,8835.01,Rep 7,Region East,Platform,15.34,true,58,false
2025-08-22,referral,manufacturing,enterprise,124514.18,Rep 6,Region Central,Suite,19.6,false,71,true
2025-08-24,organic,finance,large,72746.7,Rep 1,Region East,Platform,12.92,true,43,false
2024-01-01,referral,healthcare,small,12766.87,Rep 2,Region West,Platform,18.39,false,32,false
2025-07-06,paid,retail,medium,22487.68,Rep 4,Region West,Standalone,17.83,false,40,true
2024-06-28,webinar,healthcare,medium,17705.49,Rep 6,Region East,Suite,11.37,false,44,true
2025-07-26,organic,tech,small,7486.32,Rep 5,Region West,Platform,9.0,false,17,false
2024-07-03,cold_call,manufacturing,medium,26825.83,Rep 6,Region West,Suite,27.42,false,36,true
2025-01-25,cold_call,healthcare,medium,18369.9,Rep 8,Region South,Suite,12.86,false,87,true
2025-05-28,referral,manufacturing,small,6088.33,Rep 5,Region Central,Platform,19.94,false,86,true
2024-07-13,cold_call,tech,enterprise,158373.94,Rep 2,Region South,Suite,6.39,false,46,false
2025-03-29,referral,healthcare,small,6661.22,Rep 1,Region Central,Platform,27.34,false,65,true
2025-09-04,webinar,manufacturing,large,59597.2,Rep 4,Region South,Standalone,11.88,true,60,true
2025-03-03,referral,finance,large,65578.74,Rep 5,Region East,Standalone,7.06,false,96,true
2025-10-12,webinar,finance,enterprise,148693.11,Rep 2,Region East,Standalone,10.98,false,94,true
2025-07-12,cold_call,tech,small,4396.24,Rep 8,Region East,Platform,4.55,false,91,true
2024-07-24,referral,healthcare,large,54128.28,Rep 1,Region Central,Standalone,10.66,false,66,true
2024-10-23,organic,manufacturing,medium,23810.28,Rep 2,Region East,Platform,14.14,false,92,true
2024-02-27,paid,finance,medium,23517.82,Rep 2,Region East,Standalone,12.1,true,70,true
2024-02-05,referral,healthcare,small,7323.85,Rep 5,Region Central,Platform,24.31,false,63,false
2024-06-01,referral,tech,medium,21467.63,Rep 7,Region Central,Suite,14.73,true,68,true
2025-02-08,organic,manufacturing,small,6067.14,Rep 7,Region East,Platform,12.99,false,66,true
2025-06-05,referral,healthcare,small,7547.16,Rep 1,Region East,Platform,19.64,true,30,true
2025-04-20,cold_call,finance,enterprise,180315.07,Rep 2,Region East,Suite,0.0,false,96,true
2024-01-06,referral,tech,medium,25496.25,Rep 5,Region South,Suite,21.67,true,72,true
2024-01-20,referral,healthcare,small,7229.88,Rep 1,Region West,Platform,20.11,true,49,true
2024-10-22,paid,manufacturing,medium,28497.57,Rep 3,Region East,Platform,5.82,false,52,false
2024-03-08,cold_call,finance,enterprise,151208.5,Rep 8,Region East,Standalone,13.8,true,77,true
2024-12-27,referral,finance,medium,26806.45,Rep 7,Region East,Platform,20.53,true,40,false
2025-11-09,referral,tech,medium,34036.29,Rep 6,Region East,Platform,9.11,false,80,true
2025-07-02,webinar,finance,small,8377.49,Rep 3,Region East,Platform,20.33,false,39,false
2025-11-29,paid,retail,small,7995.2,Rep 3,Region East,Platform,2.8,true,48,false
2025-10-01,paid,finance,large,50655.67,Rep 7,Region East,Platform,23.89,false,51,false
2024-01-30,referral,tech,enterprise,172264.43,Rep 2,Region West,Standalone,19.38,true,72,true
2025-05-31,referral,retail,small,9264.33,Rep 1,Region South,Platform,16.45,false,94,true
2024-02-17,cold_call,manufacturing,medium,32496.52,Rep 5,Region Central,Standalone,16.54,true,21,false
2024-02-16,organic,manufacturing,medium,28477.19,Rep 5,Region South,Suite,11.04,false,29,true
2024-11-19,organic,healthcare,large,60041.61,Rep 1,Region East,Platform,0.0,false,63,false
2024-09-01,referral,tech,large,60856.2,Rep 7,Region Central,Platform,24.87,true,86,true
2025-04-12,webinar,finance,medium,26229.76,Rep 3,Region East,Standalone,12.6,true,61,false
2024-03-13,webinar,retail,medium,29518.69,Rep 7,Region Central,Suite,9.57,false,72,true
2025-05-10,referral,tech,medium,22340.37,Rep 6,Region West,Standalone,22.39,false,31,false
2024-03-23,paid,tech,small,10061.78,Rep 1,Region West,Platform,0.0,false,67,true
2025-08-06,referral,tech,medium,28665.41,Rep 6,Region East,Suite,0.0,false,69,true
2025-05-25,webinar,manufacturing,large,65076.17,Rep 3,Region East,Suite,10.3,true,71,true
2025-05-15,webinar,manufacturing,medium,30174.83,Rep 1,Region Central,Platform,15.37,false,56,false
2025-09-09,referral,retail,small,8195.68,Rep 5,Region Central,Platform,17.15,false,32,false
2025-01-08,webinar,finance,medium,26285.32,Rep 3,Region East,Standalone,14.6,false,49,false
2024-01-29,cold_call,retail,medium,23868.95,Rep 3,Region East,Suite,12.53,false,45,false
2024-02-06,organic,tech,small,8818.1,Rep 2,Region Central,Platform,6.92,true,62,true
2024-01-21,referral,tech,medium,30862.46,Rep 5,Region South,Platform,21.23,false,60,false
2025-10-24,cold_call,retail,small,10058.12,Rep 1,Region East,Platform,11.39,false,78,true
2025-08-16,webinar,tech,medium,32203.16,Rep 1,Region Central,Suite,16.09,false,75,true
2024-02-10,cold_call,retail,small,11017.38,Rep 4,Region East,Platform,12.28,false,34,false
2024-09-27,referral,tech,small,8186.14,Rep 3,Region Central,Suite,24.52,false,56,true
2025-04-13,referral,retail,large,53977.56,Rep 4,Region West,Suite,5.35,true,99,true
2025-01-22,referral,healthcare,small,6281.7,Rep 4,Region East,Platform,21.71,true,61,true
2025-06-30,webinar,retail,small,3934.52,Rep 6,Region South,Platform,4.72,true,75,true
2024-12-16,paid,retail,medium,21285.02,Rep 1,Region South,Standalone,6.18,true,70,true
2025-05-03,paid,tech,small,10440.56,Rep 1,Region South,Platform,6.43,true,71,true
2025-08-10,paid,tech,large,71197.5,Rep 2,Region South,Platform,9.22,false,70,true
2025-05-06,referral,finance,medium,21318.43,Rep 8,Region East,Suite,26.0,true,50,false
2024-11-23,referral,finance,medium,22090.24,Rep 6,Region East,Platform,22.38,false,42,true
2024-03-26,referral,tech,small,7901.51,Rep 7,Region Central,Platform,23.64,true,75,true
2024-01-22,paid,tech,small,6380.94,Rep 2,Region East,Platform,6.95,false,40,true
