returned,return_amount_usd,refund_processing_cost_usd,restocking_cost_usd,gross_margin_usd,net_contribution_usd,repeat_purchase_90d
false,0.0,0.0,6.92,4.84,-2.3,true
false,0.0,0.0,0.0,192.91,184.01,false
false,0.0,0.0,13.33,9.15,-4.64,false
false,0.0,0.0,14.55,140.14,119.12,true
false,0.0,0.0,12.12,338.28,306.36,false
false,0.0,0.0,0.0,38.49,36.09,false
false,0.0,0.0,28.05,23.54,-6.33,false
false,0.0,0.0,8.93,114.88,98.24,true
false,0.0,0.0,26.46,19.93,-7.81,true
false,0.0,0.0,14.97,0.55,-14.79,false
false,0.0,0.0,15.59,19.59,2.83,false
true,78.06,0.0,0.37,-41.58,-43.65,
false,0.0,0.0,11.54,17.12,3.53,true
false,0.0,0.0,18.38,40.08,16.03,false
false,0.0,0.0,3.04,37.3,32.67,true
true,48.56,0.0,7.72,-34.23,-43.14,false
false,0.0,0.0,12.21,12.79,-0.12,false
false,0.0,0.0,12.88,29.53,14.75,false
false,0.0,0.0,1.29,1.43,-1.16,false
false,0.0,0.0,8.83,21.93,10.7,
false,0.0,0.0,9.73,18.0,6.96,false
false,0.0,0.0,24.19,21.72,-13.04,true
false,0.0,0.0,3.47,5.25,1.48,true
false,0.0,0.0,34.12,15.82,-19.88,
false,0.0,0.0,15.75,24.03,6.33,false
false,0.0,0.0,17.69,111.01,86.93,false
false,0.0,0.0,11.49,15.91,3.54,false
false,0.0,0.0,13.52,7.2,-6.84,true
false,0.0,0.0,23.81,25.14,-0.36,true
false,0.0,0.0,2.36,6.99,3.98,true
false,0.0,0.0,8.71,72.82,58.43,true
false,0.0,0.0,5.83,2.66,-6.34,true
false,0.0,0.0,1.69,37.55,33.73,true
false,0.0,0.0,23.68,50.69,22.9,false
false,0.0,0.0,9.57,25.0,14.17,false
false,0.0,0.0,1.35,31.88,28.07,false
false,0.0,0.0,1.02,6.66,5.23,false
false,0.0,0.0,7.21,57.45,45.63,true
false,0.0,0.0,3.67,-0.15,-4.4,false
false,0.0,0.0,0.01,16.49,15.68,true
false,0.0,0.0,0.0,14.56,10.26,false
false,0.0,0.0,5.66,8.05,1.77,false
false,0.0,0.0,4.75,58.55,47.95,false
false,0.0,0.0,8.73,309.56,285.79,true
false,0.0,0.0,19.44,5.4,-14.39,true
false,0.0,0.0,14.59,3.54,-11.76,true
false,0.0,0.0,7.88,48.81,37.7,true
false,0.0,0.0,0.0,14.5,5.72,false
false,0.0,0.0,9.55,14.05,3.62,false
false,0.0,0.0,0.0,43.77,40.4,
false,0.0,0.0,10.91,0.09,-11.02,false
false,0.0,0.0,0.58,36.85,33.46,true
false,0.0,0.0,0.43,31.21,28.52,true
false,0.0,0.0,6.28,17.18,7.86,false
false,0.0,0.0,3.87,20.61,15.41,true
false,0.0,0.0,0.0,24.7,23.66,true
false,0.0,0.0,3.66,66.93,59.69,true
false,0.0,0.0,6.56,17.33,9.91,false
true,46.61,0.0,8.47,-29.86,-40.48,true
false,0.0,0.0,4.25,138.96,126.68,false
false,0.0,0.0,5.99,55.25,46.79,false
false,0.0,0.0,1.28,90.87,85.71,false
false,0.0,0.0,2.08,18.01,15.01,true
false,0.0,0.0,0.0,7.37,2.78,false
false,0.0,0.0,0.44,2.12,1.3,false
false,0.0,0.0,8.3,29.24,19.23,true
false,0.0,0.0,8.95,31.59,20.48,true
false,0.0,0.0,9.82,13.8,2.76,true
false,0.0,0.0,7.05,10.62,0.41,true
false,0.0,0.0,7.34,8.53,0.41,false
false,0.0,15.54,6.87,9.94,-13.56,true
false,0.0,0.0,4.69,-31.23,-42.23,false
false,0.0,0.0,51.67,139.51,78.98,true
false,0.0,0.0,11.07,161.01,142.32,false
false,0.0,0.0,0.0,5.54,5.04,false
false,0.0,0.0,0.0,11.03,10.53,true
false,0.0,0.0,20.29,49.8,23.88,false
false,0.0,0.0,0.0,9.34,7.57,false
false,0.0,0.0,24.88,30.09,3.82,true
false,0.0,0.0,16.31,55.38,34.95,false
false,0.0,0.0,10.2,24.55,11.07,false
false,0.0,0.0,22.01,2.27,-20.57,true
false,0.0,0.0,0.0,42.92,40.19,false
false,0.0,0.0,8.74,3.96,-5.99,false
false,0.0,0.0,0.0,21.06,19.47,false
false,0.0,0.0,0.0,58.3,55.64,false
false,0.0,0.0,0.0,27.6,26.24,false
false,0.0,0.0,12.63,90.8,73.21,
false,0.0,0.0,35.43,34.09,-3.24,true
false,0.0,0.0,11.97,88.32,72.19,true
false,0.0,0.0,16.44,11.86,-5.13,false
false,0.0,0.0,0.0,127.82,114.98,false
false,0.0,0.0,13.11,68.32,51.87,false
false,0.0,0.0,5.66,12.56,6.22,false
false,0.0,0.0,8.6,69.12,57.07,true
false,0.0,0.0,11.62,53.65,39.35,true
false,0.0,0.0,9.51,44.94,33.19,false
false,0.0,0.0,8.12,15.17,4.62,true
false,0.0,0.0,13.46,30.59,15.28,true
false,0.0,0.0,0.0,136.23,129.85,false
false,0.0,0.0,32.06,24.89,-8.75,true
false,0.0,0.0,24.84,20.67,-5.75,
false,0.0,0.0,10.0,25.41,13.24,false
true,31.86,0.0,0.0,-30.54,-31.56,false
true,88.39,0.0,4.38,-50.99,-57.39,
false,0.0,0.0,21.28,34.59,11.03,false
false,0.0,0.0,1.55,137.68,128.45,true
false,0.0,0.0,10.53,62.67,48.74,true
false,0.0,0.0,0.0,22.89,19.6,false
false,0.0,0.0,15.51,47.39,28.64,true
false,0.0,0.0,0.0,10.26,9.65,true
false,0.0,0.0,13.35,51.59,35.93,true
false,0.0,0.0,9.52,59.32,44.37,false
false,0.0,0.0,14.49,11.47,-3.78,true
false,0.0,0.0,11.94,139.75,121.53,true
false,0.0,0.0,0.0,36.5,34.73,false
false,0.0,0.0,23.35,18.25,-5.98,true
false,0.0,0.0,0.0,4.09,3.73,true
false,0.0,0.0,0.0,57.51,51.58,true
false,0.0,0.0,7.93,39.69,28.81,true
false,0.0,0.0,0.0,23.78,22.4,false
false,0.0,0.0,12.94,163.96,140.94,false
false,0.0,0.0,0.0,47.51,44.58,false
false,0.0,0.0,0.0,44.51,41.64,true
false,0.0,0.0,24.95,21.46,-5.39,true
false,0.0,0.0,2.51,66.5,60.27,false
false,0.0,0.0,0.0,49.03,46.8,true
false,0.0,0.0,0.0,32.19,29.91,
false,0.0,0.0,9.08,154.79,138.97,false
false,0.0,0.0,2.8,-11.37,-18.78,false
false,0.0,0.0,16.88,15.38,-2.52,false
false,0.0,0.0,0.0,37.6,35.95,false
false,0.0,0.0,17.72,39.42,19.08,false
false,0.0,0.0,0.0,67.93,62.95,false
false,0.0,0.0,8.78,0.56,-8.99,false
false,0.0,0.0,0.0,98.78,86.86,true
false,0.0,0.0,7.09,14.37,5.15,true
true,327.35,0.0,7.53,-190.56,-204.15,
false,0.0,0.0,15.57,61.86,43.46,false
false,0.0,6.71,4.03,330.64,296.73,true
false,0.0,0.0,0.0,30.93,28.92,false
false,0.0,0.0,11.73,0.96,-11.26,true
false,0.0,0.0,9.92,47.21,32.0,false
false,0.0,0.0,3.27,8.05,2.43,false
true,49.47,0.0,10.08,-32.02,-43.38,false
false,0.0,0.0,2.84,27.99,23.66,false
false,0.0,0.0,0.0,2.73,1.28,true
true,26.99,0.0,5.53,-28.63,-35.03,true
true,39.46,0.0,0.0,-20.04,-21.43,
false,0.0,0.0,11.85,5.56,-6.54,false
true,106.3,0.0,11.34,-65.93,-79.95,true
false,0.0,0.0,17.14,19.87,1.73,false
false,0.0,0.0,8.87,3.67,-5.54,false
false,0.0,0.0,16.44,25.83,7.86,true
false,0.0,0.0,0.0,27.79,26.56,false
false,0.0,11.62,8.72,57.13,33.18,true
false,0.0,0.0,16.92,6.65,-10.61,false
false,0.0,0.0,0.0,51.51,47.02,true
false,0.0,0.0,5.29,21.56,14.45,true
false,0.0,0.0,11.94,27.71,13.43,false
false,0.0,0.0,49.52,157.04,100.51,false
false,0.0,0.0,17.68,97.31,74.09,true
false,0.0,0.0,0.0,10.26,8.31,false
false,0.0,0.0,3.22,52.64,43.18,false
false,0.0,0.0,8.0,-2.33,-11.4,false
false,0.0,0.0,0.04,0.91,0.43,false
false,0.0,0.0,6.37,0.75,-9.66,false
false,0.0,0.0,44.29,29.88,-18.38,false
true,438.45,0.0,0.0,-298.75,-309.94,false
false,0.0,0.0,35.57,40.08,2.32,true
true,61.32,0.0,3.07,-64.49,-69.52,
false,0.0,0.0,15.58,49.73,30.5,false
false,0.0,0.0,1.42,5.65,3.84,false
false,0.0,0.0,21.97,40.24,15.54,false
false,0.0,0.0,10.53,30.07,18.25,true
false,0.0,0.0,3.31,54.71,48.52,true
true,65.58,0.0,9.47,-33.28,-44.5,false
true,51.86,0.0,0.0,-35.81,-36.91,
false,0.0,0.0,2.34,71.34,64.92,false
false,0.0,0.0,13.3,2.21,-13.25,false
false,0.0,0.0,9.59,7.23,-6.11,
false,0.0,0.0,13.14,40.09,18.68,false
true,249.29,0.0,4.06,-179.6,-189.59,true
false,0.0,0.0,0.0,68.75,65.53,true
false,0.0,0.0,3.05,36.08,30.91,false
false,0.0,0.0,8.93,17.91,7.66,false
false,0.0,0.0,8.78,31.6,21.1,true
false,0.0,0.0,0.0,75.74,68.71,false
false,0.0,0.0,0.32,57.24,54.11,false
false,0.0,0.0,0.0,77.81,74.37,true
false,0.0,0.0,13.27,7.67,-7.63,true
false,0.0,0.0,0.88,4.17,0.79,false
false,0.0,0.0,13.84,8.46,-6.79,false
false,0.0,0.0,10.93,42.43,29.77,true
false,0.0,0.0,17.99,13.62,-6.13,false
false,0.0,0.0,5.89,110.93,97.14,false
false,0.0,0.0,0.0,40.95,39.06,false
false,0.0,0.0,16.01,270.28,233.13,false
false,0.0,0.0,0.0,22.74,20.48,true
false,0.0,0.0,1.97,260.03,245.88,false
false,0.0,0.0,0.0,24.67,23.14,false
false,0.0,0.0,0.0,3.68,3.33,false
true,514.34,0.0,18.66,-311.51,-347.12,true
false,0.0,0.0,0.0,275.67,260.75,false
false,0.0,0.0,0.0,66.44,61.08,true
false,0.0,0.0,17.36,27.49,8.53,true
false,0.0,0.0,0.48,18.78,16.38,false
false,0.0,0.0,6.7,38.64,26.81,
false,0.0,0.0,0.0,42.18,39.81,false
false,0.0,0.0,0.0,1.77,-3.31,true
false,0.0,0.0,0.0,11.51,10.8,false
false,0.0,0.0,0.0,23.46,20.68,false
false,0.0,0.0,15.68,13.85,-3.06,false
false,0.0,0.0,0.0,-1.41,-2.23,false
false,0.0,0.0,22.85,185.34,146.76,false
false,0.0,0.0,4.48,-2.82,-8.43,false
false,0.0,0.0,7.36,45.6,36.2,false
false,0.0,0.0,6.16,51.91,41.58,false
false,0.0,0.0,2.37,1.48,-3.55,true
false,0.0,0.0,22.31,98.59,72.34,false
false,0.0,0.0,0.0,127.09,119.41,true
false,0.0,0.0,34.56,51.59,14.61,false
false,0.0,0.0,20.74,6.63,-14.58,false
false,0.0,0.0,0.0,28.68,27.38,true
false,0.0,0.0,6.75,32.5,23.62,false
false,0.0,0.0,14.84,18.82,2.81,false
false,0.0,0.0,14.09,19.37,4.14,false
false,0.0,0.0,2.4,28.98,23.93,false
false,0.0,0.0,0.0,28.26,24.55,false
false,0.0,0.0,10.61,33.43,19.49,false
false,0.0,0.0,0.0,42.15,39.71,false
false,0.0,0.0,20.82,32.79,8.94,true
false,0.0,0.0,18.59,9.11,-10.07,false
false,0.0,0.0,7.24,53.67,43.27,false
false,0.0,0.0,0.0,86.59,82.38,false
false,0.0,0.0,5.92,15.84,8.75,false
false,0.0,0.0,10.46,23.78,11.92,false
false,0.0,0.0,5.46,20.92,14.43,false
false,0.0,0.0,11.03,110.12,94.35,true
false,0.0,0.0,1.58,28.62,25.21,false
false,0.0,0.0,6.05,111.8,97.64,false
false,0.0,0.0,0.01,28.23,26.86,false
false,0.0,0.0,0.0,17.07,16.35,false
false,0.0,0.0,16.82,25.44,6.99,false
false,0.0,0.0,0.04,13.42,9.59,true
false,0.0,0.0,18.62,7.64,-11.93,false
false,0.0,0.0,3.37,13.86,9.61,true
false,0.0,0.0,0.0,18.16,17.28,
false,0.0,0.0,30.11,157.93,120.98,
false,0.0,0.0,8.92,26.2,15.11,
false,0.0,0.0,0.0,24.47,22.59,false
false,0.0,0.0,3.13,43.43,37.46,false
false,0.0,0.0,25.11,16.21,-9.91,true
false,0.0,0.0,10.64,-1.48,-26.88,false
false,0.0,0.0,0.0,41.57,39.38,
false,0.0,0.0,1.66,15.47,12.96,false
true,445.19,0.0,9.33,-291.62,-311.63,false
false,0.0,0.0,5.12,28.24,20.95,false
false,0.0,0.0,32.75,35.07,0.47,false
false,0.0,0.0,0.0,8.51,7.95,false
false,0.0,0.0,12.51,12.44,-0.82,
false,0.0,0.0,6.1,101.11,89.64,false
true,393.72,0.0,5.58,-237.69,-251.34,false
false,0.0,0.0,16.99,28.81,10.05,false
false,0.0,0.0,2.83,17.09,12.61,true
false,0.0,0.0,12.51,59.95,41.72,false
false,0.0,0.0,0.0,38.91,34.5,true
false,0.0,0.0,0.0,41.82,39.84,false
false,0.0,0.0,15.99,36.11,16.71,false
false,0.0,0.0,22.45,37.44,12.34,false
false,0.0,0.0,0.0,57.22,53.29,true
false,0.0,0.0,0.0,13.27,10.24,true
false,0.0,0.0,2.98,-1.31,-4.88,true
true,56.44,0.0,9.87,-45.62,-56.87,
true,100.26,0.0,0.0,-43.61,-45.98,
false,0.0,0.0,0.0,161.04,148.2,false
false,0.0,6.63,22.89,6.99,-23.31,false
false,0.0,0.0,7.55,171.11,156.5,false
false,0.0,0.0,16.41,13.0,-4.43,false
false,0.0,0.0,12.65,84.09,63.54,true
false,0.0,0.0,19.8,49.47,23.7,false
false,0.0,0.0,12.77,5.1,-7.95,false
false,0.0,0.0,10.53,59.47,37.93,true
false,0.0,0.0,5.23,29.9,23.18,false
false,0.0,0.0,0.0,19.68,18.57,false
false,0.0,0.0,18.29,27.57,7.95,false
false,0.0,0.0,9.6,-5.78,-16.79,false
false,0.0,0.0,0.0,8.9,7.43,false
false,0.0,0.0,4.33,46.07,39.42,false
false,0.0,0.0,14.83,28.57,12.17,false
false,0.0,0.0,5.32,-4.59,-12.49,false
false,0.0,0.0,10.58,15.78,3.6,
false,0.0,0.0,23.74,17.28,-7.95,false
false,0.0,0.0,22.01,8.39,-14.28,true
false,0.0,0.0,9.53,3.18,-6.75,false
false,0.0,0.0,0.0,18.21,16.55,false
false,0.0,0.0,0.0,49.95,45.38,false
false,0.0,0.0,23.02,21.33,-2.67,true
false,0.0,0.0,4.94,5.92,-0.27,true
true,56.9,0.0,17.12,-26.98,-45.32,
false,0.0,0.0,19.22,30.13,8.65,false
false,0.0,0.0,6.03,5.85,-1.32,false
false,0.0,0.0,7.98,32.29,22.52,false
true,58.33,0.0,4.83,-56.45,-63.14,
false,0.0,0.0,11.26,3.3,-10.04,false
false,0.0,0.0,18.16,19.68,0.32,true
false,0.0,0.0,0.0,59.83,57.21,false
false,0.0,0.0,7.42,14.71,6.02,false
false,0.0,0.0,10.19,32.26,20.5,false
false,0.0,0.0,13.45,8.09,-6.42,true
false,0.0,0.0,3.86,23.01,17.21,true
false,0.0,0.0,10.97,18.66,5.18,true
false,0.0,0.0,22.42,88.32,57.05,true
true,60.47,0.0,9.23,-39.05,-49.92,
false,0.0,0.0,0.0,18.86,17.67,false
false,0.0,0.0,15.13,113.21,93.36,false
true,108.9,0.0,0.0,-67.25,-70.11,false
false,0.0,0.0,3.69,26.4,21.25,false
false,0.0,0.0,29.07,4.77,-26.46,false
false,0.0,0.0,0.0,94.69,89.94,false
false,0.0,0.0,3.5,42.88,35.94,true
false,0.0,0.0,15.52,9.91,-7.12,false
false,0.0,0.0,3.98,-3.03,-7.73,false
false,0.0,0.0,13.98,123.86,104.0,true
false,0.0,0.0,11.37,53.24,39.14,true
false,0.0,0.0,21.42,41.07,13.84,true
false,0.0,0.0,15.36,93.02,73.41,true
false,0.0,0.0,14.26,37.27,20.92,false
false,0.0,0.0,15.0,22.93,6.85,true
false,0.0,0.0,12.06,23.38,7.33,false
false,0.0,0.0,0.0,20.5,19.51,false
false,0.0,0.0,18.08,69.24,46.65,true
false,0.0,0.0,8.3,60.09,46.6,true
false,0.0,0.0,7.63,0.46,-7.38,true
false,0.0,0.0,2.67,50.13,41.77,false
false,0.0,0.0,17.94,1.84,-16.25,false
false,0.0,0.0,0.0,17.77,16.43,false
false,0.0,17.68,28.67,104.55,48.1,false
false,0.0,0.0,4.61,145.82,135.06,false
false,0.0,0.0,10.62,27.42,14.41,false
false,0.0,0.0,0.0,59.92,55.91,false
false,0.0,0.0,0.0,30.25,28.11,false
false,0.0,0.0,6.27,92.53,80.01,false
false,0.0,0.0,78.03,20.23,-64.99,true
false,0.0,0.0,0.0,44.64,36.72,true
true,101.55,0.0,27.38,-71.64,-102.29,
false,0.0,0.0,15.13,16.5,-0.15,false
false,0.0,0.0,0.0,46.7,43.91,false
true,314.26,0.0,3.01,-177.84,-189.49,true
false,0.0,0.0,7.93,21.5,10.78,true
false,0.0,0.0,3.04,39.2,34.14,true
false,0.0,0.0,9.37,13.34,2.93,true
false,0.0,0.0,54.76,-2.45,-59.63,true
false,0.0,0.0,0.34,51.04,48.02,false
false,0.0,0.0,8.6,-15.72,-28.27,false
false,0.0,0.0,17.17,68.28,46.42,true
false,0.0,0.0,21.48,11.66,-10.45,
false,0.0,0.0,5.13,26.29,19.59,
true,22.26,0.0,4.69,-21.12,-26.52,false
false,0.0,0.0,1.09,22.5,20.48,true
false,0.0,0.0,12.6,23.01,0.2,true
true,358.2,0.0,1.41,-197.75,-208.3,false
false,0.0,0.0,0.0,7.42,6.22,
false,0.0,0.0,0.0,166.96,154.96,false
false,0.0,0.0,24.81,3.15,-22.43,true
false,0.0,0.0,7.5,32.49,21.82,true
false,0.0,0.0,0.0,20.73,19.71,false
false,0.0,0.0,3.11,-7.4,-13.94,false
false,0.0,0.0,4.82,17.55,9.58,false
false,0.0,0.0,6.51,29.46,20.83,false
false,0.0,0.0,0.0,50.56,45.73,true
false,0.0,0.0,5.13,28.98,21.36,true
false,0.0,0.0,32.78,29.75,-9.02,false
false,0.0,0.0,11.66,6.76,-6.3,false
false,0.0,0.0,12.67,9.4,-4.13,
false,0.0,0.0,14.03,10.43,-4.33,true
false,0.0,0.0,0.0,5.9,5.18,false
false,0.0,0.0,19.58,25.66,3.91,true
false,0.0,0.0,0.0,1.94,1.21,false
false,0.0,0.0,1.17,61.32,57.22,false
false,0.0,0.0,0.0,19.51,18.36,false
false,0.0,0.0,67.45,22.95,-45.84,true
false,0.0,0.0,0.25,5.85,5.11,false
false,0.0,0.0,18.03,6.75,-11.82,false
false,0.0,0.0,16.9,-2.32,-19.95,false
false,0.0,0.0,70.25,34.46,-40.85,false
false,0.0,0.0,4.34,69.56,58.91,false
false,0.0,0.0,6.02,5.11,-1.15,false
false,0.0,0.0,19.41,24.43,3.68,false
false,0.0,0.0,2.55,52.96,46.8,false
false,0.0,0.0,5.13,10.28,4.61,false
false,0.0,0.0,0.0,60.8,57.48,false
false,0.0,0.0,7.11,3.12,-6.54,false
false,0.0,0.0,8.48,20.89,10.82,false
false,0.0,0.0,7.7,45.85,36.05,false
false,0.0,0.0,1.64,-6.21,-9.66,false
false,0.0,0.0,10.81,16.59,4.3,false
false,0.0,0.0,0.0,-2.75,-3.74,true
false,0.0,0.0,0.0,23.0,21.48,true
false,0.0,0.0,3.61,2.39,-2.81,false
false,0.0,0.0,11.35,7.03,-5.12,true
false,0.0,6.81,0.0,59.12,48.8,true
false,0.0,0.0,5.16,2.99,-5.07,false
false,0.0,0.0,0.0,83.85,78.06,true
false,0.0,0.0,6.42,61.79,51.8,false
false,0.0,0.0,12.29,25.34,11.65,false
false,0.0,0.0,7.45,13.47,4.61,false
false,0.0,0.0,14.84,10.5,-5.1,false
false,0.0,0.0,0.0,0.59,-2.11,false
true,123.13,0.0,4.97,-61.08,-69.84,
false,0.0,0.0,9.96,29.35,16.73,false
false,0.0,0.0,1.7,62.07,55.75,true
false,0.0,0.0,9.3,13.11,1.66,true
false,0.0,0.0,18.0,38.43,18.83,true
false,0.0,0.0,0.45,37.74,31.63,true
true,150.33,0.0,8.43,-93.22,-105.86,
false,0.0,0.0,15.2,17.26,0.34,false
false,0.0,0.0,2.8,12.69,9.28,true
false,0.0,0.0,19.73,8.09,-15.28,true
false,0.0,0.0,7.04,24.04,15.15,true
true,64.07,0.0,25.95,-38.72,-66.36,
false,0.0,0.0,3.37,112.03,98.7,false
false,0.0,0.0,3.92,45.92,39.74,true
false,0.0,0.0,10.37,14.07,2.66,false
false,0.0,0.0,6.52,57.82,46.64,false
false,0.0,0.0,0.0,-4.27,-5.89,false
false,0.0,0.0,6.66,27.32,17.65,true
true,290.09,0.0,10.46,-328.45,-348.08,
false,0.0,0.0,8.19,22.52,11.3,false
false,0.0,0.0,0.0,70.08,65.66,true
false,0.0,0.0,58.84,462.5,382.7,false
false,0.0,0.0,0.0,33.43,31.79,true
false,0.0,0.0,6.77,25.81,17.77,false
false,0.0,0.0,0.0,20.13,19.1,false
false,0.0,0.0,6.15,83.35,69.98,false
false,0.0,0.0,4.18,-21.06,-34.48,false
false,0.0,0.0,17.49,16.08,-3.2,false
false,0.0,0.0,0.0,5.38,1.93,false
false,0.0,0.0,4.75,-3.42,-10.47,false
false,0.0,0.0,15.49,3.22,-13.52,true
false,0.0,0.0,0.0,38.81,35.19,false
false,0.0,0.0,0.0,20.4,16.58,false
false,0.0,0.0,0.0,29.04,27.17,false
false,0.0,0.0,0.0,29.21,27.72,false
false,0.0,0.0,1.29,61.59,56.76,false
false,0.0,0.0,2.28,20.76,16.96,false
false,0.0,0.0,10.63,139.54,120.47,true
true,21.23,0.0,37.12,-19.19,-56.87,false
true,163.65,0.0,7.43,-160.91,-173.74,false
false,0.0,0.0,13.98,37.61,21.63,true
false,0.0,0.0,23.35,19.11,-5.26,false
false,0.0,0.0,8.54,32.32,20.93,true
false,0.0,0.0,11.18,-5.25,-21.58,
false,0.0,0.0,16.47,16.8,-2.78,true
false,0.0,0.0,0.0,58.75,52.84,true
false,0.0,0.0,0.0,60.79,57.3,true
false,0.0,0.0,0.0,19.63,18.6,true
false,0.0,0.0,0.0,40.12,37.48,false
false,0.0,0.0,24.3,56.12,28.61,true
false,0.0,0.0,11.44,44.7,29.73,false
false,0.0,0.0,22.46,26.46,-7.84,false
false,0.0,0.0,0.0,6.33,5.66,false
false,0.0,0.0,12.95,15.56,1.63,false
false,0.0,0.0,12.73,-1.18,-16.38,false
false,0.0,0.0,19.58,37.16,14.65,false
false,0.0,15.01,15.57,88.69,49.26,false
false,0.0,0.0,0.0,3.53,3.33,true
false,0.0,0.0,8.95,32.05,21.53,false
false,0.0,0.0,1.58,3.0,0.28,false
false,0.0,0.0,22.21,12.49,-11.37,false
false,0.0,0.0,1.41,10.27,8.25,false
false,0.0,0.0,2.91,22.73,12.6,true
false,0.0,0.0,19.4,-4.93,-25.83,false
false,0.0,0.0,10.83,-32.52,-51.31,false
false,0.0,0.0,14.54,10.7,-5.01,false
false,0.0,0.0,0.0,3.79,-4.07,false
false,0.0,0.0,0.0,73.64,69.45,true
false,0.0,0.0,0.0,47.42,44.66,true
false,0.0,0.0,0.0,18.12,16.54,false
false,0.0,0.0,0.0,1.69,1.48,false
false,0.0,0.0,10.84,16.5,4.27,false
false,0.0,0.0,19.51,30.62,8.71,false
false,0.0,0.0,0.0,38.49,35.74,true
false,0.0,0.0,1.01,25.04,22.7,false
false,0.0,0.0,1.53,28.09,24.88,false
false,0.0,0.0,21.52,21.07,-1.47,false
false,0.0,0.0,0.0,97.75,92.41,true
false,0.0,0.0,13.42,85.51,67.51,true
false,0.0,0.0,14.33,31.74,15.29,
false,0.0,0.0,0.0,24.49,23.37,
