defective,scrap_cost_usd,rework_cost_usd,downtime_cost_usd,yield_loss_usd,total_quality_cost_usd,recurrence_90d
false,39.17,0.0,12.22,12.92,64.32,false
false,135.55,61.32,22.78,13.93,233.57,true
false,35.44,33.16,0.0,12.4,81.0,false
false,0.0,32.26,16.34,16.15,64.75,true
false,29.63,9.06,42.22,22.04,102.95,false
false,43.7,16.01,10.87,10.02,80.59,false
false,23.34,16.07,9.88,11.57,60.86,false
false,1.02,13.26,0.0,20.03,34.32,false
false,21.0,34.16,22.0,0.0,77.16,false
true,40.62,0.08,40.21,14.04,94.95,
false,13.49,16.08,10.05,0.0,39.62,false
false,14.49,30.73,15.01,0.98,61.21,false
false,7.88,3.57,26.0,10.4,47.86,false
false,4.44,2.84,15.25,15.21,37.74,true
false,8.39,0.0,0.0,7.1,15.49,false
false,0.0,14.78,45.41,1.65,61.84,false
false,32.52,11.95,20.3,4.63,69.4,
false,47.69,21.8,12.94,13.63,96.07,false
false,21.26,30.43,27.6,6.64,85.93,false
false,19.63,1.81,23.64,0.29,45.37,false
false,7.01,3.11,0.0,16.08,26.2,
false,9.0,15.79,17.44,2.57,44.8,false
true,14.35,8.95,27.08,9.95,60.32,true
false,19.79,0.0,0.0,4.77,24.55,false
true,35.53,9.99,8.33,16.52,70.38,
false,107.46,49.38,20.17,0.0,177.0,false
false,34.99,17.89,0.0,2.44,55.32,false
false,32.19,16.03,16.68,4.44,69.35,false
false,139.93,76.61,25.53,13.83,255.9,false
false,4.92,12.07,34.91,4.39,56.29,false
false,18.88,18.38,46.57,15.22,99.06,false
false,36.44,12.21,17.64,8.07,74.37,false
false,22.05,14.15,1.02,0.0,37.21,false
false,50.36,5.81,159.61,0.0,215.78,false
true,48.33,30.86,34.0,5.11,118.31,
false,9.49,20.12,27.91,0.0,57.52,false
false,44.66,22.78,14.62,5.23,87.3,true
false,28.48,38.34,23.59,14.91,105.32,false
false,8.33,17.5,22.0,7.08,54.91,false
false,26.99,26.19,8.14,0.0,61.32,false
false,18.48,28.0,13.99,14.47,74.94,
false,9.06,12.98,19.03,0.0,41.06,false
false,35.33,3.03,23.58,18.39,80.33,false
true,38.37,26.66,11.58,0.71,77.32,false
false,44.15,8.31,8.46,18.17,79.1,false
false,18.86,31.65,10.51,14.19,75.22,false
false,5.12,0.0,22.56,8.77,36.46,false
false,21.56,23.53,4.02,14.96,64.07,false
false,4.5,12.62,14.46,9.73,41.3,true
false,13.69,19.2,5.94,6.26,45.1,false
false,39.63,0.0,52.24,11.46,103.33,false
false,23.03,30.05,22.0,10.62,85.71,false
false,2.23,28.46,2.77,6.29,39.74,true
false,3.65,15.52,12.23,2.08,33.49,false
false,75.51,25.1,164.9,9.77,275.27,false
false,3.74,16.78,23.79,7.8,52.11,false
false,22.97,23.24,4.65,4.41,55.27,false
false,16.53,23.68,39.03,0.8,80.05,false
true,0.0,10.53,0.0,10.44,20.97,
false,18.77,20.72,16.52,17.24,73.25,false
false,10.91,0.0,23.09,0.0,34.0,false
false,170.72,12.49,75.23,0.0,258.44,false
false,32.22,29.66,15.48,13.75,91.11,
false,5.66,12.32,33.43,0.0,51.41,false
false,15.04,0.08,9.64,0.0,24.75,false
false,29.88,22.24,22.0,20.27,94.39,false
false,32.57,13.16,16.97,6.75,69.45,false
true,20.73,0.0,30.3,11.15,62.18,true
false,37.68,19.2,18.73,0.0,75.61,false
false,31.0,16.29,22.0,12.73,82.02,false
false,31.2,16.96,23.57,0.0,71.72,false
false,20.26,16.37,25.61,1.33,63.57,false
false,0.48,0.0,18.84,18.04,37.36,false
false,38.31,28.15,34.08,0.13,100.67,false
true,9.05,16.32,37.87,4.34,67.58,false
false,24.43,0.34,45.88,6.03,76.68,false
false,20.93,14.43,25.3,17.01,77.67,false
false,99.1,66.11,30.09,17.42,212.72,false
false,9.9,21.45,32.23,0.0,63.58,false
false,19.26,25.82,0.0,7.69,52.77,true
false,199.45,60.63,17.83,11.01,288.92,false
false,13.49,10.75,27.76,7.8,59.81,false
false,43.73,3.73,23.0,9.49,79.94,false
false,5.14,23.79,32.81,20.43,82.18,true
false,33.97,5.51,30.01,15.26,84.76,
false,20.44,24.82,46.0,4.85,96.12,false
false,17.52,12.01,17.98,7.75,55.25,false
false,15.39,13.1,51.3,13.91,93.71,true
false,32.98,12.57,9.41,0.0,54.96,false
false,18.07,10.64,15.68,3.61,48.0,false
false,21.2,0.0,0.0,4.48,25.68,false
false,226.77,107.03,30.16,7.77,371.73,
false,0.0,5.88,0.0,0.0,5.88,false
false,15.31,1.92,13.99,10.86,42.08,false
false,98.33,86.36,29.01,2.76,216.46,false
false,88.05,22.28,7.67,149.39,267.38,
false,86.3,73.99,13.0,26.57,199.85,false
false,100.36,91.77,25.72,8.59,226.44,false
false,20.97,15.2,59.32,6.48,101.97,
true,0.0,21.57,22.0,16.12,59.69,false
false,54.42,9.39,7.74,1.76,73.3,
false,44.25,21.83,3.17,4.8,74.05,false
false,124.36,83.22,8.99,3.63,220.2,false
false,33.36,16.76,2.68,5.82,58.62,
false,2.52,0.0,20.69,9.39,32.6,false
false,10.14,20.83,17.82,6.27,55.07,false
false,15.7,19.95,8.26,0.0,43.92,false
false,12.3,11.85,45.28,11.05,80.49,true
false,15.69,16.17,0.0,3.93,35.79,false
false,4.14,9.85,0.0,0.0,14.0,false
false,0.0,0.0,42.78,0.0,42.78,false
false,16.84,6.7,9.75,0.0,33.28,false
false,28.61,28.14,22.0,7.12,85.87,true
false,4.43,16.11,20.48,5.69,46.71,true
false,12.87,23.95,33.43,7.6,77.85,true
false,25.48,2.13,0.03,4.11,31.75,false
false,33.86,25.97,22.32,8.1,90.26,true
false,43.2,0.34,57.83,2.34,103.73,false
false,20.04,0.61,0.0,13.15,33.8,false
false,20.01,19.28,0.0,18.58,57.87,true
false,6.18,5.32,26.5,0.0,38.0,
false,17.85,28.57,25.41,0.0,71.84,false
true,78.41,13.98,28.0,181.69,302.08,false
false,18.64,24.4,22.44,20.34,85.82,true
false,27.26,16.53,12.44,0.0,56.23,true
true,13.72,30.42,35.93,21.34,101.41,
false,10.61,22.64,29.65,5.83,68.74,false
false,16.3,0.0,35.42,0.0,51.72,
true,31.79,6.18,0.0,16.89,54.86,false
false,118.57,47.17,13.29,21.27,200.29,false
false,21.86,13.82,26.16,18.89,80.73,false
false,41.45,0.0,31.22,2.42,75.1,false
false,16.66,26.14,3.81,0.0,46.61,false
false,7.58,16.47,1.85,2.9,28.8,false
false,30.84,20.5,16.5,0.0,67.83,false
false,3.53,24.2,13.2,11.31,52.25,false
false,107.78,81.77,22.0,11.22,222.77,
false,17.04,29.64,35.72,12.17,94.58,false
false,8.0,28.57,10.35,8.25,55.17,false
false,0.0,16.14,14.64,28.84,59.62,false
false,29.02,0.0,20.83,15.28,65.13,false
false,0.0,0.0,0.0,5.35,5.35,false
false,9.99,17.91,16.19,2.62,46.71,false
false,7.65,15.19,8.42,0.0,31.25,false
false,32.2,24.77,50.09,13.58,120.65,false
true,28.93,9.65,28.12,10.93,77.63,false
false,55.29,5.15,11.45,12.35,84.24,
false,42.52,18.13,20.63,0.0,81.28,true
false,0.0,27.75,25.4,3.48,56.63,false
false,16.95,3.4,18.26,12.94,51.55,true
true,24.8,12.03,6.2,14.67,57.71,
false,0.0,22.45,0.0,14.51,36.96,
false,33.69,5.29,7.26,10.27,56.52,true
false,53.4,6.99,31.11,11.33,102.83,false
false,20.59,16.25,21.93,0.43,59.19,false
false,27.19,14.85,9.17,4.0,55.2,false
false,38.13,8.82,2.12,3.09,52.15,false
false,30.32,15.93,10.89,6.05,63.18,false
false,17.82,17.84,44.76,6.97,87.39,false
false,22.09,24.95,22.28,0.0,69.32,
true,5.68,24.28,26.24,1.38,57.57,
false,37.49,7.46,12.15,0.0,57.1,
false,16.41,35.46,21.62,0.0,73.5,true
false,3.32,12.11,15.75,12.11,43.29,false
false,2.81,0.0,41.38,13.28,57.47,false
true,18.04,22.87,26.75,9.94,77.61,
true,30.77,14.14,4.78,8.9,58.59,false
false,12.89,5.34,29.06,7.84,55.13,false
false,17.11,10.47,16.7,0.0,44.28,false
false,4.17,34.11,15.64,0.28,54.21,false
false,202.02,10.47,101.04,7.51,321.05,false
false,17.8,24.46,22.33,17.63,82.22,true
false,139.61,106.69,26.89,2.34,275.52,false
false,98.21,60.84,0.0,5.9,164.95,true
false,33.59,15.8,23.88,5.93,79.2,false
false,37.4,16.7,19.19,16.03,89.32,false
true,17.9,19.76,23.36,17.02,78.04,true
false,24.67,0.58,16.45,0.0,41.7,
true,70.6,11.8,43.05,26.49,151.95,true
true,0.0,16.52,24.04,17.45,58.01,false
false,19.93,30.11,32.86,20.87,103.76,true
false,22.29,10.28,23.87,6.55,62.98,true
false,0.31,12.86,19.82,11.76,44.74,true
false,24.28,13.9,11.06,0.33,49.57,false
true,3.69,0.0,52.27,0.99,56.96,true
false,18.76,24.98,0.0,0.0,43.74,false
false,3.57,15.11,16.17,5.9,40.74,false
false,0.0,17.21,38.57,6.89,62.67,
false,11.75,0.0,19.24,9.73,40.72,false
false,33.44,6.14,18.59,19.71,77.88,false
false,44.72,16.91,31.31,15.58,108.52,false
true,41.2,6.76,4.94,4.99,57.89,true
false,20.17,16.14,5.87,0.0,42.19,true
false,15.28,12.0,14.4,0.0,41.68,true
true,46.65,0.84,5.46,8.64,61.59,
false,4.63,2.58,11.92,21.38,40.5,false
false,48.22,5.77,6.47,0.0,60.46,false
false,14.2,17.09,44.85,8.27,84.4,false
true,23.84,21.09,4.12,10.27,59.32,false
false,94.45,58.93,37.03,4.8,195.22,false
true,33.82,164.11,2.56,7.37,207.87,false
false,131.86,37.2,11.34,12.76,193.16,false
false,31.96,8.29,9.21,9.93,59.38,false
false,5.5,19.6,11.2,12.31,48.61,false
true,24.15,27.26,15.18,21.32,87.91,true
true,19.43,6.08,26.05,12.23,63.79,
false,16.02,15.73,39.29,5.14,76.18,false
false,3.04,17.22,25.72,6.8,52.78,false
false,7.01,8.64,29.55,0.0,45.19,false
false,28.29,16.48,49.28,0.0,94.05,false
false,122.08,75.8,11.8,13.02,222.7,true
false,5.76,21.13,6.67,19.22,52.78,false
false,14.19,27.42,44.31,25.55,111.48,false
true,170.48,18.61,79.83,18.65,287.56,true
false,127.65,69.39,3.48,0.0,200.52,true
false,26.2,1.6,23.78,0.0,51.59,false
false,43.36,30.45,125.73,12.82,212.35,false
true,29.57,6.7,31.62,17.21,85.09,
false,17.63,153.06,4.3,16.47,191.46,false
false,24.49,9.66,11.45,9.42,55.03,true
false,15.44,19.12,12.23,2.63,49.41,false
false,138.56,98.13,15.53,3.0,255.22,false
true,52.29,16.28,37.69,3.14,109.4,
false,25.38,16.6,13.32,0.0,55.3,false
false,12.24,10.93,18.44,8.89,50.5,
false,61.14,24.53,11.29,19.62,116.58,false
false,63.34,25.0,11.42,11.78,111.54,true
false,0.72,4.68,20.39,4.53,30.32,false
false,36.29,14.44,27.7,1.58,80.02,
false,16.74,15.93,29.58,15.62,77.87,false
false,124.39,49.92,11.73,9.94,195.99,false
true,19.68,26.5,44.4,22.49,113.06,
false,40.36,5.35,10.49,5.86,62.06,false
false,34.61,1.39,24.57,0.0,60.56,false
true,28.96,19.54,58.48,6.15,113.13,false
false,24.91,1.09,24.48,6.34,56.82,false
false,4.8,21.06,25.32,25.69,76.88,false
false,6.57,16.05,18.52,3.3,44.44,false
false,25.12,30.85,34.84,11.87,102.68,false
false,9.45,15.74,34.82,0.0,60.01,
false,23.07,222.98,12.28,1.5,259.84,true
false,12.44,11.15,22.94,12.7,59.22,false
false,19.49,11.86,1.72,10.77,43.84,true
false,21.78,6.74,31.72,0.0,60.24,false
false,9.74,16.44,11.22,7.91,45.31,false
false,1.0,32.22,18.36,22.67,74.24,false
false,18.42,18.04,33.25,3.57,73.29,false
false,6.47,14.56,33.39,4.06,58.48,false
false,3.16,20.01,25.9,22.51,71.58,false
false,193.44,2.29,85.03,0.0,280.76,false
false,0.0,5.71,35.64,0.05,41.4,false
false,28.69,190.96,21.36,14.64,255.66,false
true,47.41,0.0,26.65,0.16,74.21,false
true,19.6,16.46,22.37,22.95,81.39,
false,4.57,8.57,35.66,2.46,51.27,false
true,121.27,243.61,26.77,8.39,400.04,true
false,73.32,5.33,8.03,17.59,104.28,false
false,10.66,21.63,16.69,3.27,52.25,false
false,3.76,11.07,9.2,0.0,24.02,true
false,134.05,4.82,120.08,22.68,281.63,false
false,42.69,9.02,22.27,16.7,90.68,true
true,37.34,177.48,42.33,9.59,266.74,true
false,19.72,22.48,9.39,19.22,70.81,false
false,11.25,22.97,4.13,13.98,52.33,false
false,16.99,23.85,14.23,0.0,55.07,false
false,40.39,6.8,5.17,5.94,58.3,false
false,6.53,17.65,10.32,10.92,45.41,false
true,55.88,14.15,186.93,0.0,256.96,
false,15.85,13.95,0.0,0.0,29.8,true
true,23.87,15.36,0.91,12.12,52.26,
false,128.99,114.06,25.29,4.14,272.48,false
true,3.24,28.25,19.01,5.56,56.07,false
true,130.54,94.91,0.0,12.41,237.86,true
true,16.63,3.14,19.41,18.8,57.98,true
false,0.0,1.1,7.41,0.0,8.52,false
false,0.86,26.31,29.96,0.0,57.13,false
false,71.61,14.83,180.35,8.05,274.84,
false,23.53,9.71,16.08,2.19,51.5,false
true,6.32,15.42,4.62,0.0,26.36,
false,0.0,16.13,24.68,15.36,56.17,
false,36.64,0.0,10.22,27.53,74.4,true
true,35.59,11.98,27.5,0.0,75.06,true
true,20.28,0.0,0.0,3.95,24.23,false
false,43.37,10.58,4.88,12.12,70.94,false
true,11.33,13.5,0.0,8.3,33.13,true
false,40.66,161.13,30.14,8.04,239.97,false
false,15.23,9.82,217.23,55.11,297.39,false
false,32.97,18.6,7.96,3.54,63.06,false
true,16.54,5.23,15.25,10.67,47.69,false
true,26.24,24.77,34.22,3.25,88.49,true
false,13.3,10.39,43.05,0.0,66.73,false
false,11.44,0.14,0.0,5.64,17.22,true
false,22.87,14.59,10.3,0.0,47.76,false
false,10.53,39.58,54.73,0.7,105.54,false
false,21.39,23.77,29.64,3.69,78.49,false
false,21.53,9.58,4.96,10.59,46.66,true
false,44.49,3.43,0.0,6.57,54.49,false
true,68.37,14.46,172.93,11.72,267.48,
false,10.76,4.8,9.17,0.0,24.73,
false,9.03,13.21,0.07,0.0,22.32,false
false,24.94,0.0,19.44,4.85,49.24,false
false,110.42,84.99,0.0,10.84,206.26,false
false,90.3,7.57,216.09,4.0,317.96,false
false,30.08,23.14,12.82,5.52,71.56,false
false,0.0,16.39,13.14,2.22,31.74,false
false,18.52,7.61,13.06,11.87,51.07,false
false,48.36,30.72,47.19,9.48,135.76,false
false,18.79,15.05,17.27,0.12,51.23,true
true,9.05,0.74,42.2,0.28,52.27,false
true,59.76,8.84,30.48,6.11,105.19,false
false,18.13,3.87,36.34,5.92,64.26,false
false,11.57,1.17,0.0,13.42,26.16,true
false,22.35,0.0,14.71,9.84,46.9,
false,42.51,18.73,14.09,0.0,75.33,false
false,9.31,0.0,8.25,16.91,34.46,true
false,24.25,10.94,19.4,0.0,54.59,false
true,32.15,0.38,9.13,12.72,54.38,false
false,47.15,0.47,23.68,21.27,92.57,false
false,43.01,13.42,22.45,0.27,79.16,false
false,17.71,17.55,178.78,47.77,261.81,
false,12.37,31.21,25.33,17.74,86.66,false
false,21.98,20.05,0.0,13.64,55.67,false
true,153.94,44.38,2.73,2.91,203.97,false
false,34.02,0.0,39.9,10.74,84.66,false
false,11.45,20.4,28.87,6.46,67.18,false
false,21.37,12.92,1.89,11.1,47.28,false
false,22.32,12.64,35.54,12.88,83.38,false
false,33.3,15.59,207.05,39.49,295.43,false
true,11.02,8.11,26.31,13.43,58.87,false
false,21.54,0.33,25.45,9.56,56.88,false
false,105.52,0.0,142.83,0.0,248.35,false
false,19.2,29.16,0.0,26.0,74.36,false
true,51.75,8.93,32.09,5.78,98.55,false
false,13.68,15.64,15.24,0.7,45.25,false
false,18.22,14.34,29.84,7.06,69.46,false
true,23.98,17.43,15.81,5.32,62.54,false
false,19.26,37.9,29.87,11.1,98.13,false
false,34.13,0.0,0.0,0.37,34.5,false
false,5.57,16.39,3.5,11.75,37.22,false
false,18.6,3.05,22.78,0.0,44.43,false
false,20.21,5.71,21.81,12.59,60.32,true
false,42.47,163.28,21.66,5.97,233.37,false
false,38.9,21.27,17.67,2.56,80.39,false
false,34.91,21.01,9.38,9.32,74.62,false
false,38.44,29.3,5.19,10.7,83.64,false
false,34.7,18.64,21.98,18.62,93.94,false
false,25.5,30.29,5.14,18.77,79.7,false
false,22.4,9.17,22.0,0.0,53.57,false
false,80.48,50.98,21.15,5.35,157.97,false
false,2.34,16.26,16.3,15.63,50.53,false
false,216.4,37.78,99.4,5.43,359.01,true
false,104.62,95.09,8.91,4.91,213.52,false
false,13.13,30.52,21.63,9.72,75.0,false
true,0.0,13.74,28.0,14.03,55.77,false
false,29.1,0.0,3.52,16.59,49.2,false
false,39.5,5.76,7.49,7.23,59.97,
false,56.57,137.27,11.03,8.86,213.73,false
false,18.26,10.68,16.26,7.18,52.38,false
false,16.67,13.88,9.06,13.42,53.03,
true,64.41,1.95,135.88,7.31,209.55,true
false,142.81,69.97,20.83,16.25,249.86,false
true,36.93,0.0,8.14,6.39,51.47,true
true,129.28,62.85,13.18,5.89,211.2,true
false,9.13,1.82,19.07,20.91,50.94,false
false,0.0,25.01,18.45,10.39,53.85,false
false,23.61,10.55,22.0,7.25,63.42,true
false,15.83,1.08,13.32,8.01,38.24,false
false,28.97,23.72,32.68,16.96,102.32,
false,1.33,12.87,6.73,7.38,28.31,false
false,0.0,12.49,37.45,17.87,67.81,
false,28.33,4.24,19.37,23.02,74.96,true
false,0.0,1.1,25.08,6.43,32.61,false
true,34.8,27.1,221.04,55.82,338.77,true
false,23.85,17.08,5.3,0.0,46.23,false
false,40.99,0.63,0.0,0.0,41.61,
false,114.21,72.27,6.97,10.82,204.27,false
false,2.38,7.3,0.0,4.74,14.41,true
false,32.19,24.83,71.06,10.59,138.67,false
false,3.25,24.87,17.92,9.01,55.04,false
true,3.29,32.5,0.0,19.3,55.09,false
false,10.3,11.98,15.86,17.81,55.95,false
false,15.8,17.0,15.44,12.46,60.71,false
false,7.63,25.93,2.49,1.71,37.77,false
false,33.79,20.43,0.25,3.06,57.53,false
false,0.78,0.0,24.79,5.75,31.32,false
true,16.91,8.88,15.18,6.8,47.76,false
false,46.57,7.24,28.0,7.53,89.33,false
false,0.74,23.63,0.0,5.99,30.37,false
false,35.22,5.45,2.99,8.64,52.3,
false,17.23,2.3,49.02,6.8,75.34,
false,45.39,19.52,17.16,1.98,84.05,false
false,35.56,9.29,5.9,20.48,71.23,false
true,38.88,22.55,0.0,10.51,71.95,true
false,16.15,15.23,35.53,23.2,90.11,true
false,48.0,0.0,26.1,13.55,87.65,false
false,40.02,4.43,250.95,58.37,353.77,true
false,36.72,22.0,13.34,14.34,86.39,false
false,26.11,10.3,16.68,11.9,65.0,false
false,38.6,23.15,12.22,17.35,91.32,false
false,25.77,9.39,35.11,7.79,78.06,
true,150.87,7.63,45.6,7.14,211.23,false
true,7.19,5.67,61.73,17.94,92.53,false
false,52.88,31.57,12.57,1.72,98.74,false
true,45.0,6.02,12.81,23.46,87.3,
false,20.84,0.0,12.82,3.99,37.65,false
false,11.58,9.89,0.0,0.0,21.47,false
false,54.73,11.02,19.29,179.01,264.05,false
false,4.99,4.21,4.37,5.38,18.95,true
false,32.75,1.73,0.0,9.45,43.92,false
false,17.2,14.77,21.9,16.77,70.63,true
false,22.77,33.91,23.99,0.0,80.67,false
false,11.63,11.82,15.01,10.57,49.03,false
false,30.17,22.94,21.8,9.44,84.34,true
true,35.28,8.57,49.43,4.15,97.43,false
false,24.96,11.13,28.54,2.56,67.2,false
true,32.59,11.75,9.24,7.24,60.82,
false,33.13,223.03,29.67,4.92,290.75,
false,23.29,16.12,20.05,3.51,62.97,false
false,30.85,11.12,0.0,0.04,42.01,false
true,32.53,26.42,22.71,1.23,82.88,false
false,52.27,18.72,4.94,0.0,75.93,false
false,11.45,0.0,0.0,9.33,20.78,true
true,43.55,17.62,14.71,10.51,86.39,
false,34.42,14.65,39.94,10.77,99.78,false
false,34.43,24.08,12.57,8.34,79.42,false
false,19.72,1.07,10.68,2.92,34.39,false
false,22.57,17.72,17.49,4.26,62.04,false
false,37.96,20.21,0.0,0.0,58.17,false
false,29.15,28.0,11.66,13.27,82.09,false
false,33.66,5.17,10.66,0.0,49.49,false
false,25.51,10.13,24.95,14.9,75.5,true
false,20.69,10.83,33.84,17.71,83.07,false
false,4.86,15.34,0.0,8.08,28.28,false
true,39.79,10.64,4.71,0.0,55.14,false
true,23.11,16.65,13.01,0.0,52.77,false
true,11.63,13.41,22.09,18.53,65.65,
false,0.0,21.7,45.63,14.16,81.49,false
false,14.4,7.3,30.78,7.1,59.58,true
false,2.75,0.0,12.27,8.07,23.09,false
false,55.71,23.4,19.49,3.64,102.24,true
false,39.91,1.44,20.36,15.1,76.81,true
false,24.93,34.98,26.5,0.0,86.41,false
true,20.35,3.06,8.39,21.16,52.96,false
false,121.34,53.44,22.0,7.17,203.94,false
false,17.66,28.11,26.36,8.32,80.44,true
false,25.35,3.07,30.28,9.12,67.82,false
false,27.76,15.53,9.2,13.73,66.22,false
false,53.3,181.61,9.63,17.15,261.68,false
false,36.01,4.66,6.36,15.57,62.6,false
true,13.9,14.86,17.86,1.09,47.7,false
false,16.54,13.46,30.88,4.07,64.95,false
false,42.73,17.84,11.69,11.74,84.0,false
false,25.13,15.96,22.0,7.68,70.76,true
false,7.25,19.36,22.0,8.76,57.37,
true,37.18,27.35,18.28,8.78,91.6,
true,16.9,5.6,28.01,2.03,52.54,
true,30.24,14.24,6.39,9.65,60.52,true
false,10.33,9.11,11.21,15.56,46.22,false
false,20.7,23.92,7.61,9.07,61.31,false
false,37.13,5.22,6.68,18.42,67.45,false
false,160.9,70.47,0.0,2.41,233.79,
false,36.3,8.1,32.6,12.84,89.85,false
false,12.45,3.26,0.0,12.96,28.67,false
false,2.99,0.96,38.42,1.41,43.78,
false,106.56,37.24,13.63,9.32,166.76,false
false,63.03,9.22,132.59,0.87,205.7,true
false,13.52,19.05,23.32,6.8,62.69,false
false,28.86,24.83,13.52,0.0,67.2,false
false,30.72,7.41,12.6,4.52,55.26,false
false,3.69,17.82,3.66,0.0,25.17,false
true,20.01,18.63,15.87,11.95,66.46,false
false,83.61,111.29,24.5,0.0,219.4,false
false,9.27,6.95,2.62,4.24,23.08,false
true,7.49,7.92,54.17,0.0,69.58,
false,35.48,9.91,12.67,14.77,72.83,false
false,24.12,37.46,192.81,29.45,283.84,false
true,149.92,93.74,19.5,0.0,263.16,
false,23.83,25.08,0.05,0.0,48.96,false
true,39.17,7.03,6.87,3.47,56.53,true
true,33.18,11.28,46.39,13.92,104.77,
false,4.98,16.29,10.79,15.65,47.7,
false,22.5,29.12,5.13,12.47,69.22,false
false,96.03,78.82,39.39,15.67,229.91,false
false,35.7,28.04,16.94,0.0,80.68,true
true,9.46,11.67,22.84,5.32,49.3,false
false,9.37,12.24,11.64,2.72,35.96,false
false,10.58,12.26,2.82,14.7,40.36,false
false,23.42,17.39,19.95,0.0,60.76,true
false,14.59,6.17,40.95,13.66,75.37,false
false,3.55,27.13,16.79,10.25,57.73,true
true,38.58,12.1,37.94,0.0,88.62,
true,23.06,0.0,45.42,14.27,82.75,
false,11.45,23.52,16.7,0.54,52.22,true
false,30.06,37.59,1.72,6.26,75.63,true
false,30.27,16.33,26.75,0.0,73.35,false
false,31.38,3.87,0.0,0.0,35.26,false
false,31.59,8.77,20.17,19.08,79.61,
false,102.59,13.73,153.33,5.65,275.3,false
