batch_date,product_line,raw_material_supplier,shift,batch_size_units,operator,machine_id,planned_cycle_time_min,material_grade,humidity_pct,temperature_c,rush_order
2025-02-23,Line D,Supplier 5,evening,480,Operator 1,Machine 2,57.64,premium,49.28,24.12,false
2025-04-20,Line D,Supplier 4,day,430,Operator 8,Machine 3,51.64,premium,33.76,14.59,false
2024-09-10,Line D,Supplier 2,night,488,Operator 3,Machine 6,17.2,premium,39.47,26.54,false
2024-10-30,Line A,Supplier 4,night,413,Operator 2,Machine 4,35.93,standard,67.8,31.77,false
2025-07-04,Line B,Supplier 2,evening,960,Operator 6,Machine 5,52.54,standard,64.05,24.06,false
2025-02-18,Line A,Supplier 4,night,414,Operator 2,Machine 2,42.47,premium,49.01,19.47,true
2025-03-18,Line D,Supplier 3,day,407,Operator 7,Machine 2,19.41,standard,57.95,36.82,false
2024-06-23,Line B,Supplier 1,evening,662,Operator 4,Machine 3,29.49,premium,49.24,23.59,false
2025-01-26,Line A,Supplier 2,day,738,Operator 4,Machine 6,28.71,premium,44.77,21.28,false
2024-09-20,Line A,Supplier 5,evening,1016,Operator 4,Machine 2,22.4,premium,52.57,22.41,false
2024-06-25,Line D,Supplier 4,evening,537,Operator 1,Machine 5,36.79,premium,43.52,18.58,false
2025-06-29,Line A,Supplier 1,night,190,Operator 6,Machine 2,25.31,premium,59.25,13.51,false
2024-11-24,Line A,Supplier 5,day,576,Operator 3,Machine 1,28.66,premium,35.36,23.98,false
2024-06-19,Line B,Supplier 2,night,778,Operator 3,Machine 2,26.85,premium,50.68,22.28,false
2025-04-10,Line B,Supplier 4,evening,629,Operator 1,Machine 6,35.98,premium,39.83,20.41,true
2024-04-22,Line C,Supplier 3,night,576,Operator 4,Machine 5,18.99,standard,50.26,30.71,false
2024-04-19,Line B,Supplier 5,evening,50,Operator 8,Machine 2,38.75,premium,40.74,24.9,false
2024-09-20,Line B,Supplier 5,night,326,Operator 4,Machine 1,37.43,standard,60.2,9.09,true
2025-03-25,Line A,Supplier 4,evening,755,Operator 3,Machine 1,43.21,standard,58.68,26.54,false
2024-01-10,Line C,Supplier 4,evening,970,Operator 3,Machine 6,41.89,premium,48.59,20.77,false
2025-12-14,Line D,Supplier 4,day,805,Operator 8,Machine 4,27.92,standard,67.18,4.38,false
2024-08-16,Line D,Supplier 4,night,777,Operator 6,Machine 1,53.29,premium,40.01,21.31,false
2024-09-16,Line C,Supplier 3,night,339,Operator 8,Machine 2,48.62,premium,29.16,10.34,false
2024-09-04,Line D,Supplier 3,night,382,Operator 8,Machine 5,10.08,standard,77.82,16.07,false
2024-08-03,Line A,Supplier 4,day,878,Operator 8,Machine 2,32.9,standard,36.58,13.27,false
2024-01-16,Line C,Supplier 4,day,766,Operator 2,Machine 3,39.91,premium,34.72,16.76,false
2024-12-23,Line D,Supplier 5,day,417,Operator 2,Machine 6,25.36,premium,51.86,20.06,false
2024-07-27,Line D,Supplier 2,night,564,Operator 4,Machine 2,32.23,premium,44.32,24.57,true
2024-01-04,Line D,Supplier 5,day,634,Operator 1,Machine 5,40.83,premium,40.55,24.73,true
2024-03-26,Line D,Supplier 1,day,854,Operator 2,Machine 1,33.39,premium,20.0,13.36,false
2024-06-23,Line B,Supplier 5,evening,599,Operator 4,Machine 3,32.41,premium,49.3,20.49,false
2025-07-27,Line A,Supplier 1,night,931,Operator 2,Machine 3,37.17,premium,38.46,18.08,true
2025-12-31,Line A,Supplier 2,evening,176,Operator 4,Machine 5,44.04,premium,52.7,20.01,false
2024-08-10,Line D,Supplier 4,evening,482,Operator 6,Machine 1,50.51,premium,56.32,31.23,false
2024-08-03,Line C,Supplier 3,evening,247,Operator 8,Machine 6,31.23,premium,40.97,26.7,true
2025-08-15,Line C,Supplier 1,night,1068,Operator 6,Machine 5,48.54,standard,58.61,25.36,false
2024-06-29,Line D,Supplier 5,evening,1047,Operator 5,Machine 6,22.97,standard,53.24,13.76,false
2025-07-20,Line A,Supplier 4,night,754,Operator 7,Machine 4,12.87,standard,53.07,30.84,false
2025-03-22,Line C,Supplier 3,day,50,Operator 4,Machine 5,40.22,premium,49.35,14.99,false
2025-12-05,Line A,Supplier 2,evening,76,Operator 3,Machine 5,45.33,standard,62.75,28.09,false
2024-06-23,Line D,Supplier 5,evening,527,Operator 8,Machine 6,30.66,premium,45.93,29.25,false
2025-09-20,Line C,Supplier 2,night,50,Operator 8,Machine 5,41.5,standard,52.89,6.74,false
2024-06-22,Line B,Supplier 2,evening,707,Operator 2,Machine 4,36.37,premium,30.51,18.72,false
2024-06-17,Line D,Supplier 4,evening,1235,Operator 2,Machine 1,25.01,premium,54.08,29.51,false
2025-03-04,Line D,Supplier 4,evening,439,Operator 2,Machine 6,30.79,premium,38.38,17.6,false
2025-12-14,Line A,Supplier 4,night,682,Operator 3,Machine 3,30.46,standard,56.12,21.76,false
2025-06-04,Line C,Supplier 3,night,878,Operator 2,Machine 6,28.34,standard,60.18,30.4,false
2025-04-25,Line B,Supplier 4,day,380,Operator 3,Machine 1,22.48,premium,54.88,18.77,true
2024-08-04,Line B,Supplier 1,day,403,Operator 8,Machine 4,22.15,standard,54.13,24.42,true
2024-07-20,Line C,Supplier 4,evening,260,Operator 2,Machine 5,39.98,premium,28.83,15.19,true
2024-01-30,Line A,Supplier 1,evening,1136,Operator 2,Machine 6,41.31,premium,36.1,19.12,false
2024-11-01,Line A,Supplier 3,night,707,Operator 3,Machine 5,42.59,premium,52.49,36.34,false
2024-02-25,Line C,Supplier 1,night,388,Operator 8,Machine 3,48.65,standard,78.06,29.32,true
2025-10-12,Line C,Supplier 5,evening,1514,Operator 2,Machine 4,50.83,premium,41.29,13.07,true
2024-03-23,Line C,Supplier 2,evening,449,Operator 1,Machine 2,28.26,premium,46.44,22.68,true
2025-01-10,Line B,Supplier 3,evening,1065,Operator 1,Machine 4,52.87,standard,59.48,14.59,false
2024-03-24,Line C,Supplier 4,night,556,Operator 8,Machine 2,20.27,standard,56.31,10.54,false
2024-09-21,Line D,Supplier 1,night,786,Operator 1,Machine 2,34.68,premium,48.0,21.69,true
2025-03-19,Line A,Supplier 4,day,450,Operator 4,Machine 6,30.91,standard,50.71,27.71,false
2025-03-24,Line C,Supplier 3,evening,556,Operator 4,Machine 2,23.77,premium,34.57,22.56,false
2025-05-15,Line B,Supplier 5,day,430,Operator 1,Machine 6,15.76,standard,54.15,30.58,false
2025-10-23,Line C,Supplier 3,day,1202,Operator 1,Machine 1,16.76,premium,27.68,30.09,false
2024-07-01,Line C,Supplier 1,day,861,Operator 3,Machine 3,35.87,premium,40.85,18.66,false
2025-07-15,Line C,Supplier 4,night,1421,Operator 2,Machine 4,41.85,standard,52.61,8.37,false
2025-05-25,Line C,Supplier 1,day,362,Operator 3,Machine 3,49.39,premium,49.2,29.8,false
2025-07-08,Line A,Supplier 3,day,244,Operator 5,Machine 3,16.37,premium,56.02,16.89,false
2024-08-06,Line C,Supplier 2,night,399,Operator 1,Machine 4,22.6,standard,51.07,15.43,false
2024-11-10,Line D,Supplier 4,evening,450,Operator 2,Machine 1,26.04,premium,35.03,23.45,false
2025-02-07,Line A,Supplier 2,evening,592,Operator 2,Machine 3,51.69,premium,62.25,20.59,false
2024-10-01,Line B,Supplier 3,evening,745,Operator 1,Machine 2,10.04,premium,41.59,19.94,true
2024-07-06,Line B,Supplier 4,night,188,Operator 7,Machine 5,33.93,premium,41.03,30.07,true
2024-03-01,Line B,Supplier 3,evening,296,Operator 5,Machine 5,29.02,premium,54.05,18.18,false
2025-09-13,Line A,Supplier 2,day,518,Operator 8,Machine 2,28.55,premium,48.87,21.06,false
2024-02-17,Line C,Supplier 1,night,1079,Operator 2,Machine 6,11.74,premium,49.7,18.83,true
2024-09-27,Line D,Supplier 5,day,265,Operator 8,Machine 5,49.0,premium,23.0,32.93,false
2025-12-01,Line B,Supplier 2,evening,759,Operator 5,Machine 2,33.41,premium,51.58,16.42,false
2024-04-28,Line D,Supplier 3,day,917,Operator 2,Machine 6,5.0,premium,26.41,30.09,false
2024-06-03,Line B,Supplier 1,night,764,Operator 8,Machine 3,32.65,premium,47.67,19.03,false
2024-10-17,Line D,Supplier 3,night,1008,Operator 8,Machine 5,35.96,standard,72.24,12.24,false
2025-09-16,Line A,Supplier 5,night,146,Operator 5,Machine 5,39.93,premium,62.18,21.71,true
2025-11-25,Line B,Supplier 4,night,949,Operator 2,Machine 1,26.06,standard,56.75,19.43,true
2025-10-15,Line B,Supplier 2,night,1182,Operator 2,Machine 4,47.18,premium,36.04,16.45,false
2024-05-15,Line A,Supplier 1,day,50,Operator 6,Machine 5,22.77,standard,55.1,20.51,false
2025-07-21,Line C,Supplier 5,day,457,Operator 3,Machine 4,29.06,standard,71.53,27.86,false
2025-04-02,Line A,Supplier 5,day,921,Operator 2,Machine 1,36.56,premium,33.29,28.49,true
2024-04-29,Line D,Supplier 3,night,736,Operator 6,Machine 4,15.74,standard,55.45,21.11,false
2024-07-27,Line C,Supplier 3,day,759,Operator 8,Machine 2,12.98,premium,72.85,14.77,false
2025-03-04,Line A,Supplier 5,night,1300,Operator 7,Machine 1,26.94,premium,31.73,27.46,false
2024-12-05,Line A,Supplier 2,night,771,Operator 3,Machine 3,52.19,premium,27.92,25.59,true
2025-04-22,Line D,Supplier 3,evening,616,Operator 3,Machine 5,25.13,premium,33.42,18.09,true
2024-04-08,Line A,Supplier 1,day,303,Operator 2,Machine 3,20.48,premium,26.09,24.17,false
2024-01-17,Line B,Supplier 3,day,438,Operator 8,Machine 6,47.25,premium,50.27,28.75,false
2025-07-11,Line D,Supplier 3,night,1119,Operator 8,Machine 2,11.32,premium,21.98,15.38,false
2024-12-27,Line A,Supplier 3,night,299,Operator 1,Machine 5,33.72,standard,56.01,24.79,true
2024-04-16,Line B,Supplier 3,night,821,Operator 4,Machine 4,34.21,premium,41.9,22.61,true
2025-12-02,Line B,Supplier 3,day,82,Operator 7,Machine 5,40.33,premium,44.32,28.31,false
2025-05-11,Line B,Supplier 2,night,466,Operator 3,Machine 4,42.81,standard,78.34,31.48,true
2024-10-17,Line C,Supplier 3,evening,292,Operator 8,Machine 5,17.52,standard,52.83,24.0,false
2025-07-08,Line C,Supplier 1,day,720,Operator 1,Machine 2,43.24,premium,49.13,27.7,false
2025-06-10,Line A,Supplier 4,day,982,Operator 2,Machine 6,40.34,premium,30.65,18.63,false
2024-08-27,Line D,Supplier 4,night,312,Operator 5,Machine 1,47.31,premium,66.81,36.23,true
2025-10-11,Line D,Supplier 3,evening,413,Operator 2,Machine 5,17.97,standard,57.57,26.6,false
2024-11-01,Line A,Supplier 5,night,791,Operator 8,Machine 1,33.19,premium,35.8,26.69,true
2024-05-23,Line C,Supplier 4,day,1016,Operator 2,Machine 2,31.99,premium,54.24,25.08,true
2025-12-30,Line A,Supplier 3,evening,387,Operator 5,Machine 5,14.66,premium,32.43,33.26,false
2025-01-11,Line A,Supplier 1,evening,364,Operator 2,Machine 2,36.37,premium,53.45,30.68,false
2025-08-22,Line D,Supplier 3,day,750,Operator 8,Machine 1,14.28,standard,50.43,25.85,true
2025-07-18,Line D,Supplier 5,day,963,Operator 2,Machine 5,20.48,premium,46.23,24.9,false
2024-07-26,Line A,Supplier 2,evening,208,Operator 1,Machine 5,34.38,premium,30.57,28.7,false
2025-04-12,Line C,Supplier 2,evening,847,Operator 4,Machine 4,36.19,standard,64.42,30.57,false
2025-03-15,Line B,Supplier 4,day,950,Operator 2,Machine 2,42.1,premium,72.45,21.34,true
2025-05-13,Line C,Supplier 2,day,358,Operator 1,Machine 5,33.93,premium,24.8,11.85,false
2025-12-07,Line A,Supplier 3,day,472,Operator 7,Machine 3,15.01,standard,55.36,30.58,false
2024-03-22,Line A,Supplier 3,night,493,Operator 8,Machine 2,19.99,premium,95.0,33.79,true
2025-07-31,Line D,Supplier 3,day,1201,Operator 2,Machine 6,46.65,standard,51.54,24.44,false
2025-12-26,Line B,Supplier 4,day,50,Operator 2,Machine 5,44.23,premium,76.69,20.42,false
2025-04-03,Line C,Supplier 4,night,81,Operator 5,Machine 5,15.01,premium,42.28,14.94,false
2024-08-16,Line C,Supplier 3,evening,760,Operator 2,Machine 2,7.25,standard,54.96,25.53,true
2024-05-18,Line C,Supplier 5,day,402,Operator 3,Machine 2,27.42,premium,42.97,35.56,true
2025-06-14,Line A,Supplier 1,night,462,Operator 1,Machine 5,40.0,premium,72.2,23.44,false
2025-07-16,Line A,Supplier 4,night,838,Operator 4,Machine 6,59.97,standard,57.28,21.57,false
2025-01-15,Line D,Supplier 2,night,459,Operator 1,Machine 1,31.61,premium,43.69,5.44,false
2024-06-15,Line C,Supplier 5,evening,574,Operator 2,Machine 6,23.09,premium,53.22,40.0,false
2024-10-20,Line D,Supplier 2,evening,200,Operator 7,Machine 1,38.01,premium,54.59,8.88,false
2025-05-11,Line B,Supplier 4,evening,798,Operator 2,Machine 2,26.14,standard,53.86,27.33,false
2025-05-25,Line A,Supplier 5,day,383,Operator 8,Machine 5,22.88,premium,62.41,6.22,false
2024-07-26,Line C,Supplier 3,evening,679,Operator 2,Machine 1,7.89,premium,56.04,14.68,false
2024-10-15,Line A,Supplier 2,day,449,Operator 6,Machine 3,25.81,premium,30.89,16.59,false
2024-02-04,Line B,Supplier 3,day,819,Operator 8,Machine 5,26.2,standard,57.53,36.89,false
2024-07-14,Line A,Supplier 5,night,50,Operator 2,Machine 6,33.39,premium,38.93,15.78,true
2024-10-05,Line A,Supplier 1,night,452,Operator 6,Machine 6,38.97,premium,31.4,33.54,false
2024-04-21,Line D,Supplier 4,night,457,Operator 3,Machine 5,31.05,standard,64.22,23.96,true
2024-07-05,Line D,Supplier 2,night,50,Operator 6,Machine 5,26.69,premium,57.47,32.76,false
2024-01-08,Line A,Supplier 5,evening,211,Operator 6,Machine 3,32.43,standard,73.4,21.45,true
2024-02-19,Line D,Supplier 4,night,935,Operator 2,Machine 6,30.86,premium,20.0,17.77,false
2024-01-06,Line A,Supplier 4,night,939,Operator 1,Machine 5,43.22,premium,52.77,18.81,false
2025-06-27,Line D,Supplier 2,night,749,Operator 2,Machine 1,9.71,premium,68.56,21.74,true
2025-07-17,Line B,Supplier 1,evening,1046,Operator 2,Machine 3,51.89,premium,53.64,22.59,false
2024-02-11,Line B,Supplier 3,day,719,Operator 2,Machine 4,29.66,standard,60.09,29.07,false
2024-02-24,Line B,Supplier 5,evening,276,Operator 7,Machine 5,38.22,standard,60.67,13.71,false
2024-03-16,Line A,Supplier 2,day,301,Operator 6,Machine 6,68.35,premium,67.0,12.86,false
2025-01-13,Line C,Supplier 3,night,1298,Operator 2,Machine 4,5.0,standard,66.7,26.53,false
2025-01-20,Line C,Supplier 3,day,631,Operator 7,Machine 3,15.57,premium,45.0,16.29,false
2024-02-21,Line D,Supplier 2,day,947,Operator 2,Machine 6,32.58,standard,51.24,22.76,false
2024-07-10,Line B,Supplier 4,evening,503,Operator 7,Machine 5,45.16,premium,48.37,31.34,true
2024-07-09,Line C,Supplier 1,night,147,Operator 2,Machine 5,22.6,premium,44.79,29.03,false
2025-12-15,Line A,Supplier 2,night,405,Operator 6,Machine 4,33.55,standard,54.16,13.81,true
2025-11-14,Line D,Supplier 2,night,1037,Operator 2,Machine 1,50.92,premium,49.73,25.16,false
2025-03-01,Line B,Supplier 1,day,230,Operator 2,Machine 5,58.48,standard,72.72,14.56,false
2024-10-04,Line A,Supplier 3,day,630,Operator 4,Machine 1,51.15,premium,35.47,18.18,false
2024-01-25,Line A,Supplier 3,night,1282,Operator 2,Machine 5,13.97,premium,31.52,17.27,false
2025-01-08,Line B,Supplier 5,night,414,Operator 4,Machine 6,32.74,premium,56.96,8.47,false
2024-03-29,Line B,Supplier 5,day,297,Operator 3,Machine 5,23.68,premium,36.25,23.84,false
2025-04-11,Line A,Supplier 2,evening,348,Operator 1,Machine 6,37.02,standard,51.48,24.52,false
2024-03-30,Line D,Supplier 4,day,491,Operator 1,Machine 4,29.16,premium,34.22,36.44,false
2025-02-21,Line B,Supplier 4,evening,478,Operator 3,Machine 2,31.83,premium,44.33,23.16,true
2025-07-03,Line D,Supplier 2,night,487,Operator 5,Machine 6,39.52,premium,44.73,16.55,true
2024-01-11,Line C,Supplier 4,night,452,Operator 5,Machine 6,34.97,premium,63.87,14.2,false
2024-02-27,Line D,Supplier 2,day,50,Operator 1,Machine 3,44.8,premium,42.92,23.24,false
2025-08-30,Line B,Supplier 5,evening,421,Operator 1,Machine 1,25.23,standard,63.74,13.68,false
2024-08-14,Line B,Supplier 2,day,360,Operator 4,Machine 1,39.9,premium,40.18,22.26,false
2025-03-16,Line B,Supplier 1,day,376,Operator 3,Machine 2,23.51,standard,66.12,19.93,false
2025-09-19,Line A,Supplier 5,evening,50,Operator 6,Machine 5,39.02,premium,63.91,28.9,false
2024-12-13,Line A,Supplier 3,night,651,Operator 1,Machine 6,20.59,premium,49.23,23.71,true
2024-01-23,Line C,Supplier 3,day,1002,Operator 3,Machine 5,14.37,premium,78.66,10.86,false
2024-01-15,Line C,Supplier 4,night,1337,Operator 2,Machine 2,37.21,standard,66.8,24.22,false
2024-02-10,Line A,Supplier 1,night,970,Operator 2,Machine 3,47.05,premium,40.99,27.27,false
2025-01-06,Line D,Supplier 3,day,265,Operator 4,Machine 3,14.14,premium,42.07,21.88,false
2024-07-18,Line C,Supplier 4,night,377,Operator 2,Machine 3,36.72,premium,45.94,17.2,false
2025-11-02,Line D,Supplier 2,evening,1049,Operator 2,Machine 4,22.4,premium,41.85,24.38,false
2024-06-29,Line B,Supplier 3,evening,241,Operator 1,Machine 2,43.99,premium,45.46,19.48,false
2025-10-29,Line C,Supplier 5,day,700,Operator 3,Machine 3,32.31,premium,32.42,17.63,false
2025-09-28,Line A,Supplier 2,night,755,Operator 3,Machine 3,33.27,standard,68.3,21.45,true
2024-06-01,Line B,Supplier 3,night,339,Operator 5,Machine 3,42.27,premium,43.99,24.31,false
2025-07-25,Line D,Supplier 1,night,725,Operator 5,Machine 3,33.79,premium,60.76,22.78,false
2025-02-28,Line D,Supplier 1,day,904,Operator 7,Machine 2,28.8,premium,57.84,26.34,false
2024-04-18,Line D,Supplier 3,night,438,Operator 8,Machine 1,40.8,premium,23.23,23.04,false
2024-11-15,Line A,Supplier 3,night,425,Operator 8,Machine 2,5.61,premium,28.91,11.71,false
2025-03-31,Line B,Supplier 5,evening,518,Operator 8,Machine 5,16.65,premium,39.28,21.79,false
2024-02-17,Line C,Supplier 5,day,470,Operator 2,Machine 4,38.42,premium,20.0,14.0,false
2025-06-27,Line B,Supplier 1,day,900,Operator 3,Machine 4,36.66,premium,48.51,14.72,false
2025-02-03,Line C,Supplier 1,evening,1224,Operator 3,Machine 6,14.62,premium,43.3,8.8,false
2025-08-17,Line B,Supplier 3,evening,430,Operator 3,Machine 3,24.07,premium,33.09,39.43,false
2025-09-12,Line B,Supplier 3,night,509,Operator 4,Machine 5,17.79,premium,38.14,16.93,true
2024-03-19,Line C,Supplier 3,evening,1124,Operator 2,Machine 3,16.48,premium,53.92,19.62,false
2025-12-21,Line A,Supplier 5,evening,494,Operator 7,Machine 1,25.59,premium,50.6,18.51,false
2025-11-20,Line C,Supplier 2,day,618,Operator 3,Machine 6,45.03,premium,43.38,16.93,false
2024-08-23,Line A,Supplier 4,day,651,Operator 3,Machine 2,28.33,premium,42.3,28.1,false
2025-07-18,Line B,Supplier 2,night,84,Operator 6,Machine 5,31.46,standard,57.59,20.15,false
2025-01-15,Line C,Supplier 3,day,882,Operator 7,Machine 6,30.04,standard,56.74,21.53,true
2025-11-24,Line B,Supplier 5,day,691,Operator 1,Machine 4,24.76,premium,60.82,32.58,true
2025-11-09,Line B,Supplier 4,night,1440,Operator 4,Machine 2,27.66,premium,32.0,16.1,false
2025-04-09,Line B,Supplier 4,night,50,Operator 5,Machine 5,42.84,premium,62.25,26.39,false
2025-06-29,Line A,Supplier 3,evening,951,Operator 2,Machine 5,15.48,premium,35.59,17.98,false
2025-10-01,Line A,Supplier 5,day,322,Operator 4,Machine 1,49.84,standard,87.65,15.37,false
2024-04-22,Line A,Supplier 2,day,434,Operator 7,Machine 5,36.08,premium,45.36,19.94,false
2025-02-12,Line D,Supplier 4,day,302,Operator 8,Machine 1,33.22,standard,57.62,12.64,false
2025-02-25,Line D,Supplier 5,evening,1120,Operator 2,Machine 5,33.99,premium,67.6,17.77,true
2025-07-06,Line B,Supplier 3,night,118,Operator 8,Machine 5,11.27,premium,37.08,15.25,false
2024-08-30,Line A,Supplier 2,evening,871,Operator 4,Machine 6,41.45,premium,41.69,26.24,true
2024-04-11,Line C,Supplier 3,day,713,Operator 6,Machine 1,13.58,standard,51.73,28.81,false
2025-11-21,Line A,Supplier 3,day,103,Operator 6,Machine 2,42.35,premium,44.85,10.29,false
2025-09-26,Line A,Supplier 3,evening,758,Operator 4,Machine 2,23.26,premium,51.9,18.28,false
2025-03-06,Line A,Supplier 3,night,797,Operator 3,Machine 1,12.73,standard,27.1,18.37,true
2024-02-14,Line B,Supplier 5,day,206,Operator 6,Machine 2,38.87,standard,71.16,18.54,false
