churned,mrr_lost_usd,support_cost_usd,csm_intervention_cost_usd,gross_margin_usd,net_contribution_usd,expansion_90d
false,0.0,0.0,0.0,27.05,26.57,true
false,0.0,0.0,15.28,91.6,73.73,true
false,0.0,0.0,5.68,23.83,17.68,false
true,382.23,0.0,7.52,-135.08,-147.59,
false,0.0,0.0,6.72,50.77,42.83,false
false,0.0,0.0,1.74,17.07,15.03,false
false,0.0,0.0,9.66,18.27,8.22,false
false,0.0,0.0,32.84,257.77,218.17,false
false,0.0,0.0,11.17,80.83,67.43,false
true,95.91,0.0,3.48,-30.59,-35.07,
false,0.0,0.0,0.0,70.94,69.37,false
false,0.0,0.0,21.05,379.76,352.27,false
false,0.0,0.0,2.92,21.75,18.45,true
false,0.0,0.0,0.96,250.41,243.56,false
true,39.74,0.0,0.0,-18.81,-19.33,false
false,0.0,0.0,13.37,174.14,154.43,true
false,0.0,0.0,14.12,167.44,149.06,true
false,0.0,0.0,10.69,17.83,6.75,false
false,0.0,0.0,3.9,13.24,8.78,false
false,0.0,0.0,3.48,46.6,42.32,false
false,0.0,0.0,13.68,22.18,8.06,false
false,0.0,0.0,10.46,92.81,80.52,false
false,0.0,0.0,4.68,22.77,17.56,false
false,0.0,0.0,29.06,17.85,-11.56,true
false,0.0,0.0,0.0,273.25,267.26,
false,0.0,0.0,1.23,11.97,10.4,false
false,0.0,0.0,26.13,65.71,38.0,true
false,0.0,0.0,0.0,23.24,22.77,false
true,39.75,0.0,4.96,-15.37,-20.98,
false,0.0,0.0,24.02,99.39,73.52,false
false,0.0,0.0,9.6,24.85,14.79,false
false,0.0,0.0,71.32,8.29,-63.57,true
true,19.37,0.0,12.16,-8.33,-20.88,true
true,421.72,0.0,20.62,-211.18,-237.35,true
false,0.0,0.0,15.07,27.72,12.23,true
false,0.0,0.0,5.5,17.69,11.93,false
false,0.0,0.0,0.0,29.6,29.06,true
false,0.0,0.0,12.27,89.76,75.69,false
false,0.0,0.0,75.98,150.53,68.78,true
false,0.0,0.0,8.49,462.59,445.99,false
false,0.0,0.0,0.0,13.56,13.31,
false,0.0,0.0,13.77,60.26,45.34,
false,0.0,0.0,22.01,78.91,55.48,false
false,0.0,0.0,12.73,10.94,-2.03,false
false,0.0,0.0,9.02,34.1,23.96,false
false,0.0,0.0,18.27,22.94,4.22,false
false,0.0,0.0,14.52,80.94,64.99,false
true,323.24,0.0,1.02,-99.84,-104.56,false
false,0.0,0.0,8.25,16.12,7.6,
false,0.0,0.0,10.2,100.6,88.43,true
false,0.0,0.0,5.91,154.42,145.61,false
false,0.0,0.0,13.74,92.82,77.56,false
false,0.0,0.0,12.54,55.74,41.48,false
false,0.0,0.0,0.0,16.03,15.36,true
false,0.0,0.0,15.24,260.36,239.72,true
false,0.0,0.0,8.32,67.68,57.88,false
false,0.0,0.0,23.32,8.28,-15.43,false
true,11.78,0.0,5.94,-4.79,-10.96,
false,0.0,0.0,27.48,99.06,69.8,false
false,0.0,0.0,0.0,104.73,102.51,true
false,0.0,0.0,0.0,53.86,52.73,
false,0.0,0.0,15.3,80.72,63.83,false
false,0.0,0.0,14.95,16.38,1.04,false
true,40.99,0.0,2.08,-13.25,-15.78,
false,0.0,0.0,3.21,69.15,64.01,
false,0.0,0.0,34.23,50.85,15.16,false
true,24.67,0.0,16.2,-7.0,-23.55,
false,0.0,0.0,2.51,228.44,220.92,true
false,0.0,0.0,19.3,13.06,-6.67,true
false,0.0,0.0,5.74,68.37,60.55,true
false,0.0,0.0,2.0,15.14,12.79,false
false,0.0,0.0,5.76,55.66,48.7,true
false,0.0,0.0,9.72,19.29,9.28,
false,0.0,0.0,0.0,110.81,108.91,false
false,0.0,0.0,7.91,216.25,204.29,false
false,0.0,0.0,7.71,91.2,81.98,false
false,0.0,0.0,0.0,25.11,24.65,false
false,0.0,0.0,20.18,65.37,43.71,true
false,0.0,0.0,15.12,19.42,3.88,false
false,0.0,0.0,14.2,47.64,32.52,true
false,0.0,0.0,3.69,28.02,23.82,true
false,0.0,0.0,0.0,74.61,72.91,false
false,0.0,0.0,10.45,296.69,280.03,false
false,0.0,0.0,10.53,18.53,7.62,false
false,0.0,0.0,0.0,15.54,15.14,false
false,0.0,0.0,2.86,12.0,8.69,true
false,0.0,0.0,30.76,234.88,198.84,
false,0.0,0.0,5.58,48.91,41.58,true
false,0.0,0.0,9.48,160.3,146.45,true
false,0.0,0.0,12.92,24.42,11.03,
false,0.0,0.0,8.37,14.4,5.57,
false,0.0,0.0,0.0,16.57,16.27,true
false,0.0,0.0,38.7,50.32,10.06,false
false,0.0,0.0,0.0,18.3,17.74,true
false,0.0,0.0,11.74,23.1,10.95,true
false,0.0,0.0,9.6,251.41,237.16,false
false,0.0,0.0,3.44,25.09,21.07,
false,0.0,0.0,12.5,296.44,276.72,true
false,0.0,0.0,0.0,75.34,73.72,true
true,25.22,0.0,45.54,-5.39,-51.33,
false,0.0,0.0,0.0,12.62,12.26,false
true,25.74,0.0,0.0,-8.55,-8.97,
false,0.0,0.0,0.28,410.97,404.16,false
false,0.0,0.0,8.73,240.29,226.43,false
false,0.0,0.0,24.38,9.42,-15.47,true
false,0.0,0.0,7.53,28.41,20.43,true
false,0.0,0.0,50.78,25.87,-25.32,true
false,0.0,0.0,1.57,30.46,27.31,true
false,0.0,0.0,0.0,75.21,73.83,true
false,0.0,0.0,3.31,45.59,41.02,false
false,0.0,0.0,7.03,12.75,5.5,true
false,0.0,0.0,11.06,12.55,0.98,false
true,109.49,0.0,0.67,-46.17,-48.23,
true,15.06,0.0,11.03,-3.09,-14.36,false
false,0.0,0.0,16.12,72.75,54.97,true
false,0.0,0.0,23.79,90.6,63.56,false
false,0.0,0.0,0.0,64.16,62.86,false
false,0.0,0.0,22.7,17.32,-5.69,false
false,0.0,0.0,0.16,27.81,27.09,true
false,0.0,0.0,11.09,28.73,17.13,true
false,0.0,0.0,0.0,12.19,11.91,true
false,0.0,0.0,7.39,95.77,86.67,false
false,0.0,0.0,3.42,38.8,33.5,false
false,0.0,0.0,15.2,52.6,36.33,false
false,0.0,0.0,6.78,86.83,78.26,false
false,0.0,0.0,0.0,54.25,52.78,false
false,0.0,0.0,1.27,12.81,10.48,false
false,0.0,0.0,4.99,16.93,11.59,false
true,563.08,14.71,45.25,-248.83,-319.64,false
false,0.0,0.0,0.0,16.49,16.21,false
true,27.47,0.0,26.24,-8.67,-35.24,false
false,0.0,0.0,36.53,8.27,-28.63,false
false,0.0,0.0,28.37,33.19,4.26,false
false,0.0,0.0,6.01,195.3,185.82,false
false,0.0,0.0,0.0,23.29,22.91,false
false,0.0,0.0,11.87,27.97,15.63,false
false,0.0,0.0,18.89,18.49,-0.84,true
false,0.0,0.0,0.0,258.9,249.26,false
false,0.0,0.0,0.0,25.49,25.03,true
false,0.0,0.0,9.28,11.99,2.24,false
false,0.0,0.0,0.0,58.13,57.19,true
false,0.0,0.0,9.85,86.75,75.09,true
false,0.0,0.0,9.24,15.45,5.9,false
false,0.0,0.0,19.66,75.14,53.97,
false,0.0,0.0,0.0,15.48,15.13,true
false,0.0,0.0,76.22,138.03,59.75,true
false,0.0,0.0,12.07,23.89,11.45,false
false,0.0,0.0,5.01,95.16,88.69,true
false,0.0,0.0,0.0,45.96,45.06,true
false,0.0,0.0,12.17,17.59,5.08,false
false,0.0,0.0,3.35,13.41,9.83,false
false,0.0,0.0,0.0,133.18,131.2,false
false,0.0,0.0,3.38,18.68,14.85,true
false,0.0,0.0,8.25,24.42,15.74,
false,0.0,0.0,32.68,23.2,-9.93,true
false,0.0,0.0,20.99,14.0,-7.3,true
false,0.0,0.0,0.0,369.6,364.0,false
false,0.0,0.0,0.0,12.66,12.38,
false,0.0,0.0,11.84,303.43,284.31,
false,0.0,0.0,0.0,30.38,29.91,true
false,0.0,0.0,0.0,11.63,11.39,false
false,0.0,0.0,0.0,19.1,18.74,false
false,0.0,0.0,4.64,13.58,8.53,false
false,0.0,0.0,8.94,17.1,7.78,false
false,0.0,0.0,0.0,44.17,42.99,true
false,0.0,0.0,11.14,179.34,162.21,false
false,0.0,0.0,0.0,27.02,26.08,true
false,0.0,12.76,18.89,86.36,53.44,false
false,0.0,0.0,0.0,6.24,6.01,true
false,0.0,0.0,5.89,93.41,86.1,true
false,0.0,0.0,21.14,337.69,309.6,true
false,0.0,0.0,0.4,21.22,20.42,true
false,0.0,0.0,8.53,86.5,76.11,false
true,30.52,0.0,9.32,-11.8,-21.69,false
false,0.0,0.0,8.11,95.44,82.78,true
false,0.0,0.0,25.4,20.17,-5.63,
false,0.0,0.0,8.16,18.13,9.52,false
false,0.0,0.0,15.72,80.72,63.69,
false,0.0,0.0,3.61,23.69,19.42,true
false,0.0,0.0,4.03,27.5,23.06,false
false,0.0,0.0,0.0,13.0,12.59,
false,0.0,0.0,26.36,108.31,80.03,false
false,0.0,0.0,4.9,79.24,72.97,true
false,0.0,0.0,6.72,36.37,29.1,false
false,0.0,0.0,9.97,26.12,15.76,false
false,0.0,0.0,9.26,18.69,9.07,false
false,0.0,0.0,14.0,20.42,6.1,false
false,0.0,0.0,4.93,20.36,15.01,false
true,543.09,0.0,25.3,-131.09,-163.1,false
false,0.0,0.0,0.32,14.92,14.2,false
false,0.0,0.0,15.12,49.64,33.37,false
false,0.0,0.0,21.17,15.33,-6.18,true
false,0.0,0.0,4.57,79.93,73.93,false
false,0.0,37.38,0.0,387.5,336.96,false
false,0.0,0.0,20.72,15.2,-5.92,false
false,0.0,0.0,10.04,20.79,10.37,false
false,0.0,0.0,3.42,471.26,458.1,false
false,0.0,0.0,7.26,17.58,9.9,false
false,0.0,0.0,4.38,82.13,76.0,false
false,0.0,0.0,0.27,14.7,14.03,false
false,0.0,0.0,37.68,8.77,-29.25,false
false,0.0,0.0,0.0,67.01,65.68,
false,0.0,0.0,13.46,27.97,14.08,false
false,0.0,0.0,4.47,12.22,7.31,false
false,0.0,0.0,0.0,8.73,8.46,false
true,29.15,0.0,0.0,-10.16,-10.6,
false,0.0,0.0,12.36,314.65,296.65,false
true,33.16,0.0,13.91,-9.86,-24.16,
false,0.0,0.0,6.11,221.83,211.4,true
false,0.0,0.0,6.63,16.49,9.56,false
false,0.0,0.0,26.43,344.35,311.03,false
false,0.0,0.0,13.66,22.21,8.13,true
false,0.0,0.0,0.0,19.91,19.43,
false,0.0,0.0,24.95,64.72,38.39,false
false,0.0,0.0,33.66,27.85,-6.33,false
false,0.0,0.0,0.0,24.37,23.95,false
false,0.0,0.0,20.32,16.33,-4.28,false
false,0.0,0.0,0.0,258.66,251.31,true
false,0.0,0.0,0.0,190.54,186.69,false
false,0.0,0.0,0.0,111.75,109.88,false
false,0.0,0.0,30.73,75.9,43.15,true
false,0.0,0.0,10.66,101.35,88.17,
false,0.0,0.0,0.0,33.56,31.93,false
false,0.0,0.0,6.92,78.79,70.6,false
false,0.0,0.0,0.0,71.22,69.8,true
true,32.07,0.0,2.14,-11.77,-14.41,false
false,0.0,0.0,12.37,16.59,3.9,false
false,0.0,0.0,0.0,284.81,279.72,false
false,0.0,0.0,12.5,22.98,10.06,true
true,29.59,0.0,31.11,-13.26,-44.71,
false,0.0,0.0,0.0,52.01,50.15,true
false,0.0,0.0,0.0,12.82,12.5,false
false,0.0,0.0,0.0,21.13,20.76,true
false,0.0,0.0,9.26,7.04,-2.6,false
true,525.15,0.0,18.5,-178.33,-203.47,true
false,0.0,0.0,34.61,63.18,27.21,true
false,0.0,9.68,8.02,28.09,9.83,
false,0.0,0.0,0.0,14.78,14.48,false
false,0.0,0.0,0.0,20.91,20.56,false
false,0.0,0.0,1.71,318.49,311.4,false
false,0.0,0.0,20.56,4.12,-16.7,false
false,0.0,0.0,0.0,19.24,18.81,true
false,0.0,0.0,11.4,41.03,28.82,false
false,0.0,0.0,8.59,9.22,0.27,true
false,0.0,0.0,17.75,73.9,54.67,true
false,0.0,0.0,17.93,14.69,-3.51,false
false,0.0,0.0,2.89,306.79,298.2,true
false,0.0,0.0,1.16,18.05,16.56,true
false,0.0,0.0,2.92,12.37,9.04,false
false,0.0,0.0,3.0,22.38,18.94,false
false,0.0,0.0,15.56,21.97,5.94,false
false,0.0,0.0,56.21,190.88,130.67,false
false,0.0,0.0,30.03,35.63,5.03,false
false,0.0,0.0,6.29,94.82,86.81,true
false,0.0,0.0,0.0,15.34,15.03,false
false,0.0,0.0,4.88,68.87,62.83,false
false,0.0,0.0,15.56,46.59,29.67,true
false,0.0,0.0,1.65,87.86,84.34,false
false,0.0,0.0,6.67,18.36,11.28,false
false,0.0,0.0,2.23,20.16,17.46,false
false,0.0,0.0,18.45,18.01,-0.81,false
false,0.0,0.0,11.18,31.16,19.35,true
false,0.0,0.0,0.0,78.95,77.39,false
false,0.0,0.0,15.5,20.46,4.6,true
false,0.0,0.0,16.08,14.68,-1.82,false
false,0.0,0.0,3.18,15.71,12.25,false
true,25.35,0.0,33.04,-6.51,-39.88,true
false,0.0,0.0,18.1,12.36,-6.03,false
false,0.0,0.0,3.33,18.0,14.35,
true,422.69,0.0,1.97,-175.18,-181.97,false
false,0.0,0.0,22.27,19.3,-3.36,true
false,0.0,0.0,0.0,7.63,7.15,
false,0.0,0.0,3.8,232.68,224.0,false
false,0.0,0.0,0.0,462.09,454.04,false
false,0.0,0.0,12.67,409.17,388.49,true
false,0.0,0.0,0.27,66.89,63.21,false
false,0.0,0.0,0.0,14.95,14.63,false
true,40.3,0.0,0.0,-10.74,-11.21,
false,0.0,0.0,16.18,76.67,59.22,false
false,0.0,0.0,23.42,75.8,50.77,true
false,0.0,0.0,0.0,51.7,50.32,false
false,0.0,11.91,10.11,24.13,1.7,false
false,0.0,0.0,2.32,18.27,15.61,false
false,0.0,0.0,26.08,367.34,335.18,
false,0.0,0.0,0.0,15.13,14.68,false
false,0.0,0.0,16.63,27.51,10.43,false
false,0.0,0.0,11.77,13.76,1.71,true
false,0.0,0.0,11.62,16.16,4.07,false
false,0.0,0.0,31.88,23.53,-8.77,true
false,0.0,0.0,8.22,19.43,10.77,false
false,0.0,0.0,3.84,54.97,49.98,false
false,0.0,0.0,19.58,19.02,-0.98,true
false,0.0,0.0,6.7,76.58,67.28,false
false,0.0,0.0,0.33,73.01,71.32,
false,0.0,0.0,13.38,80.14,65.28,true
false,0.0,0.0,10.28,17.18,6.44,false
false,0.0,0.0,7.55,28.22,19.98,true
false,0.0,0.0,0.0,33.41,32.5,false
false,0.0,0.0,0.0,14.84,14.45,false
false,0.0,0.0,4.4,141.99,131.2,true
false,0.0,0.0,0.0,23.65,23.22,false
false,0.0,0.0,6.95,220.31,209.35,false
false,0.0,0.0,9.73,8.04,-2.05,false
false,0.0,0.0,0.0,11.19,10.94,false
false,0.0,0.0,5.62,19.44,13.49,false
false,0.0,0.0,6.27,86.35,78.63,true
false,0.0,0.0,8.99,75.46,65.0,true
false,0.0,0.0,25.68,117.37,89.81,true
false,0.0,0.0,33.94,17.53,-16.72,false
true,69.1,0.0,30.94,-18.4,-50.25,false
false,0.0,0.0,35.83,14.54,-21.69,false
false,0.0,0.0,16.94,21.51,4.15,false
false,0.0,0.0,12.74,20.51,7.31,false
false,0.0,0.0,0.0,211.61,205.61,true
false,0.0,0.0,30.62,248.33,213.2,false
false,0.0,0.0,0.0,21.02,20.46,true
false,0.0,0.0,0.0,72.24,70.44,false
false,0.0,0.0,0.57,11.58,10.66,true
false,0.0,0.0,14.02,14.59,0.06,true
false,0.0,0.0,0.34,143.38,135.78,false
false,0.0,0.0,0.0,77.14,75.43,true
false,0.0,0.0,0.0,18.75,18.25,true
false,0.0,0.0,24.06,81.78,56.26,true
false,0.0,0.0,8.52,26.53,17.54,false
false,0.0,0.0,29.15,8.02,-21.38,false
false,0.0,18.67,0.0,171.67,148.67,false
false,0.0,0.0,21.53,24.38,1.67,false
false,0.0,0.0,0.0,10.17,9.83,
false,0.0,0.0,34.21,18.01,-16.61,false
false,0.0,0.0,5.21,24.65,18.53,false
false,0.0,0.0,4.26,22.16,17.51,true
false,0.0,0.0,1.77,17.59,15.43,
false,0.0,0.0,30.98,27.11,-4.59,
false,0.0,0.0,4.44,31.66,26.46,false
false,0.0,0.0,25.34,135.1,106.02,false
false,0.0,0.0,38.83,368.49,323.18,false
false,0.0,0.0,6.04,105.48,97.83,false
false,0.0,0.0,1.08,103.76,100.65,false
false,0.0,0.0,0.08,30.41,29.8,false
false,0.0,0.0,6.66,24.41,17.31,true
false,0.0,0.0,48.25,22.5,-26.18,true
false,0.0,0.0,3.1,16.46,13.05,false
false,0.0,0.0,0.0,16.48,16.12,true
false,0.0,18.12,17.05,293.95,252.9,true
true,730.0,0.0,7.6,-245.18,-261.27,false
false,0.0,0.0,5.12,259.46,248.86,true
false,0.0,0.0,6.19,18.53,11.93,true
false,0.0,0.0,18.31,12.3,-6.31,false
false,0.0,0.0,24.23,103.39,77.52,true
false,0.0,0.0,14.54,81.69,65.35,true
false,0.0,0.0,1.24,291.55,284.64,false
false,0.0,0.0,17.29,12.16,-5.44,false
false,0.0,0.0,6.44,17.81,11.07,false
false,0.0,0.0,21.67,55.38,32.35,true
false,0.0,0.0,30.13,19.39,-11.22,true
false,0.0,0.0,0.55,63.64,61.65,false
false,0.0,0.0,0.98,14.94,13.64,true
false,0.0,0.0,16.92,14.74,-2.42,false
false,0.0,0.0,1.61,250.83,244.64,false
false,0.0,0.0,10.4,26.85,16.01,
false,0.0,0.0,8.54,101.94,91.44,false
false,0.0,0.0,8.34,249.56,235.09,false
false,0.0,0.0,1.74,11.31,9.2,false
false,0.0,0.0,3.75,74.54,69.36,false
false,0.0,0.0,15.9,237.76,214.57,false
false,0.0,0.0,0.0,26.59,26.12,false
false,0.0,0.0,13.17,99.75,84.62,true
false,0.0,0.0,21.73,113.26,89.54,false
false,0.0,0.0,16.28,17.13,0.47,false
false,0.0,0.0,14.36,6.41,-8.33,false
false,0.0,0.0,12.18,56.6,43.08,true
false,0.0,0.0,34.97,59.2,22.87,false
false,0.0,0.0,9.05,256.29,242.58,true
false,0.0,0.0,5.79,375.83,363.66,true
false,0.0,0.0,0.0,20.33,20.02,true
false,0.0,0.0,1.14,15.65,14.14,false
false,0.0,0.0,1.76,43.62,40.94,false
false,0.0,0.0,2.55,50.78,47.29,true
false,0.0,0.0,11.16,66.68,53.87,false
false,0.0,0.0,5.41,25.32,19.41,
false,0.0,0.0,3.29,15.44,11.68,false
false,0.0,0.0,13.63,30.5,16.06,true
false,0.0,0.0,0.0,20.47,20.08,false
false,0.0,0.0,25.54,15.45,-10.36,false
false,0.0,0.0,17.6,25.55,6.4,false
false,0.0,0.0,8.54,19.58,10.62,false
false,0.0,0.0,2.74,47.68,43.73,true
false,0.0,0.0,0.0,31.96,31.26,false
false,0.0,0.0,17.23,388.38,359.92,false
true,420.45,9.87,2.71,-164.71,-183.37,true
false,0.0,0.0,0.0,25.99,25.59,false
false,0.0,0.0,8.98,78.51,68.09,false
false,0.0,0.0,0.0,19.97,19.61,false
false,0.0,0.0,0.0,17.78,17.42,
false,0.0,0.0,6.37,407.36,392.89,false
false,0.0,0.0,0.0,12.91,12.6,false
false,0.0,0.0,3.63,104.18,98.93,false
false,0.0,0.0,11.37,18.62,6.81,false
true,351.39,0.0,10.61,-114.91,-130.43,true
false,0.0,0.0,4.54,17.84,12.95,true
false,0.0,0.0,1.86,97.85,94.34,true
false,0.0,0.0,9.07,89.26,78.76,true
false,0.0,0.0,4.78,83.98,77.21,false
false,0.0,0.0,12.68,43.63,29.86,false
false,0.0,0.0,0.0,70.52,69.18,false
false,0.0,0.0,1.55,70.29,67.27,false
false,0.0,0.0,2.8,26.28,23.02,false
false,0.0,0.0,0.0,14.86,14.4,false
false,0.0,0.0,0.0,22.29,21.79,true
false,0.0,0.0,10.49,30.68,19.7,true
false,0.0,0.0,25.31,249.46,218.71,false
false,0.0,0.0,0.68,26.68,25.18,true
false,0.0,0.0,9.6,18.51,6.99,false
false,0.0,0.0,8.94,22.43,13.05,false
false,0.0,0.0,9.58,10.91,1.08,false
false,0.0,0.0,9.38,34.08,23.91,false
false,0.0,0.0,7.64,88.09,79.05,false
false,0.0,0.0,0.0,70.18,69.04,false
false,0.0,0.0,21.06,11.7,-9.83,true
false,0.0,0.0,0.0,31.76,31.23,false
false,0.0,0.0,37.48,486.99,440.25,true
false,0.0,0.0,14.73,43.29,26.98,true
false,0.0,0.0,4.55,307.14,295.56,true
false,0.0,0.0,7.7,22.3,14.15,false
false,0.0,0.0,0.0,18.29,17.99,false
false,0.0,0.0,5.61,155.78,144.84,false
false,0.0,0.0,6.17,276.07,264.08,true
false,0.0,0.0,0.0,81.37,79.96,true
false,0.0,0.0,0.0,14.06,13.71,false
false,0.0,0.0,0.0,15.74,15.46,true
false,0.0,37.62,40.28,10.7,-67.65,false
false,0.0,0.0,0.0,60.21,58.37,false
false,0.0,0.0,0.0,65.58,62.57,false
false,0.0,0.0,0.0,20.3,19.43,false
false,0.0,0.0,6.54,19.94,13.05,false
false,0.0,0.0,7.69,132.28,120.1,false
