signup_date,plan_tier,billing_cycle,seat_count,mrr_usd,discount_pct,acquisition_channel,signup_source_device,industry,company_size_band,account_owner,onboarding_track,trial_used,payment_method,integrations_connected
2024-12-11,enterprise,annual,107,728.49,0.05,paid,desktop,finance,large,Owner 4,white_glove,false,ach,3
2024-09-19,pro,annual,14,117.58,0.15,paid,desktop,manufacturing,small,Owner 1,guided,true,invoice,1
2024-09-13,enterprise,monthly,18,436.53,0.2,paid,mobile,technology,large,Owner 6,white_glove,true,ach,1
2024-12-25,enterprise,annual,48,548.93,0.0,paid,mobile,finance,small,Owner 2,white_glove,true,invoice,4
2024-12-04,pro,annual,10,141.04,0.15,outbound_sales,desktop,healthcare,small,Owner 1,guided,false,card,1
2024-12-11,pro,annual,17,178.76,0.05,outbound_sales,mobile,technology,small,Owner 4,self_serve,false,invoice,1
2025-11-08,pro,annual,6,149.04,0.2,organic,mobile,retail,small,Owner 7,self_serve,false,ach,3
2024-08-29,pro,monthly,21,179.85,0.15,partner,desktop,retail,small,Owner 7,guided,false,card,0
2025-12-04,pro,monthly,23,164.39,0.4,paid,desktop,finance,small,Owner 7,self_serve,false,card,3
2025-04-29,pro,annual,12,126.58,0.1,partner,desktop,retail,small,Owner 4,self_serve,false,card,5
2025-10-02,starter,annual,2,45.03,0.0,organic,desktop,technology,small,Owner 8,guided,true,invoice,1
2025-07-03,enterprise,annual,35,500.62,0.15,outbound_sales,desktop,manufacturing,small,Owner 7,self_serve,false,ach,2
2024-05-15,pro,monthly,22,170.43,0.15,outbound_sales,mobile,healthcare,small,Owner 6,white_glove,false,ach,4
2024-11-04,starter,annual,1,27.66,0.15,paid,desktop,finance,large,Owner 2,guided,true,card,1
2024-01-24,starter,monthly,5,45.05,0.0,partner,desktop,finance,medium,Owner 3,self_serve,false,ach,1
2024-08-11,starter,monthly,2,36.74,0.05,outbound_sales,mobile,retail,small,Owner 8,guided,true,card,2
2024-10-10,starter,monthly,2,36.14,0.05,organic,desktop,healthcare,medium,Owner 1,white_glove,true,invoice,2
2024-09-30,pro,annual,24,211.93,0.05,outbound_sales,desktop,technology,small,Owner 8,self_serve,true,ach,2
2025-04-22,pro,monthly,19,194.79,0.4,organic,mobile,finance,medium,Owner 1,guided,false,ach,0
2024-09-30,enterprise,monthly,42,609.17,0.1,outbound_sales,desktop,healthcare,large,Owner 2,guided,true,card,4
2025-11-14,starter,monthly,3,49.65,0.0,paid,desktop,manufacturing,small,Owner 2,white_glove,true,card,1
2025-02-10,starter,annual,1,33.7,0.2,partner,desktop,technology,small,Owner 5,guided,false,card,2
2024-03-25,pro,monthly,20,127.82,0.05,outbound_sales,desktop,manufacturing,small,Owner 8,white_glove,false,invoice,2
2025-04-13,pro,monthly,14,141.63,0.1,paid,desktop,manufacturing,small,Owner 3,guided,true,invoice,2
2024-03-09,starter,annual,2,32.94,0.0,paid,desktop,manufacturing,small,Owner 1,self_serve,true,invoice,0
2024-08-09,starter,annual,1,46.32,0.2,outbound_sales,desktop,healthcare,small,Owner 3,guided,true,card,1
2025-10-29,pro,annual,16,168.25,0.1,partner,desktop,technology,medium,Owner 1,guided,false,invoice,3
2024-08-07,pro,monthly,11,113.8,0.0,organic,desktop,technology,medium,Owner 2,self_serve,true,invoice,2
2024-06-17,pro,monthly,8,117.66,0.4,paid,desktop,manufacturing,small,Owner 2,self_serve,false,card,2
2025-01-16,starter,annual,5,43.12,0.0,organic,desktop,finance,medium,Owner 7,white_glove,true,card,4
2025-09-12,enterprise,annual,63,480.71,0.4,paid,desktop,finance,small,Owner 2,guided,true,invoice,4
2025-01-27,enterprise,annual,75,643.17,0.0,organic,desktop,manufacturing,medium,Owner 3,white_glove,true,invoice,1
2025-07-29,pro,monthly,13,118.4,0.1,organic,mobile,manufacturing,small,Owner 8,self_serve,true,invoice,3
2025-07-16,pro,monthly,3,108.94,0.0,outbound_sales,mobile,healthcare,small,Owner 4,guided,true,invoice,4
2024-06-01,starter,annual,4,45.93,0.1,paid,desktop,technology,small,Owner 6,self_serve,false,card,5
2025-03-05,pro,annual,18,157.28,0.0,paid,desktop,manufacturing,small,Owner 2,self_serve,true,card,2
2025-10-18,enterprise,annual,55,525.79,0.4,paid,mobile,technology,small,Owner 2,self_serve,false,card,2
2025-09-29,enterprise,annual,72,563.58,0.0,outbound_sales,desktop,retail,large,Owner 2,white_glove,true,invoice,1
2025-12-21,starter,monthly,5,45.02,0.15,paid,desktop,manufacturing,large,Owner 1,white_glove,true,ach,4
2024-07-30,starter,monthly,4,38.76,0.3,organic,desktop,finance,small,Owner 8,guided,true,card,2
2024-02-15,pro,annual,18,174.65,0.0,outbound_sales,desktop,manufacturing,small,Owner 1,guided,false,invoice,4
2024-11-16,pro,monthly,10,150.25,0.3,organic,desktop,technology,small,Owner 6,self_serve,true,ach,3
2024-02-06,pro,annual,11,139.05,0.15,partner,desktop,finance,small,Owner 1,self_serve,false,card,2
2025-04-18,starter,annual,3,37.65,0.2,organic,desktop,technology,small,Owner 5,guided,true,card,0
2024-12-15,pro,annual,15,137.43,0.2,paid,desktop,retail,medium,Owner 3,white_glove,false,card,0
2025-04-28,enterprise,monthly,79,942.1,0.4,paid,mobile,finance,small,Owner 2,white_glove,true,ach,0
2025-07-13,pro,monthly,20,127.57,0.4,paid,desktop,technology,small,Owner 4,self_serve,false,card,5
2025-05-30,starter,monthly,5,44.39,0.0,organic,desktop,finance,medium,Owner 2,self_serve,false,ach,0
2025-04-17,starter,monthly,3,41.9,0.1,organic,mobile,technology,medium,Owner 2,guided,true,invoice,5
2024-11-26,enterprise,annual,42,350.29,0.1,organic,desktop,healthcare,small,Owner 6,white_glove,true,card,0
2024-11-28,starter,monthly,3,36.96,0.3,outbound_sales,desktop,finance,small,Owner 3,white_glove,true,ach,2
2025-08-19,pro,annual,11,178.29,0.0,outbound_sales,desktop,retail,medium,Owner 6,guided,false,card,1
2024-12-14,starter,monthly,3,35.17,0.1,organic,desktop,healthcare,large,Owner 2,white_glove,true,card,3
2025-05-10,pro,monthly,8,103.15,0.0,paid,desktop,manufacturing,small,Owner 5,self_serve,true,card,0
2024-06-12,starter,annual,2,32.28,0.15,partner,desktop,retail,large,Owner 2,white_glove,false,card,5
2024-01-24,starter,monthly,4,50.49,0.3,paid,desktop,technology,medium,Owner 3,self_serve,true,card,1
2024-04-28,starter,monthly,4,51.66,0.2,partner,desktop,technology,medium,Owner 3,white_glove,true,card,1
2025-06-15,starter,annual,3,43.76,0.05,organic,desktop,healthcare,small,Owner 2,self_serve,true,invoice,0
2025-01-11,starter,monthly,4,37.55,0.3,partner,desktop,technology,medium,Owner 2,guided,false,card,5
2024-08-03,starter,monthly,1,26.57,0.0,partner,desktop,technology,medium,Owner 4,self_serve,true,card,2
2024-03-28,pro,annual,23,177.65,0.0,paid,desktop,technology,small,Owner 7,self_serve,true,invoice,1
2025-12-08,pro,monthly,3,132.29,0.3,partner,desktop,manufacturing,small,Owner 1,self_serve,false,ach,2
2025-06-23,starter,monthly,3,45.41,0.1,organic,desktop,healthcare,small,Owner 6,white_glove,true,card,2
2025-09-16,starter,monthly,2,34.12,0.05,organic,mobile,technology,small,Owner 8,guided,true,ach,4
2024-06-28,starter,annual,1,28.78,0.15,organic,desktop,retail,small,Owner 2,self_serve,false,ach,2
2025-04-17,enterprise,monthly,91,766.52,0.15,organic,mobile,finance,large,Owner 1,white_glove,true,card,1
2025-12-05,pro,annual,7,101.15,0.4,partner,mobile,technology,small,Owner 6,guided,false,card,6
2025-05-10,pro,annual,15,131.36,0.0,paid,desktop,manufacturing,large,Owner 4,white_glove,false,card,2
2025-12-23,enterprise,monthly,12,564.13,0.05,organic,desktop,finance,large,Owner 7,self_serve,true,card,1
2024-10-17,pro,monthly,24,172.02,0.1,outbound_sales,desktop,manufacturing,small,Owner 2,guided,false,card,0
2024-06-28,pro,monthly,12,135.82,0.0,partner,desktop,retail,medium,Owner 3,self_serve,false,ach,2
2024-03-20,pro,monthly,7,133.53,0.1,partner,desktop,finance,small,Owner 1,white_glove,false,card,3
2024-06-13,enterprise,monthly,20,257.07,0.3,partner,desktop,retail,medium,Owner 5,guided,true,ach,0
2025-05-02,starter,monthly,3,39.66,0.2,organic,desktop,retail,small,Owner 5,white_glove,false,card,3
2025-08-12,starter,annual,2,36.46,0.0,outbound_sales,desktop,technology,small,Owner 6,guided,false,card,0
2025-04-27,enterprise,monthly,39,561.71,0.2,partner,desktop,finance,large,Owner 3,white_glove,true,invoice,2
2025-02-07,enterprise,monthly,34,425.03,0.1,organic,desktop,finance,small,Owner 2,guided,false,invoice,5
2025-07-09,pro,monthly,4,68.86,0.3,partner,desktop,retail,medium,Owner 3,self_serve,false,ach,5
2025-11-24,starter,monthly,4,41.64,0.3,organic,desktop,technology,small,Owner 6,self_serve,false,card,2
2025-09-23,pro,monthly,10,176.12,0.15,organic,desktop,retail,large,Owner 1,white_glove,true,card,1
2025-04-08,enterprise,annual,56,564.06,0.15,organic,desktop,technology,medium,Owner 7,white_glove,false,card,2
2025-07-18,pro,monthly,20,163.19,0.0,partner,desktop,manufacturing,medium,Owner 6,self_serve,true,card,0
2025-07-04,pro,annual,4,119.9,0.0,partner,desktop,technology,medium,Owner 5,self_serve,false,card,1
2025-09-04,starter,monthly,4,43.66,0.1,organic,desktop,manufacturing,small,Owner 4,guided,false,ach,2
2025-04-01,starter,annual,5,43.51,0.1,paid,mobile,technology,large,Owner 3,white_glove,true,invoice,0
2024-01-21,pro,annual,14,180.05,0.0,outbound_sales,desktop,finance,medium,Owner 5,self_serve,true,card,0
2025-11-07,pro,monthly,24,172.21,0.05,organic,desktop,finance,medium,Owner 8,self_serve,true,invoice,3
2025-10-15,pro,annual,18,166.96,0.1,organic,mobile,retail,small,Owner 3,white_glove,false,ach,1
2024-08-09,starter,annual,4,40.07,0.0,outbound_sales,mobile,retail,medium,Owner 1,guided,true,invoice,4
2024-04-07,starter,monthly,2,35.77,0.15,paid,mobile,technology,small,Owner 6,white_glove,false,ach,3
2025-05-31,starter,monthly,1,31.09,0.1,organic,mobile,healthcare,medium,Owner 1,self_serve,true,card,0
2025-10-29,starter,monthly,4,43.59,0.15,organic,desktop,technology,small,Owner 8,guided,false,invoice,0
2025-11-20,starter,annual,2,36.46,0.05,outbound_sales,desktop,healthcare,small,Owner 4,white_glove,false,card,1
2024-04-01,pro,monthly,22,162.89,0.15,paid,desktop,technology,medium,Owner 5,guided,true,invoice,1
2025-01-03,enterprise,monthly,93,656.65,0.3,paid,desktop,manufacturing,medium,Owner 2,self_serve,true,card,2
2024-09-09,pro,monthly,3,93.8,0.0,partner,desktop,technology,medium,Owner 2,guided,true,invoice,2
2025-10-05,enterprise,monthly,1,314.43,0.15,partner,desktop,retail,small,Owner 7,self_serve,true,card,4
2025-08-24,enterprise,monthly,41,456.16,0.0,organic,mobile,finance,large,Owner 2,white_glove,true,card,3
2024-01-08,enterprise,monthly,61,583.7,0.1,paid,desktop,technology,large,Owner 1,self_serve,false,card,1
2025-11-05,pro,annual,15,155.94,0.1,paid,desktop,technology,small,Owner 8,self_serve,false,card,1
2024-02-16,starter,monthly,4,48.75,0.05,partner,desktop,finance,medium,Owner 1,white_glove,true,card,1
2025-04-05,pro,annual,25,184.79,0.1,paid,mobile,manufacturing,medium,Owner 8,self_serve,false,invoice,5
2025-07-08,starter,annual,3,47.51,0.15,organic,desktop,healthcare,medium,Owner 6,self_serve,true,invoice,4
2025-05-27,enterprise,annual,9,499.25,0.05,organic,desktop,healthcare,large,Owner 2,self_serve,true,ach,2
2025-01-28,pro,monthly,8,122.83,0.2,paid,desktop,technology,medium,Owner 3,self_serve,false,ach,2
2024-06-27,starter,monthly,1,30.18,0.05,outbound_sales,mobile,retail,medium,Owner 3,self_serve,true,invoice,4
2024-09-04,starter,annual,2,37.8,0.15,partner,desktop,healthcare,medium,Owner 8,guided,true,card,4
2025-01-31,enterprise,annual,83,676.21,0.2,paid,desktop,technology,small,Owner 2,white_glove,false,ach,2
2025-08-22,pro,annual,13,159.29,0.1,organic,desktop,manufacturing,large,Owner 1,white_glove,true,card,5
2024-06-13,pro,monthly,4,99.67,0.0,organic,desktop,healthcare,medium,Owner 1,guided,true,card,2
2024-11-21,pro,monthly,18,156.72,0.1,outbound_sales,desktop,technology,medium,Owner 6,guided,true,invoice,2
2024-07-31,enterprise,monthly,50,643.45,0.05,paid,desktop,finance,small,Owner 6,guided,false,invoice,2
2025-04-14,starter,monthly,5,39.02,0.0,paid,desktop,manufacturing,medium,Owner 4,guided,true,ach,1
2025-02-11,enterprise,annual,37,589.44,0.15,outbound_sales,desktop,manufacturing,small,Owner 2,guided,false,invoice,0
2025-01-01,starter,annual,4,51.73,0.2,partner,mobile,manufacturing,small,Owner 4,white_glove,false,card,2
2024-06-22,enterprise,annual,55,634.02,0.3,paid,desktop,retail,small,Owner 2,self_serve,false,card,3
2024-08-10,enterprise,monthly,15,426.23,0.2,organic,mobile,retail,small,Owner 3,white_glove,false,card,0
2024-05-22,starter,annual,4,38.52,0.15,paid,desktop,technology,small,Owner 8,white_glove,true,card,0
2025-01-03,starter,annual,4,39.85,0.3,outbound_sales,desktop,retail,small,Owner 2,white_glove,true,card,5
2025-06-11,pro,monthly,4,80.74,0.1,outbound_sales,desktop,technology,medium,Owner 6,guided,true,card,3
2025-04-17,starter,monthly,3,44.09,0.1,organic,desktop,finance,small,Owner 1,guided,false,invoice,4
2024-08-07,pro,annual,16,182.41,0.15,partner,mobile,finance,medium,Owner 7,white_glove,false,card,0
2024-12-02,starter,annual,4,53.15,0.15,organic,desktop,finance,large,Owner 2,white_glove,false,card,2
2025-05-10,starter,monthly,3,35.43,0.15,paid,desktop,finance,small,Owner 8,white_glove,false,invoice,3
2025-01-09,enterprise,monthly,64,599.61,0.15,paid,desktop,technology,large,Owner 1,guided,true,ach,3
2025-10-12,starter,annual,5,33.03,0.3,organic,desktop,technology,small,Owner 8,white_glove,false,invoice,3
2024-07-26,pro,monthly,15,158.35,0.15,partner,mobile,technology,medium,Owner 2,self_serve,false,ach,0
2024-07-26,starter,monthly,4,46.17,0.1,organic,desktop,finance,medium,Owner 1,self_serve,true,ach,4
2025-05-03,starter,monthly,4,47.14,0.05,organic,desktop,manufacturing,small,Owner 5,white_glove,false,invoice,5
2024-03-20,pro,monthly,22,185.43,0.05,partner,mobile,retail,medium,Owner 2,self_serve,false,card,4
2025-04-19,starter,monthly,1,45.85,0.1,paid,desktop,healthcare,large,Owner 2,white_glove,true,card,2
2025-05-26,starter,monthly,3,39.09,0.4,outbound_sales,mobile,manufacturing,small,Owner 2,self_serve,false,ach,5
2025-03-08,starter,annual,4,38.73,0.3,organic,desktop,retail,small,Owner 4,white_glove,true,card,4
2024-06-06,enterprise,annual,46,554.59,0.2,partner,desktop,manufacturing,large,Owner 3,white_glove,true,card,0
2024-10-06,starter,monthly,5,42.36,0.0,organic,desktop,technology,medium,Owner 5,guided,true,card,3
2025-01-13,starter,monthly,1,26.08,0.0,paid,desktop,finance,medium,Owner 7,guided,true,invoice,2
2025-07-09,starter,annual,5,53.86,0.1,outbound_sales,desktop,finance,medium,Owner 1,self_serve,true,card,3
2024-02-24,pro,monthly,20,179.51,0.05,paid,desktop,retail,small,Owner 5,white_glove,false,invoice,4
2024-11-03,enterprise,annual,60,577.19,0.3,organic,desktop,manufacturing,medium,Owner 2,white_glove,false,card,0
2025-09-12,enterprise,annual,85,810.39,0.0,outbound_sales,desktop,finance,small,Owner 5,guided,false,ach,0
2025-02-18,starter,annual,1,24.12,0.1,paid,desktop,retail,small,Owner 1,white_glove,true,card,0
2025-10-31,pro,monthly,7,114.36,0.05,partner,desktop,healthcare,small,Owner 3,self_serve,false,invoice,1
2025-07-07,pro,monthly,21,142.67,0.1,paid,desktop,healthcare,small,Owner 3,guided,false,invoice,2
2024-12-24,starter,monthly,2,24.15,0.2,partner,desktop,retail,small,Owner 6,white_glove,false,ach,0
2025-11-14,pro,annual,8,111.86,0.3,organic,mobile,finance,large,Owner 2,white_glove,true,invoice,0
2025-12-01,starter,monthly,4,45.1,0.15,paid,desktop,healthcare,large,Owner 4,guided,true,card,1
2025-03-09,pro,annual,12,143.43,0.0,partner,desktop,healthcare,medium,Owner 8,white_glove,false,card,3
2025-12-11,enterprise,annual,30,370.1,0.0,outbound_sales,desktop,technology,small,Owner 2,self_serve,false,ach,1
2024-04-14,starter,monthly,1,26.65,0.05,outbound_sales,desktop,retail,medium,Owner 5,guided,true,card,1
2025-03-24,pro,monthly,25,197.45,0.05,organic,desktop,finance,large,Owner 2,self_serve,true,ach,2
2024-07-10,enterprise,annual,1,290.51,0.05,organic,desktop,retail,medium,Owner 1,white_glove,true,invoice,2
2025-01-02,pro,monthly,10,152.09,0.05,outbound_sales,desktop,technology,small,Owner 3,white_glove,false,card,0
2024-08-25,pro,monthly,24,172.28,0.3,paid,desktop,healthcare,small,Owner 2,self_serve,true,card,1
2025-06-19,starter,monthly,1,47.88,0.3,paid,mobile,technology,large,Owner 4,guided,false,invoice,5
2024-07-04,enterprise,monthly,53,539.63,0.05,organic,desktop,finance,medium,Owner 6,guided,false,ach,4
2024-04-23,pro,monthly,10,148.34,0.15,paid,desktop,healthcare,small,Owner 4,self_serve,false,card,0
2025-03-31,starter,annual,4,38.13,0.4,paid,desktop,retail,small,Owner 4,self_serve,false,card,0
2025-11-14,starter,annual,2,22.73,0.3,paid,desktop,healthcare,medium,Owner 4,guided,true,card,0
2024-10-04,pro,monthly,15,177.45,0.05,paid,desktop,manufacturing,small,Owner 1,guided,false,ach,1
2024-06-19,pro,annual,24,221.91,0.2,organic,desktop,healthcare,small,Owner 5,self_serve,false,invoice,3
2025-04-11,pro,annual,6,113.86,0.1,organic,desktop,manufacturing,small,Owner 3,self_serve,true,card,1
2024-04-16,pro,annual,23,159.32,0.05,paid,desktop,retail,small,Owner 4,self_serve,false,card,3
2024-09-12,starter,monthly,2,38.15,0.2,partner,desktop,finance,small,Owner 7,white_glove,true,card,2
2025-06-11,starter,monthly,5,45.15,0.0,organic,desktop,technology,small,Owner 8,guided,false,invoice,0
2025-06-19,pro,monthly,18,192.81,0.2,organic,desktop,retail,medium,Owner 2,self_serve,false,invoice,0
2025-02-27,pro,annual,14,145.26,0.3,paid,mobile,finance,small,Owner 8,guided,false,card,3
2024-11-28,starter,monthly,3,34.85,0.15,organic,mobile,finance,medium,Owner 3,self_serve,true,invoice,2
2025-11-28,enterprise,monthly,39,501.07,0.1,organic,desktop,manufacturing,small,Owner 2,white_glove,true,ach,3
2025-04-09,starter,monthly,2,42.97,0.3,outbound_sales,mobile,manufacturing,medium,Owner 6,guided,false,ach,1
2024-02-11,pro,monthly,22,207.19,0.3,paid,mobile,finance,small,Owner 8,white_glove,true,card,3
2025-09-27,starter,annual,1,34.31,0.2,partner,mobile,manufacturing,large,Owner 8,guided,false,card,3
2024-04-30,pro,monthly,4,119.97,0.1,organic,desktop,retail,medium,Owner 8,guided,true,invoice,0
2024-03-19,starter,monthly,2,29.1,0.0,paid,desktop,technology,medium,Owner 6,guided,true,ach,3
2024-05-07,pro,annual,25,189.1,0.0,organic,mobile,technology,small,Owner 7,guided,false,card,4
2025-07-09,enterprise,monthly,26,405.59,0.1,paid,desktop,technology,large,Owner 4,white_glove,false,card,0
2025-09-12,pro,monthly,15,150.78,0.05,partner,desktop,technology,small,Owner 4,guided,false,card,2
2025-01-04,starter,monthly,4,45.86,0.1,outbound_sales,desktop,technology,large,Owner 7,white_glove,false,card,4
2024-03-04,pro,monthly,17,147.73,0.15,paid,desktop,finance,small,Owner 2,guided,false,invoice,0
2025-06-18,starter,annual,4,41.94,0.1,partner,desktop,healthcare,large,Owner 8,white_glove,true,card,2
2025-10-06,pro,annual,6,92.36,0.1,organic,desktop,finance,medium,Owner 3,white_glove,true,invoice,1
2025-01-05,starter,annual,5,50.73,0.0,paid,desktop,retail,small,Owner 6,self_serve,true,card,1
2025-01-25,pro,monthly,24,169.87,0.2,outbound_sales,desktop,technology,large,Owner 2,white_glove,true,card,2
2024-12-21,enterprise,annual,73,620.41,0.05,paid,desktop,healthcare,medium,Owner 6,guided,true,ach,1
2024-02-29,starter,monthly,5,38.02,0.1,outbound_sales,desktop,finance,small,Owner 4,white_glove,false,card,0
2025-08-03,starter,annual,3,40.01,0.2,organic,desktop,retail,small,Owner 7,self_serve,false,card,3
2025-03-24,starter,annual,2,32.02,0.3,organic,mobile,technology,medium,Owner 8,self_serve,false,card,5
2025-11-26,enterprise,monthly,23,527.58,0.1,paid,desktop,technology,small,Owner 2,self_serve,false,card,2
2024-11-27,pro,annual,4,125.35,0.15,partner,mobile,healthcare,medium,Owner 1,self_serve,true,ach,5
2024-12-09,enterprise,monthly,20,437.06,0.2,paid,desktop,technology,large,Owner 5,white_glove,true,card,0
2024-05-01,starter,monthly,4,47.34,0.15,organic,desktop,healthcare,medium,Owner 3,white_glove,false,invoice,1
2024-04-11,starter,annual,4,45.76,0.3,partner,desktop,healthcare,medium,Owner 5,self_serve,false,card,1
2025-07-23,starter,annual,1,29.82,0.1,paid,desktop,healthcare,medium,Owner 7,guided,true,ach,2
2024-03-23,pro,monthly,3,111.02,0.1,paid,mobile,finance,small,Owner 3,guided,false,ach,5
2025-06-28,starter,annual,5,56.3,0.3,partner,desktop,technology,small,Owner 1,white_glove,false,card,0
2024-01-26,starter,annual,5,41.25,0.1,organic,desktop,technology,small,Owner 7,guided,true,card,2
2025-05-25,enterprise,monthly,1,464.71,0.0,outbound_sales,desktop,healthcare,large,Owner 1,white_glove,false,card,3
2024-06-04,starter,annual,1,41.71,0.0,partner,desktop,healthcare,medium,Owner 8,guided,true,card,5
2024-11-18,enterprise,monthly,95,721.63,0.15,partner,desktop,retail,medium,Owner 1,white_glove,true,card,2
2024-11-07,pro,monthly,25,161.84,0.1,outbound_sales,desktop,healthcare,small,Owner 2,white_glove,true,card,3
2025-12-29,starter,monthly,3,40.74,0.15,paid,mobile,technology,small,Owner 4,guided,false,ach,3
2025-02-07,starter,monthly,1,35.67,0.2,paid,desktop,technology,medium,Owner 5,white_glove,true,card,2
2025-09-04,starter,monthly,3,42.2,0.2,organic,mobile,retail,large,Owner 7,self_serve,true,invoice,0
2025-04-28,enterprise,monthly,35,653.02,0.0,organic,desktop,manufacturing,large,Owner 2,white_glove,true,invoice,4
2024-12-22,enterprise,monthly,18,512.0,0.15,organic,desktop,technology,small,Owner 4,self_serve,false,ach,3
2024-07-25,starter,monthly,3,50.47,0.4,organic,mobile,manufacturing,small,Owner 7,self_serve,true,invoice,0
2025-09-07,starter,monthly,3,45.02,0.0,paid,desktop,retail,medium,Owner 5,self_serve,true,card,0
2025-12-18,starter,monthly,1,41.27,0.0,outbound_sales,mobile,retail,small,Owner 6,guided,false,ach,1
2024-09-05,pro,annual,8,112.9,0.3,partner,desktop,technology,small,Owner 7,white_glove,false,card,5
2024-07-14,pro,monthly,7,137.89,0.1,outbound_sales,desktop,manufacturing,small,Owner 3,self_serve,false,card,3
2024-12-03,pro,monthly,13,125.67,0.2,organic,desktop,manufacturing,small,Owner 7,self_serve,true,invoice,3
2025-09-06,starter,annual,1,22.21,0.0,outbound_sales,desktop,healthcare,small,Owner 3,self_serve,true,invoice,2
2024-12-06,starter,monthly,3,51.3,0.4,organic,desktop,manufacturing,medium,Owner 7,self_serve,true,card,3
